Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.13193
10,0,2.13193
20,0,2.13193
30,0,2.13193
40,0,2.13193
50,0,2.13193
60,0,2.13193
70,0,2.13193
80,0,2.13193
90,0,2.13193
100,0,2.13193
110,0,2.13193
120,0,2.13193
130,0,2.13193
140,0,2.13193
150,0,2.13193
160,0,2.13193
170,0,2.13193
180,0,2.13193
190,0,2.13193
200,0,2.13193
210,0,2.13193
220,0,2.13193
230,0,2.13193
240,0,2.13193
250,0,2.13193
260,0,2.13193
270,0,2.13193
280,0,2.13193
290,0,2.13193
300,0,2.13193
310,0,2.13193
320,0,2.13193
330,0,2.13193
340,0,2.13193
350,0,2.13193
360,0,2.13193
0,10,2.12636
10,10,2.13121
20,10,2.12661
30,10,2.11385
40,10,2.09511
50,10,2.07325
60,10,2.05142
70,10,2.03272
80,10,2.01974
90,10,2.01423
100,10,2.01681
110,10,2.02689
120,10,2.04278
130,10,2.06193
140,10,2.08131
150,10,2.09782
160,10,2.10869
170,10,2.11179
180,10,2.10594
190,10,2.09095
200,10,2.06773
210,10,2.03818
220,10,2.00503
230,10,1.97157
240,10,1.9413
250,10,1.91754
260,10,1.90299
270,10,1.89941
280,10,1.90734
290,10,1.92602
300,10,1.95352
310,10,1.98696
320,10,2.02291
330,10,2.0578
340,10,2.08832
350,10,2.11179
360,10,2.12636
0,20,2.0887
10,20,2.08957
20,20,2.05522
30,20,1.99008
40,20,1.90193
50,20,1.80164
60,20,1.70225
70,20,1.61751
80,20,1.55973
90,20,1.53749
100,20,1.55391
110,20,1.60595
120,20,1.68512
130,20,1.77928
140,20,1.87484
150,20,1.95886
160,20,2.02049
170,20,2.05196
180,20,2.04888
190,20,2.01038
200,20,1.939
210,20,1.84064
220,20,1.72431
230,20,1.60175
240,20,1.48653
250,20,1.39263
260,20,1.3324
270,20,1.31439
280,20,1.34153
290,20,1.41047
300,20,1.51222
310,20,1.63398
320,20,1.76141
330,20,1.88078
340,20,1.98041
350,20,2.05156
360,20,2.0887
0,30,2.02038
10,30,2.01092
20,30,1.92819
30,30,1.77853
40,30,1.57487
50,30,1.33813
60,30,1.09718
70,30,0.88647
80,30,0.74036
90,30,0.684905
100,30,0.729976
110,30,0.865995
120,30,1.06734
130,30,1.30015
140,30,1.53042
150,30,1.72932
160,30,1.87567
170,30,1.95599
180,30,1.96355
190,30,1.89716
200,30,1.76056
210,30,1.56263
220,30,1.31838
230,30,1.0499
240,30,0.786526
250,30,0.562747
260,30,0.413042
270,30,0.363771
280,30,0.424979
290,30,0.586642
300,30,0.821895
310,30,1.09523
320,30,1.3711
330,30,1.6197
340,30,1.81918
350,30,1.95541
360,30,2.02038
0,40,1.92725
10,40,1.90357
20,40,1.76182
30,40,1.50598
40,40,1.14921
50,40,0.719194
60,40,0.26251
70,40,-0.154761
80,40,-0.454981
90,40,-0.570514
100,40,-0.473069
110,40,-0.188845
120,40,0.215507
130,40,0.662385
140,40,1.0855
150,40,1.43808
160,40,1.692
170,40,1.8333
180,40,1.85697
190,40,1.76286
200,40,1.55401
210,40,1.23786
220,40,0.829986
230,40,0.359146
240,40,-0.127945
250,40,-0.564877
260,40,-0.872476
270,40,-0.980701
280,40,-0.860074
290,40,-0.538597
300,40,-0.0869174
310,40,0.413436
320,40,0.893798
330,40,1.30673
340,40,1.62449
350,40,1.83333
360,40,1.92725
0,50,1.81804
10,50,1.77908
20,50,1.57577
30,50,1.2041
40,50,0.669221
50,50,-0.00413361
60,50,-0.759904
70,50,-1.49686
80,50,-2.06243
90,50,-2.28964
100,50,-2.09588
110,50,-1.55214
120,50,-0.82542
130,50,-0.0748673
140,50,0.593839
150,50,1.1244
160,50,1.49374
170,50,1.69766
180,50,1.73927
190,50,1.62115
200,50,1.34267
210,50,0.903066
220,50,0.30898
230,50,-0.415226
240,50,-1.21439
250,50,-1.98576
260,50,-2.56956
270,50,-2.78815
280,50,-2.55632
290,50,-1.95597
300,50,-1.16674
310,50,-0.352953
320,50,0.379888
330,50,0.977204
340,50,1.41756
350,50,1.69728
360,50,1.81804
0,60,1.70243
10,60,1.6506
20,60,1.3917
30,60,0.90798
40,60,0.187424
50,60,-0.763762
60,60,-1.90541
70,60,-3.12627
80,60,-4.17108
90,60,-4.63061
100,60,-4.24227
110,60,-3.2198
120,60,-1.9886
130,60,-0.835349
140,60,0.116239
150,60,0.829404
160,60,1.30645
170,60,1.56514
180,60,1.62313
190,60,1.48715
200,60,1.14976
210,60,0.595191
220,60,-0.189232
230,60,-1.20094
240,60,-2.405
250,60,-3.69083
260,60,-4.78471
270,60,-5.23469
280,60,-4.76876
290,60,-3.65415
300,60,-2.349
310,60,-1.13354
320,60,-0.119239
330,60,0.663055
340,60,1.21686
350,60,1.55857
360,60,1.70243
0,70,1.59445
10,70,1.53491
20,70,1.23422
30,70,0.657193
40,70,-0.232339
50,70,-1.46358
60,70,-3.05596
70,70,-4.9817
80,70,-6.96263
90,70,-8.01437
100,70,-7.13435
110,70,-5.14523
120,70,-3.15548
130,70,-1.52312
140,70,-0.286246
150,70,0.5902
160,70,1.15463
170,70,1.45458
