"Freq [GHz]","dB(S(1,1)) []"
1,-0.121194342403544
1.1,-0.282802306042964
1.2,-0.685793057225848
1.3,-1.89021928356495
1.4,-6.09548756874228
1.5,-8.64206040416165
1.6,-3.76251130064299
1.7,-2.02330999871709
1.8,-1.31648822623482
1.9,-0.972497387188433
2,-0.789989521312208
2.1,-0.698891084054137
2.2,-0.677311779524626
2.3,-0.730446831961751
2.4,-0.892110977035522
2.5,-1.24649579085213
2.6,-1.99010201978389
2.7,-3.5965783716695
2.8,-7.29037525689021
2.9,-17.2115530980665
3,-12.8310381362408
3.1,-6.84550694795884
3.2,-4.32420036036663
3.3,-3.00864912937439
3.4,-2.2414475080798
3.5,-1.77447408444578
3.6,-1.49445818678182
3.7,-1.33204795639602
3.8,-1.24653117043286
3.9,-1.22536999730961
4,-1.27364645875626
4.1,-1.40566156363306
4.2,-1.64227105937298
4.3,-2.01067973224289
4.4,-2.54477273247245
4.5,-3.28574232962089
4.6,-4.28384369195946
4.7,-5.60287788744061
4.8,-7.32782229262666
4.9,-9.56079776637184
5,-12.2752584760069
5.1,-14.3609626075597
5.2,-13.2171457058561
5.3,-10.2872492700687
5.4,-7.86865019773394
5.5,-6.4855116037769
5.6,-5.79872136517825
5.7,-5.35433886805386
5.8,-5.19760812390781
5.9,-5.26887013963294
6,-5.44510488390147
6.1,-5.62408259780466
6.2,-5.78790017990117
6.3,-6.01493558054255
6.4,-6.41307067911993
6.5,-6.99758418643619
6.6,-7.63142166781762
6.7,-8.08417331739997
6.8,-8.15152434718201
6.9,-7.77933002801844
7,-7.0985539666425
7.1,-6.32222699395257
7.2,-5.62213416237369
7.3,-5.08293740336449
7.4,-4.71752063759734
7.5,-4.50054052247613
7.6,-4.39608039085929
7.7,-4.37309543090635
7.8,-4.41154029973651
7.9,-4.50411024796218
8,-4.65722954514318
8.1,-4.89322523292189
8.2,-5.25419620419702
8.3,-5.80594337609447
8.4,-6.63537092167699
8.5,-7.82450866851079
8.6,-9.36649567310027
8.7,-10.9549861033266
8.8,-11.4660970013427
8.9,-11.4164090529093
9,-11.2157250771015
9.1,-10.2773344846502
9.2,-9.2845494176156
9.3,-8.39068631222785
9.4,-7.61884389700286
9.5,-6.97051029310141
9.6,-6.45492374509184
9.7,-6.09425764191417
9.8,-5.91680337636271
9.9,-5.94169195593266
10,-6.16272265957682
