Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.60201
10,0,2.60201
20,0,2.60201
30,0,2.60201
40,0,2.60201
50,0,2.60201
60,0,2.60201
70,0,2.60201
80,0,2.60201
90,0,2.60201
100,0,2.60201
110,0,2.60201
120,0,2.60201
130,0,2.60201
140,0,2.60201
150,0,2.60201
160,0,2.60201
170,0,2.60201
180,0,2.60201
190,0,2.60201
200,0,2.60201
210,0,2.60201
220,0,2.60201
230,0,2.60201
240,0,2.60201
250,0,2.60201
260,0,2.60201
270,0,2.60201
280,0,2.60201
290,0,2.60201
300,0,2.60201
310,0,2.60201
320,0,2.60201
330,0,2.60201
340,0,2.60201
350,0,2.60201
360,0,2.60201
0,10,2.59507
10,10,2.60259
20,10,2.60007
30,10,2.58877
40,10,2.57071
50,10,2.54848
60,10,2.52484
70,10,2.50248
80,10,2.48357
90,10,2.46954
100,10,2.46087
110,10,2.45709
120,10,2.45692
130,10,2.45853
140,10,2.45984
150,10,2.4589
160,10,2.45408
170,10,2.44433
180,10,2.42925
190,10,2.40922
200,10,2.38531
210,10,2.35931
220,10,2.33353
230,10,2.3106
240,10,2.29322
250,10,2.2838
260,10,2.28417
270,10,2.29527
280,10,2.31699
290,10,2.34814
300,10,2.38652
310,10,2.42921
320,10,2.47284
330,10,2.51401
340,10,2.54962
350,10,2.57719
360,10,2.59507
0,20,2.4109
10,20,2.4134
20,20,2.38137
30,20,2.31972
40,20,2.23634
50,20,2.14164
60,20,2.04783
70,20,1.96752
80,20,1.91164
90,20,1.88716
100,20,1.89532
110,20,1.9315
120,20,1.98659
130,20,2.04937
140,20,2.10878
150,20,2.15548
160,20,2.18255
170,20,2.18547
180,20,2.16211
190,20,2.11263
200,20,2.03965
210,20,1.94838
220,20,1.84673
230,20,1.74493
240,20,1.65473
250,20,1.58796
260,20,1.5547
270,20,1.56141
280,20,1.60949
290,20,1.6949
300,20,1.80882
310,20,1.93918
320,20,2.07263
330,20,2.19624
340,20,2.29888
350,20,2.37215
360,20,2.4109
0,30,2.14069
10,30,2.13056
20,30,2.04706
30,30,1.89802
40,30,1.69689
50,30,1.46405
60,30,1.22804
70,30,1.02451
80,30,0.889885
90,30,0.850242
100,30,0.910811
110,30,1.05374
120,30,1.24601
130,30,1.45151
140,30,1.64017
150,30,1.79117
160,30,1.89183
170,30,1.93501
180,30,1.91683
190,30,1.83602
200,30,1.69458
210,30,1.49943
220,30,1.26409
230,30,1.00988
240,30,0.765533
250,30,0.564489
260,30,0.439218
270,30,0.413386
280,30,0.494524
290,30,0.67119
300,30,0.916666
310,30,1.1969
320,30,1.47816
330,30,1.73172
340,30,1.93561
350,30,2.0748
360,30,2.14069
0,40,1.90413
10,40,1.8801
20,40,1.73648
30,40,1.47834
40,40,1.11667
50,40,0.674243
60,40,0.195419
70,40,-0.245641
80,40,-0.552257
90,40,-0.640363
100,40,-0.486441
110,40,-0.143058
120,40,0.295669
130,40,0.740977
140,40,1.13284
150,40,1.43981
160,40,1.64939
170,40,1.75785
180,40,1.76302
190,40,1.66139
200,40,1.44956
210,40,1.12872
220,40,0.710735
230,40,0.224371
240,40,-0.280139
250,40,-0.730995
260,40,-1.0437
270,40,-1.14462
280,40,-1.00464
290,40,-0.657159
300,40,-0.180039
310,40,0.340996
320,40,0.837288
330,40,1.26305
340,40,1.59118
350,40,1.80714
360,40,1.90413
0,50,1.76728
10,50,1.7301
20,50,1.53167
30,50,1.16567
40,50,0.627619
50,50,-0.0750426
60,50,-0.901031
70,50,-1.73982
80,50,-2.38775
90,50,-2.60886
100,50,-2.30958
110,50,-1.62977
120,50,-0.806521
130,50,-0.0202877
140,50,0.636499
