Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.11961
10,0,2.11961
20,0,2.11961
30,0,2.11961
40,0,2.11961
50,0,2.11961
60,0,2.11961
70,0,2.11961
80,0,2.11961
90,0,2.11961
100,0,2.11961
110,0,2.11961
120,0,2.11961
130,0,2.11961
140,0,2.11961
150,0,2.11961
160,0,2.11961
170,0,2.11961
180,0,2.11961
190,0,2.11961
200,0,2.11961
210,0,2.11961
220,0,2.11961
230,0,2.11961
240,0,2.11961
250,0,2.11961
260,0,2.11961
270,0,2.11961
280,0,2.11961
290,0,2.11961
300,0,2.11961
310,0,2.11961
320,0,2.11961
330,0,2.11961
340,0,2.11961
350,0,2.11961
360,0,2.11961
0,10,2.09159
10,10,2.09901
20,10,2.09755
30,10,2.08846
40,10,2.07383
50,10,2.05635
60,10,2.03899
70,10,2.02462
80,10,2.01561
90,10,2.0135
100,10,2.01878
110,10,2.03078
120,10,2.04777
130,10,2.06723
140,10,2.08621
150,10,2.10166
160,10,2.11088
170,10,2.11182
180,10,2.10331
190,10,2.08522
200,10,2.05851
210,10,2.02517
220,10,1.98805
230,10,1.9506
240,10,1.91648
250,10,1.88916
260,10,1.87147
270,10,1.86525
280,10,1.87107
290,10,1.88818
300,10,1.91464
310,10,1.94753
320,10,1.98342
330,10,2.01872
340,10,2.05015
350,10,2.07504
360,10,2.09159
0,20,2.03071
10,20,2.03413
20,20,2.00376
30,20,1.94424
40,20,1.86326
50,20,1.77127
60,20,1.68068
70,20,1.60448
80,20,1.55429
90,20,1.53816
100,20,1.5588
110,20,1.61302
120,20,1.69245
130,20,1.78533
140,20,1.87862
150,20,1.95989
160,20,2.01858
170,20,2.04685
180,20,2.04004
190,20,1.99687
200,20,1.91967
210,20,1.81438
220,20,1.69046
230,20,1.56025
240,20,1.43806
250,20,1.33841
260,20,1.274
270,20,1.25338
280,20,1.27925
290,20,1.34787
300,20,1.44982
310,20,1.57199
320,20,1.69989
330,20,1.81975
340,20,1.91999
350,20,1.99205
360,20,2.03071
0,30,1.94849
10,30,1.93916
20,30,1.85907
30,30,1.71534
40,30,1.52078
50,30,1.2952
60,30,1.06595
70,30,0.866181
80,30,0.72949
90,30,0.681435
100,30,0.731259
110,30,0.868703
120,30,1.06804
130,30,1.29641
140,30,1.52156
150,30,1.71634
160,30,1.8602
170,30,1.93905
180,30,1.94458
190,30,1.87391
200,30,1.72977
210,30,1.52121
220,30,1.26455
230,30,0.983795
240,30,0.710089
250,30,0.479246
