"Freq [GHz]","dB(S(1,1)) []"
2,-5.37403966170803
2.1,-6.83999046432425
2.2,-8.16245236609602
2.3,-9.10193069881393
2.4,-9.54998626891432
2.5,-9.59289269369485
2.6,-9.409886593152
2.7,-9.15684581830696
2.8,-8.93626508896934
2.9,-8.30708171912595
3,-7.75924327092747
3.1,-7.75021313527056
3.2,-7.62195588336599
3.3,-7.38148085777222
3.4,-6.86774960524784
3.5,-5.7073717678632
3.6,-3.94891106636879
3.7,-3.89379134720908
3.8,-5.26060910982207
3.9,-6.35965930250988
4,-7.11990457634609
4.1,-7.70297607110681
4.2,-8.2016383780464
4.3,-8.65385500964399
4.4,-9.06462081333975
4.5,-9.41886243698203
4.6,-9.69246337600838
4.7,-9.86481165163937
4.8,-9.93008429518069
4.9,-9.90122840676277
5,-9.80449414008344
