Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.23119
10,0,2.23119
20,0,2.23119
30,0,2.23119
40,0,2.23119
50,0,2.23119
60,0,2.23119
70,0,2.23119
80,0,2.23119
90,0,2.23119
100,0,2.23119
110,0,2.23119
120,0,2.23119
130,0,2.23119
140,0,2.23119
150,0,2.23119
160,0,2.23119
170,0,2.23119
180,0,2.23119
190,0,2.23119
200,0,2.23119
210,0,2.23119
220,0,2.23119
230,0,2.23119
240,0,2.23119
250,0,2.23119
260,0,2.23119
270,0,2.23119
280,0,2.23119
290,0,2.23119
300,0,2.23119
310,0,2.23119
320,0,2.23119
330,0,2.23119
340,0,2.23119
350,0,2.23119
360,0,2.23119
0,10,2.17676
10,10,2.18885
20,10,2.19238
30,10,2.18831
40,10,2.17838
50,10,2.16494
60,10,2.1506
70,10,2.13794
80,10,2.1292
90,10,2.12595
100,10,2.12886
110,10,2.13765
120,10,2.15105
130,10,2.16706
140,10,2.18319
150,10,2.19678
160,10,2.20535
170,10,2.20684
180,10,2.19988
190,10,2.18398
200,10,2.15963
210,10,2.12828
220,10,2.09231
230,10,2.05478
240,10,2.01919
250,10,1.98901
260,10,1.96733
270,10,1.95638
280,10,1.95731
290,10,1.96993
300,10,1.99281
310,10,2.02343
320,10,2.05852
330,10,2.09454
340,10,2.12804
350,10,2.15614
360,10,2.17676
0,20,2.07455
10,20,2.08397
20,20,2.05986
30,20,2.00745
40,20,1.93444
50,20,1.85044
60,20,1.76641
70,20,1.69388
80,20,1.64353
90,20,1.62331
100,20,1.63658
110,20,1.68126
120,20,1.75038
130,20,1.83376
140,20,1.91999
150,20,1.99801
160,20,2.05804
170,20,2.09221
180,20,2.09504
190,20,2.06384
200,20,1.99917
210,20,1.9051
220,20,1.78934
230,20,1.66288
240,20,1.53921
250,20,1.43278
260,20,1.35697
270,20,1.32175
280,20,1.33188
290,20,1.38604
300,20,1.47714
310,20,1.59356
320,20,1.72099
330,20,1.84455
340,20,1.95082
350,20,2.02954
360,20,2.07455
0,30,1.9771
10,30,1.96313
20,30,1.87631
30,30,1.72888
40,30,1.5366
50,30,1.31853
60,30,1.09823
70,30,0.90444
80,30,0.768517
90,30,0.716677
100,30,0.75996
110,30,0.889095
120,30,1.07869
130,30,1.29712
140,30,1.51488
150,30,1.7079
160,30,1.85732
170,30,1.94867
180,30,1.97174
190,30,1.92111
200,30,1.79698
210,30,1.60604
220,30,1.36242
230,30,1.0883
240,30,0.813768
250,30,0.574519
260,30,0.406092
270,30,0.335444
280,30,0.373564
290,30,0.513373
300,30,0.733209
310,30,1.0024
320,30,1.28622
330,30,1.55035
340,30,1.76548
350,30,1.91109
360,30,1.9771
0,40,1.90986
10,40,1.85957
20,40,1.68675
30,40,1.40972
40,40,1.05001
50,40,0.633587
60,40,0.19676
70,40,-0.205082
80,40,-0.496102
90,40,-0.6017
100,40,-0.489785
110,40,-0.193654
120,40,0.210821
130,40,0.646692
140,40,1.0579
150,40,1.40814
160,40,1.67274
170,40,1.83371
180,40,1.87847
190,40,1.79987
200,40,1.5971
210,40,1.27748
220,40,0.858784
230,40,0.37234
240,40,-0.132711
250,40,-0.586721
260,40,-0.907618
270,40,-1.02737
280,40,-0.923917
290,40,-0.628061
300,40,-0.199854
310,40,0.295885
320,40,0.797453
330,40,1.24779
340,40,1.6001
350,40,1.82456
360,40,1.90986
0,50,1.85741
10,50,1.77513
20,50,1.51721
30,50,1.10025
40,50,0.542797
50,50,-0.130979
60,50,-0.879289
70,50,-1.6157
80,50,-2.18148
90,50,-2.3831
100,50,-2.13336
110,50,-1.53893
120,50,-0.795928
130,50,-0.0563536
140,50,0.599284
150,50,1.13212
160,50,1.52035
170,50,1.75069
180,50,1.81486
190,50,1.70633
200,50,1.42066
210,50,0.960339
220,50,0.339339
230,50,-0.413496
240,50,-1.24339
250,50,-2.0447
260,50,-2.64375
270,50,-2.85366
280,50,-2.61207
290,50,-2.03106
300,50,-1.27856
310,50,-0.478459
320,50,0.285831
330,50,0.94488
340,50,1.44315
350,50,1.74954
360,50,1.85741
0,60,1.78381
10,60,1.68867
20,60,1.37152
30,60,0.832536
40,60,0.0715215
50,60,-0.905692
60,60,-2.07302
70,60,-3.33288
80,60,-4.40203
90,60,-4.79534
100,60,-4.26474
110,60,-3.14667
120,60,-1.90412
130,60,-0.777365
140,60,0.155722
150,60,0.874088
160,60,1.37378
170,60,1.66066
180,60,1.74194
190,60,1.61473
200,60,1.26581
210,60,0.684646
220,60,-0.128119
230,60,-1.16503
240,60,-2.40408
250,60,-3.74966
260,60,-4.90316
270,60,-5.3393
280,60,-4.80305
290,60,-3.67463
300,60,-2.41641
310,60,-1.23328
320,60,-0.192856
330,60,0.6576
340,60,1.27757
350,60,1.65083
360,60,1.78381
0,70,1.67211
10,70,1.5871
20,70,1.24988
30,70,0.628683
40,70,-0.311194
50,70,-1.60224
60,70,-3.27576
70,70,-5.31834
80,70,-7.395
90,70,-8.28051
100,70,-7.06909
110,70,-4.97463
120,70,-3.02567
130,70,-1.44899
140,70,-0.237958
150,70,0.640036
160,70,1.21933
170,70,1.53986
180,70,1.63418
190,70,1.50603
200,70,1.12903
210,70,0.472268
220,70,-0.485179
230,70,-1.7738
240,70,-3.45122
250,70,-5.55676
260,70,-7.82634
270,70,-8.93243
280,70,-7.66362
290,70,-5.44868
