"Freq [GHz]","dB(S(1,1)) []"
2,-4.37315063385367
2.1,-5.64419913048675
2.2,-6.91344819377784
2.3,-8.02475071736383
2.4,-8.850896518548
2.5,-9.34246976451359
2.6,-9.53751724565805
2.7,-9.52085273433311
2.8,-9.37312230720539
2.9,-9.14061781813813
3,-8.81329815579112
3.1,-8.24344948756849
3.2,-6.9522776603817
3.3,-7.89470258940217
3.4,-8.39828540641359
3.5,-8.12032253484909
3.6,-7.55733222847776
3.7,-6.67798954610734
3.8,-5.38695242378854
3.9,-3.78961975841289
4,-2.94549993231078
4.1,-4.37735766764774
4.2,-6.93201810654818
4.3,-9.17391413870277
4.4,-10.8362947018628
4.5,-11.9988995802385
4.6,-12.7480952196625
4.7,-13.1496327899595
4.8,-13.2800386304782
4.9,-13.2097568803825
5,-12.9909352832867
