Phi[deg],Theta[deg],dB(GainTotal)
0,0,-9.00139
10,0,-9.00139
20,0,-9.00139
30,0,-9.00139
40,0,-9.00139
50,0,-9.00139
60,0,-9.00139
70,0,-9.00139
80,0,-9.00139
90,0,-9.00139
100,0,-9.00139
110,0,-9.00139
120,0,-9.00139
130,0,-9.00139
140,0,-9.00139
150,0,-9.00139
160,0,-9.00139
170,0,-9.00139
180,0,-9.00139
190,0,-9.00139
200,0,-9.00139
210,0,-9.00139
220,0,-9.00139
230,0,-9.00139
240,0,-9.00139
250,0,-9.00139
260,0,-9.00139
270,0,-9.00139
280,0,-9.00139
290,0,-9.00139
300,0,-9.00139
310,0,-9.00139
320,0,-9.00139
330,0,-9.00139
340,0,-9.00139
350,0,-9.00139
360,0,-9.00139
0,10,-4.89904
10,10,-4.445
20,10,-4.02242
30,10,-3.63491
40,10,-3.28634
50,10,-2.982
60,10,-2.72852
70,10,-2.53287
80,10,-2.40092
90,10,-2.33636
100,10,-2.34008
110,10,-2.41034
120,10,-2.54346
130,10,-2.73496
140,10,-2.98087
150,10,-3.27871
160,10,-3.62797
170,10,-4.02947
180,10,-4.48361
190,10,-4.98766
200,10,-5.53235
210,10,-6.09879
220,10,-6.65713
230,10,-7.16891
240,10,-7.59443
250,10,-7.90321
260,10,-8.08154
270,10,-8.13181
280,10,-8.06472
290,10,-7.89145
300,10,-7.62153
310,10,-7.26594
320,10,-6.84108
330,10,-6.36907
340,10,-5.87435
350,10,-5.37889
360,10,-4.89904
0,20,-0.853488
10,20,-0.577265
20,20,-0.323176
30,20,-0.0733571
40,20,0.185029
50,20,0.449252
60,20,0.699634
70,20,0.907575
80,20,1.04689
90,20,1.10199
100,20,1.07084
110,20,0.963821
120,20,0.80019
130,20,0.602704
140,20,0.390612
150,20,0.172787
160,20,-0.0555775
170,20,-0.310038
180,20,-0.608388
190,20,-0.959777
200,20,-1.35479
210,20,-1.75972
220,20,-2.12028
230,20,-2.38039
240,20,-2.51152
250,20,-2.53087
260,20,-2.48938
270,20,-2.44016
280,20,-2.41175
290,20,-2.39831
300,20,-2.36556
310,20,-2.26983
320,20,-2.0836
330,20,-1.81253
340,20,-1.49095
350,20,-1.16116
360,20,-0.853488
0,30,1.31251
10,30,1.47233
20,30,1.56668
30,30,1.65232
40,30,1.78837
50,30,1.99921
60,30,2.2552
70,30,2.49184
80,30,2.64793
90,30,2.69024
100,30,2.61734
110,30,2.45325
120,30,2.24016
130,30,2.0291
140,30,1.86258
150,30,1.75276
160,30,1.67254
170,30,1.57007
180,30,1.39503
190,30,1.12073
200,30,0.758072
210,30,0.362859
220,30,0.0282484
230,30,-0.154534
240,30,-0.157751
250,30,-0.0411433
260,30,0.0936947
270,30,0.165782
280,30,0.144493
290,30,0.0524157
300,30,-0.042137
310,30,-0.048946
320,30,0.0945961
330,30,0.378632
340,30,0.729373
350,30,1.06
360,30,1.31251
0,40,2.33237
10,40,2.41874
20,40,2.35929
30,40,2.24573
40,40,2.2057
50,40,2.32932
60,40,2.59124
70,40,2.87196
80,40,3.05498
90,40,3.08582
100,40,2.96848
110,40,2.7433
120,40,2.47819
130,40,2.26441
140,40,2.18066
150,40,2.23186
160,40,2.33699
170,40,2.38482
180,40,2.29019
190,40,2.01666
200,40,1.58447
210,40,1.08127
220,40,0.659735
230,40,0.471781
240,40,0.54517
250,40,0.754802
260,40,0.941146
270,40,1.01055
280,40,0.943007
290,40,0.772918
300,40,0.592439
310,40,0.545023
320,40,0.74179
330,40,1.15579
340,40,1.64545
350,40,2.06646
360,40,2.33237
0,50,2.62343
10,50,2.65511
20,50,2.42961
30,50,2.05635
40,50,1.74093
50,50,1.69864
60,50,1.94844
70,50,2.2855
80,50,2.503
90,50,2.52397
100,50,2.36785
110,50,2.08956
120,50,1.77981
130,50,1.59542
140,50,1.6794
150,50,1.99563
160,50,2.35034
170,50,2.55882
180,50,2.51645
190,50,2.1866
200,50,1.59581
210,50,0.861756
220,50,0.224048
230,50,-0.047894
240,50,0.0803608
250,50,0.365711
260,50,0.574623
270,50,0.62808
280,50,0.533605
290,50,0.318886
300,50,0.0747095
310,50,0.0191159
320,50,0.354762
330,50,1.01332
340,50,1.73414
350,50,2.30573
360,50,2.62343
