Phi[deg],Theta[deg],dB(GainTotal)
0,0,-6.48501
10,0,-6.48501
20,0,-6.48501
30,0,-6.48501
40,0,-6.48501
50,0,-6.48501
60,0,-6.48501
70,0,-6.48501
80,0,-6.48501
90,0,-6.48501
100,0,-6.48501
110,0,-6.48501
120,0,-6.48501
130,0,-6.48501
140,0,-6.48501
150,0,-6.48501
160,0,-6.48501
170,0,-6.48501
180,0,-6.48501
190,0,-6.48501
200,0,-6.48501
210,0,-6.48501
220,0,-6.48501
230,0,-6.48501
240,0,-6.48501
250,0,-6.48501
260,0,-6.48501
270,0,-6.48501
280,0,-6.48501
290,0,-6.48501
300,0,-6.48501
310,0,-6.48501
320,0,-6.48501
330,0,-6.48501
340,0,-6.48501
350,0,-6.48501
360,0,-6.48501
0,10,-2.72528
10,10,-2.55918
20,10,-2.38991
30,10,-2.221
40,10,-2.0567
50,10,-1.9032
60,10,-1.76892
70,10,-1.6636
80,10,-1.59654
90,10,-1.57466
100,10,-1.60109
110,10,-1.67437
120,10,-1.78868
130,10,-1.93482
140,10,-2.10189
150,10,-2.27923
160,10,-2.45794
170,10,-2.6314
180,10,-2.79479
190,10,-2.944
200,10,-3.07485
210,10,-3.18328
220,10,-3.26655
230,10,-3.32459
240,10,-3.36072
250,10,-3.3808
260,10,-3.39118
270,10,-3.39631
280,10,-3.39695
290,10,-3.38969
300,10,-3.36802
310,10,-3.32459
320,10,-3.25395
330,10,-3.15456
340,10,-3.02926
350,10,-2.88392
360,10,-2.72528
0,20,0.718531
10,20,0.849767
20,20,0.978331
30,20,1.11528
40,20,1.27234
50,20,1.45073
60,20,1.63578
70,20,1.80088
80,20,1.91727
90,20,1.96326
100,20,1.92924
110,20,1.81937
120,20,1.65104
130,20,1.45164
140,20,1.25111
150,20,1.07186
160,20,0.921528
170,20,0.794388
180,20,0.680441
190,20,0.575844
200,20,0.487946
210,20,0.432057
220,20,0.421383
230,20,0.456109
240,20,0.519681
250,20,0.585276
260,20,0.627096
270,20,0.62889
280,20,0.587264
290,20,0.51199
300,20,0.424933
310,20,0.355807
320,20,0.332551
330,20,0.369264
340,20,0.460036
350,20,0.584104
360,20,0.718531
0,30,2.22309
10,30,2.35849
20,30,2.459
30,30,2.55735
40,30,2.69688
50,30,2.89945
60,30,3.14419
70,30,3.37836
80,30,3.5477
90,30,3.61722
100,30,3.57396
110,30,3.42415
120,30,3.19501
130,30,2.9359
140,30,2.70433
150,30,2.53607
160,30,2.42473
170,30,2.33361
180,30,2.22804
190,30,2.10103
200,30,1.98065
210,30,1.91758
220,30,1.9535
230,30,2.08592
240,30,2.26282
250,30,2.41673
260,30,2.50244
270,30,2.5057
280,30,2.42867
290,30,2.27972
300,30,2.08224
310,30,1.88796
320,30,1.76666
330,30,1.76627
340,30,1.87912
350,30,2.05153
360,30,2.22309
0,40,2.46512
10,40,2.6325
20,40,2.70972
30,40,2.75763
40,40,2.86719
50,40,3.09634
60,40,3.41313
70,40,3.72031
80,40,3.93308
90,40,4.01597
100,40,3.96323
110,40,3.77694
120,40,3.48173
130,40,3.15227
140,40,2.89311
150,40,2.75976
160,40,2.71033
170,40,2.65167
180,40,2.51473
190,40,2.2943
200,40,2.05742
210,40,1.92539
220,40,2.00269
230,40,2.27402
240,40,2.59746
250,40,2.82733
260,40,2.91548
270,40,2.89747
280,40,2.80795
290,40,2.62996
300,40,2.34068
310,40,1.99616
320,40,1.74516
330,40,1.72056
340,40,1.91484
350,40,2.20459
360,40,2.46512
0,50,1.88926
10,50,2.07616
20,50,2.09186
30,50,2.03771
40,50,2.07656
50,50,2.32799
60,50,2.73558
70,50,3.11807
80,50,3.35127
90,50,3.42814
100,50,3.3716
110,50,3.16046
120,50,2.78664
130,50,2.36182
140,50,2.0873
150,50,2.05157
160,50,2.13277
170,50,2.14294
180,50,1.96646
190,50,1.59362
200,50,1.13497
210,50,0.83478
220,50,0.948381
230,50,1.44021
240,50,1.96458
250,50,2.23309
260,50,2.23076
270,50,2.14092
280,50,2.09327
290,50,1.9906
300,50,1.66084
310,50,1.12294
320,50,0.675779
330,50,0.651196
340,50,1.0256
350,50,1.51223
360,50,1.88926
0,60,0.78903
10,60,0.942642
20,60,0.796938
30,60,0.50573
40,60,0.356008
50,60,0.602551
60,60,1.13801
70,60,1.60052
80,60,1.80557
90,60,1.84287
100,60,1.81442
110,60,1.6204
120,60,1.14529
130,60,0.569776
140,60,0.31939
150,60,0.532946
160,60,0.891889
170,60,1.05761
180,60,0.868481
190,60,0.294579
200,60,-0.543667
210,60,-1.21954
220,60,-1.09256
230,60,-0.211465
240,60,0.612364
250,60,0.850684
260,60,0.571348
270,60,0.29112
280,60,0.40471
290,60,0.587768
300,60,0.307314
310,60,-0.521291
320,60,-1.32411
330,60,-1.28565
340,60,-0.521428
350,60,0.283148
360,60,0.78903
0,70,-0.533769
10,70,-0.480769
20,70,-0.94989
30,70,-1.78363
40,70,-2.48938
50,70,-2.37196
60,70,-1.60259
70,70,-1.03703
80,70,-0.987879
90,70,-1.07608
100,70,-0.959193
110,70,-1.00134
120,70,-1.63197
130,70,-2.51285
140,70,-2.58537
150,70,-1.69739
160,70,-0.762747
170,70,-0.305315
180,70,-0.458432
190,70,-1.27975
200,70,-2.75934
210,70,-4.33724
220,70,-4.28246
230,70,-2.56778
240,70,-1.24057
250,70,-1.14309
260,70,-2.11967
270,70,-2.96316
280,70,-2.33955
290,70,-1.4002
300,70,-1.4902
310,70,-2.83136
320,70,-4.45211
330,70,-4.17731
340,70,-2.52055
350,70,-1.18947
360,70,-0.533769
0,80,-1.64303
10,80,-1.71308
20,80,-2.63018
30,80,-4.49651
40,80,-6.97954
50,80,-7.72596
60,80,-6.16544
70,80,-5.32939
80,80,-5.94888
90,80,-6.61518
100,80,-5.75976
110,80,-5.12944
120,80,-6.15585
130,80,-8.10105
140,80,-7.10014
150,80,-4.23918
160,80,-2.31326
170,80,-1.47068
180,80,-1.55593
190,80,-2.63135
200,80,-5.02208
210,80,-8.88258
220,80,-9.29105
230,80,-5.29864
240,80,-3.12518
250,80,-3.28775
260,80,-5.88861
270,80,-9.13468
280,80,-6.26538
290,80,-3.50736
300,80,-3.24361
310,80,-5.43186
320,80,-9.39431
330,80,-8.30605
340,80,-4.57783
350,80,-2.47955
360,80,-1.64303
0,90,-2.03622
10,90,-2.13685
20,90,-3.28468
30,90,-5.93398
40,90,-11.5609
50,90,-19.9246
60,90,-12.0579
70,90,-10.1663
80,90,-13.589
90,90,-25.3933
100,90,-12.5053
110,90,-9.50014
120,90,-11.6295
130,90,-21.8734
140,90,-11.2837
150,90,-5.49346
160,90,-2.92082
170,90,-1.8962
180,90,-1.9544
190,90,-3.15184
200,90,-6.07738
210,90,-12.7552
220,90,-14.4759
230,90,-6.74198
240,90,-3.94315
250,90,-4.22951
260,90,-8.283
270,90,-24.701
280,90,-8.81258
290,90,-4.36627
300,90,-3.88589
310,90,-6.57254
320,90,-14.101
330,90,-11.8914
340,90,-5.68242
350,90,-3.02318
360,90,-2.03622
0,100,-1.5222
10,100,-1.5155
20,100,-2.39809
30,100,-4.29329
40,100,-7.11968
50,100,-8.57738
60,100,-7.03394
70,100,-6.0479
80,100,-6.58104
90,100,-7.21831
100,100,-6.44588
110,100,-5.90314
120,100,-6.94187
130,100,-8.53964
140,100,-6.9406
150,100,-4.03985
160,100,-2.18773
170,100,-1.39312
180,100,-1.50353
190,100,-2.59498
200,100,-4.97715
210,100,-8.66869
220,100,-8.88893
230,100,-5.09673
240,100,-2.9505
250,100,-2.99364
260,100,-5.21107
270,100,-7.68249
280,100,-5.41813
290,100,-3.04432
300,100,-2.81957
310,100,-4.8075
320,100,-8.55283
330,100,-8.46244
340,100,-4.8054
350,100,-2.50561
360,100,-1.5222
0,110,-0.403175
10,110,-0.256487
20,110,-0.699523
30,110,-1.59646
40,110,-2.523
50,110,-2.66838
60,110,-1.99155
70,110,-1.40184
80,110,-1.2829
90,110,-1.33691
100,110,-1.30283
110,110,-1.4505
120,110,-2.06361
130,110,-2.73889
140,110,-2.55741
150,110,-1.59107
160,110,-0.688358
170,110,-0.270792
180,110,-0.456145
190,110,-1.31176
200,110,-2.80175
210,110,-4.27174
220,110,-4.06982
230,110,-2.39364
240,110,-1.09116
250,110,-0.902161
260,110,-1.67459
270,110,-2.31523
280,110,-1.73199
290,110,-0.908073
300,110,-0.993758
310,110,-2.20991
320,110,-3.89249
330,110,-4.16379
340,110,-2.70359
350,110,-1.22479
360,110,-0.403175
0,120,0.863541
10,120,1.0925
20,120,0.971812
30,120,0.644318
40,120,0.393998
50,120,0.530574
60,120,1.00385
70,120,1.44937
80,120,1.66449
90,120,1.69963
100,120,1.62049
110,120,1.36528
120,120,0.895575
130,120,0.416508
140,120,0.280753
150,120,0.538787
160,120,0.882708
170,120,1.01787
180,120,0.793588
190,120,0.182523
200,120,-0.656182
210,120,-1.23712
220,120,-0.999533
230,120,-0.128529
240,120,0.654398
250,120,0.924572
260,120,0.749018
270,120,0.577653
280,120,0.732902
290,120,0.917872
300,120,0.67392
310,120,-0.0913295
320,120,-0.9631
330,120,-1.194
340,120,-0.593581
350,120,0.253153
360,120,0.863541
0,130,1.91917
10,130,2.15953
20,130,2.20727
30,130,2.15287
40,130,2.15959
50,130,2.36348
60,130,2.7256
70,130,3.07217
80,130,3.28032
90,130,3.3332
100,130,3.24312
110,130,3.0028
120,130,2.63554
130,130,2.26277
140,130,2.05069
150,130,2.04342
160,130,2.11499
170,130,2.09626
180,130,1.88355
190,130,1.48159
200,130,1.03356
210,130,0.80149
220,130,0.976691
230,130,1.45137
240,130,1.92308
250,130,2.17855
260,130,2.21823
270,130,2.1921
280,130,2.19424
290,130,2.12787
300,130,1.84151
310,130,1.34111
320,130,0.862602
330,130,0.724637
340,130,1.00846
350,130,1.49233
360,130,1.91917
0,140,2.48377
10,140,2.69103
20,140,2.80236
30,140,2.8677
40,140,2.97245
50,140,3.17566
60,140,3.4525
70,140,3.71597
80,140,3.89033
90,140,3.94378
100,140,3.87122
110,140,3.67969
120,140,3.40269
130,140,3.11497
