Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.1732
10,0,2.1732
20,0,2.1732
30,0,2.1732
40,0,2.1732
50,0,2.1732
60,0,2.1732
70,0,2.1732
80,0,2.1732
90,0,2.1732
100,0,2.1732
110,0,2.1732
120,0,2.1732
130,0,2.1732
140,0,2.1732
150,0,2.1732
160,0,2.1732
170,0,2.1732
180,0,2.1732
190,0,2.1732
200,0,2.1732
210,0,2.1732
220,0,2.1732
230,0,2.1732
240,0,2.1732
250,0,2.1732
260,0,2.1732
270,0,2.1732
280,0,2.1732
290,0,2.1732
300,0,2.1732
310,0,2.1732
320,0,2.1732
330,0,2.1732
340,0,2.1732
350,0,2.1732
360,0,2.1732
0,10,2.16387
10,10,2.16899
20,10,2.16434
30,10,2.15111
40,10,2.13142
50,10,2.10805
60,10,2.08418
70,10,2.06293
80,10,2.04703
90,10,2.03839
100,10,2.03785
110,10,2.04506
120,10,2.05855
130,10,2.07594
140,10,2.09431
150,10,2.11059
160,10,2.122
170,10,2.12637
180,10,2.12238
190,10,2.10971
200,10,2.08908
210,10,2.06219
220,10,2.03156
230,10,2.00031
240,10,1.97181
250,10,1.94934
260,10,1.93564
270,10,1.93258
280,10,1.94083
290,10,1.95978
300,10,1.9876
310,10,2.02148
320,10,2.05798
330,10,2.09351
340,10,2.12471
350,10,2.1488
360,10,2.16387
0,20,2.09979
10,20,2.10326
20,20,2.07112
30,20,2.00759
40,20,1.9201
50,20,1.81906
60,20,1.71719
70,20,1.62814
80,20,1.56445
90,20,1.53531
100,20,1.54465
110,20,1.5903
120,20,1.66446
130,20,1.75536
140,20,1.84943
150,20,1.93352
160,20,1.99657
170,20,2.0306
180,20,2.03112
190,20,1.99707
200,20,1.93065
210,20,1.83715
220,20,1.7248
230,20,1.60453
240,20,1.48943
250,20,1.39355
260,20,1.32999
270,20,1.30848
280,20,1.3331
290,20,1.40122
300,20,1.50397
310,20,1.6282
320,20,1.75899
330,20,1.88203
340,20,1.98527
350,20,2.05971
360,20,2.09979
0,30,1.99691
10,30,1.99133
20,30,1.9138
30,30,1.77027
40,30,1.57224
50,30,1.33882
60,30,1.09759
70,30,0.882727
80,30,0.729419
90,30,0.665289
100,30,0.702035
110,30,0.831635
120,30,1.02925
130,30,1.26088
140,30,1.49162
150,30,1.69176
160,30,1.8397
170,30,1.92221
180,30,1.93313
190,30,1.87161
200,30,1.74105
210,30,1.54901
220,30,1.3082
230,30,1.03804
240,30,0.765925
250,30,0.526823
260,30,0.358873
270,30,0.294143
280,30,0.347459
290,30,0.510157
300,30,0.753304
310,30,1.03778
320,30,1.32477
330,30,1.58241
340,30,1.78823
350,30,1.92862
360,30,1.99691
0,40,1.86375
10,40,1.84292
20,40,1.7121
30,40,1.47325
40,40,1.13402
50,40,0.716006
60,40,0.262359
70,40,-0.159758
80,40,-0.468039
90,40,-0.589695
100,40,-0.493848
110,40,-0.20724
120,40,0.201309
130,40,0.651796
140,40,1.07612
150,40,1.42709
160,40,1.67798
170,40,1.81747
180,40,1.84301
190,40,1.75547
200,40,1.55684
210,40,1.25137
220,40,0.849342
230,40,0.372584
240,40,-0.138451
250,40,-0.617902
260,40,-0.976197
270,40,-1.12409
280,40,-1.01697
290,40,-0.682926
300,40,-0.204476
310,40,0.323882
320,40,0.825148
330,40,1.24869
340,40,1.56778
350,40,1.77287
360,40,1.86375
0,50,1.70009
10,50,1.66271
20,50,1.4835
30,50,1.15182
40,50,0.658343
50,50,0.012049
60,50,-0.739744
70,50,-1.49141
80,50,-2.07292
90,50,-2.29807
100,50,-2.08197
110,50,-1.51125
120,50,-0.767339
130,50,-0.0138869
140,50,0.645032
150,50,1.15778
160,50,1.50825
170,50,1.69989
180,50,1.74135
190,50,1.63655
200,50,1.38163
210,50,0.968999
220,50,0.395318
230,50,-0.328483
240,50,-1.1627
250,50,-2.0128
260,50,-2.70109
270,50,-2.99935
280,50,-2.78049
290,50,-2.13808
300,50,-1.29085
310,50,-0.430588
320,50,0.325599
330,50,0.921692
340,50,1.34263
350,50,1.59685
360,50,1.70009
0,60,1.51277
10,60,1.46326
20,60,1.24938
30,60,0.840252
40,60,0.197518
50,60,-0.702525
60,60,-1.84036
70,60,-3.10262
80,60,-4.19388
90,60,-4.63664
100,60,-4.16363
110,60,-3.06715
120,60,-1.81287
130,60,-0.677837
140,60,0.231469
150,60,0.892612
160,60,1.32153
170,60,1.54897
180,60,1.60202
190,60,1.48988
200,60,1.19961
210,60,0.703574
220,60,-0.0270844
230,60,-1.01039
240,60,-2.23861
250,60,-3.62948
260,60,-4.90133
270,60,-5.4947
280,60,-5.02197
290,60,-3.8104
300,60,-2.41503
310,60,-1.14742
320,60,-0.124538
330,60,0.626255
340,60,1.12317
350,60,1.40585
360,60,1.51277
0,70,1.33085
10,70,1.27598
20,70,1.04198
30,70,0.575333
40,70,-0.195078
50,70,-1.34043
60,70,-2.91732
70,70,-4.91831
80,70,-7.02534
90,70,-8.04067
100,70,-6.91517
110,70,-4.80137
120,70,-2.82682
130,70,-1.26929
140,70,-0.12775
150,70,0.651632
160,70,1.13181
170,70,1.37503
180,70,1.43026
190,70,1.31594
200,70,1.01105
210,70,0.464287
220,70,-0.386326
230,70,-1.60276
240,70,-3.24999
250,70,-5.36816
260,70,-7.72682
270,70,-9.05341
280,70,-7.90913
290,70,-5.60288
300,70,-3.45549
310,70,-1.7496
320,70,-0.485315
330,70,0.385025
340,70,0.929472
350,70,1.22414
360,70,1.33085
0,80,1.20104
10,80,1.14534
20,80,0.900621
30,80,0.396495
40,80,-0.462379
50,80,-1.79111
60,80,-3.74889
70,80,-6.60092
80,80,-10.6921
90,80,-13.8986
100,80,-10.4063
110,80,-6.39738
120,80,-3.61376
130,80,-1.69668
140,80,-0.38678
150,80,0.469388
160,80,0.977179
170,80,1.22195
180,80,1.2708
190,80,1.15388
200,80,0.847346
210,80,0.280684
220,80,-0.638316
230,80,-2.01495
240,80,-4.00263
250,80,-6.88819
260,80,-11.1512
270,80,-15.1392
280,80,-11.507
290,80,-7.19385
300,80,-4.22692
310,80,-2.15573
320,80,-0.719731
330,80,0.225369
340,80,0.794975
350,80,1.09413
360,80,1.20104
0,90,1.16287
10,90,1.10666
20,90,0.855343
30,90,0.334737
40,90,-0.556224
50,90,-1.94913
60,90,-4.05557
70,90,-7.33397
80,90,-13.2545
90,90,-29.4151
100,90,-12.7712
110,90,-7.10302
120,90,-3.91984
130,90,-1.86508
140,90,-0.498994
150,90,0.382083
160,90,0.8982
170,90,1.13994
180,90,1.18093
190,90,1.05928
200,90,0.75401
210,90,0.188188
220,90,-0.744205
230,90,-2.16845
