"Freq [GHz]","dB(S(1,1)) []"
2,-3.21173091563386
2.1,-4.35556023967257
2.2,-5.76870108534752
2.3,-7.45651876654897
2.4,-9.43172973333365
2.5,-11.7115512917106
2.6,-14.1945366489827
2.7,-15.607713519632
2.8,-11.6627474705651
2.9,-4.66310986170673
3,-7.31823404380989
3.1,-10.354387073212
3.2,-11.8407899257776
3.3,-12.3827269738443
3.4,-12.2213250431832
3.5,-11.3449330879218
3.6,-9.58536114053568
3.7,-6.82093290479166
3.8,-3.87459284440788
3.9,-3.82953622718219
4,-6.20967592238515
4.1,-8.46730427905677
4.2,-10.2171769947857
4.3,-11.5962886941937
4.4,-12.7304117326425
4.5,-13.6855176241456
4.6,-14.4671907194284
4.7,-15.0202571889795
4.8,-15.2599255576591
4.9,-15.1738592668699
5,-14.9053901099784
