"Freq [GHz]","dB(S(1,1)) []"
2,-5.29455670083027
2.1,-6.65636428398696
2.2,-7.97133514227651
2.3,-9.07889748233331
2.4,-9.84905522459623
2.5,-10.2340591536494
2.6,-10.2725113137749
2.7,-10.0354577375134
2.8,-9.55967837226946
2.9,-8.78608276469827
3,-7.45234122964317
3.1,-5.29767486102576
3.2,-6.70274120892317
3.3,-8.32027100505511
3.4,-7.6703153027603
3.5,-6.25846307997363
3.6,-4.47382559109347
3.7,-2.78244880599753
3.8,-2.20168069216828
3.9,-3.24597235110861
4,-5.04088391967595
4.1,-6.81714433050387
4.2,-8.35060763594305
4.3,-9.62360818760295
4.4,-10.6562658149024
4.5,-11.4621076116694
4.6,-12.0411585323667
4.7,-12.3837094143253
4.8,-12.4779470503967
4.9,-12.3186453589604
5,-11.9142670113841
