Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.17737
10,0,2.17737
20,0,2.17737
30,0,2.17737
40,0,2.17737
50,0,2.17737
60,0,2.17737
70,0,2.17737
80,0,2.17737
90,0,2.17737
100,0,2.17737
110,0,2.17737
120,0,2.17737
130,0,2.17737
140,0,2.17737
150,0,2.17737
160,0,2.17737
170,0,2.17737
180,0,2.17737
190,0,2.17737
200,0,2.17737
210,0,2.17737
220,0,2.17737
230,0,2.17737
240,0,2.17737
250,0,2.17737
260,0,2.17737
270,0,2.17737
280,0,2.17737
290,0,2.17737
300,0,2.17737
310,0,2.17737
320,0,2.17737
330,0,2.17737
340,0,2.17737
350,0,2.17737
360,0,2.17737
0,10,2.14597
10,10,2.14621
20,10,2.13825
30,10,2.1234
40,10,2.10377
50,10,2.08205
60,10,2.0612
70,10,2.04409
80,10,2.03309
90,10,2.02977
100,10,2.03462
110,10,2.04699
120,10,2.06519
130,10,2.08674
140,10,2.10872
150,10,2.12815
160,10,2.14241
170,10,2.14947
180,10,2.14817
190,10,2.13828
200,10,2.12054
210,10,2.09658
220,10,2.06877
230,10,2.04003
240,10,2.01344
250,10,1.99198
260,10,1.97811
270,10,1.97345
280,10,1.97855
290,10,1.99281
300,10,2.01454
310,10,2.04121
320,10,2.06979
330,10,2.09713
340,10,2.12036
350,10,2.13715
360,10,2.14597
0,20,2.06247
10,20,2.05524
20,20,2.0163
30,20,1.95001
40,20,1.86377
50,20,1.76774
60,20,1.67418
70,20,1.59594
80,20,1.54457
90,20,1.52806
100,20,1.54913
110,20,1.60457
120,20,1.68589
130,20,1.78119
140,20,1.87736
150,20,1.96216
160,20,2.02563
170,20,2.06079
180,20,2.06386
190,20,2.03419
200,20,1.97412
210,20,1.88884
220,20,1.78627
230,20,1.67674
240,20,1.57234
250,20,1.48582
260,20,1.42869
270,20,1.40917
280,20,1.43028
290,20,1.48914
300,20,1.57748
310,20,1.68346
320,20,1.79387
330,20,1.89611
340,20,1.97965
350,20,2.03669
360,20,2.06247
0,30,1.94711
10,30,1.92693
20,30,1.8394
30,30,1.69074
40,30,1.49313
50,30,1.26613
60,30,1.03703
70,30,0.838692
80,30,0.704253
90,30,0.658939
100,30,0.71205
110,30,0.853452
120,30,1.05696
130,30,1.28856
140,30,1.51491
150,30,1.70887
160,30,1.85149
170,30,1.93147
180,30,1.94361
190,30,1.8874
200,30,1.7664
210,30,1.58842
220,30,1.36641
230,30,1.11959
240,30,0.874283
250,30,0.662661
260,30,0.518176
270,30,0.467234
280,30,0.520328
290,30,0.667872
300,30,0.883678
310,30,1.13355
320,30,1.38385
330,30,1.60684
340,30,1.78253
350,30,1.89822
360,30,1.94711
0,40,1.824
10,40,1.78812
20,40,1.64206
30,40,1.38956
40,40,1.04224
50,40,0.625518
60,40,0.183725
70,40,-0.218646
80,40,-0.504538
90,40,-0.606192
100,40,-0.49569
110,40,-0.201149
120,40,0.207995
130,40,0.652452
140,40,1.06684
150,40,1.40781
160,40,1.65173
170,40,1.78837
180,40,1.81476
190,40,1.73132
200,40,1.54075
210,40,1.24914
220,40,0.869076
230,40,0.424793
240,40,-0.0416526
250,40,-0.466398
260,40,-0.769629
270,40,-0.879175
