"Freq [GHz]","dB(S(1,1)) []"
2,-4.10665571165928
2.1,-5.45441651446918
2.2,-6.88715326588446
2.3,-8.23340111336578
2.4,-9.30728279765779
2.5,-9.98468461171325
2.6,-10.2722140481283
2.7,-10.2885079355543
2.8,-10.1864004045096
2.9,-10.1125030952129
3,-10.0390374810799
3.1,-8.18322744232674
3.2,-8.58097106246679
3.3,-8.74290022657481
3.4,-8.85885178471476
3.5,-8.99775874788859
3.6,-9.18128113358009
3.7,-9.41989583368499
3.8,-9.72390866159892
3.9,-10.1103480290674
4,-10.61078272463
4.1,-11.2728721830096
4.2,-12.0337749584735
4.3,-11.3912569343928
4.4,-7.14817061081497
4.5,-6.81095853154558
4.6,-7.92749671464723
4.7,-8.71501561451809
4.8,-9.21672590706631
4.9,-9.53202042865237
5,-9.71652405642807
