Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.00466
10,0,2.00466
20,0,2.00466
30,0,2.00466
40,0,2.00466
50,0,2.00466
60,0,2.00466
70,0,2.00466
80,0,2.00466
90,0,2.00466
100,0,2.00466
110,0,2.00466
120,0,2.00466
130,0,2.00466
140,0,2.00466
150,0,2.00466
160,0,2.00466
170,0,2.00466
180,0,2.00466
190,0,2.00466
200,0,2.00466
210,0,2.00466
220,0,2.00466
230,0,2.00466
240,0,2.00466
250,0,2.00466
260,0,2.00466
270,0,2.00466
280,0,2.00466
290,0,2.00466
300,0,2.00466
310,0,2.00466
320,0,2.00466
330,0,2.00466
340,0,2.00466
350,0,2.00466
360,0,2.00466
0,10,2.0379
10,10,2.03954
20,10,2.03039
30,10,2.01193
40,10,1.98657
50,10,1.95738
60,10,1.92778
70,10,1.90117
80,10,1.88045
90,10,1.86771
100,10,1.86393
110,10,1.86885
120,10,1.88108
130,10,1.89826
140,10,1.91745
150,10,1.93553
160,10,1.94952
170,10,1.95703
180,10,1.95642
190,10,1.94709
200,10,1.92952
210,10,1.90527
220,10,1.87687
230,10,1.84756
240,10,1.82096
250,10,1.8006
260,10,1.78947
270,10,1.78951
280,10,1.80138
290,10,1.82428
300,10,1.85606
310,10,1.89354
320,10,1.93289
330,10,1.97021
340,10,2.00191
350,10,2.0251
360,10,2.0379
0,20,2.03332
10,20,2.02558
20,20,1.98094
30,20,1.90439
40,20,1.80395
50,20,1.69048
60,20,1.57702
70,20,1.47753
80,20,1.40488
90,20,1.36847
100,20,1.37234
110,20,1.41437
120,20,1.48687
130,20,1.57841
140,20,1.67593
150,20,1.76666
160,20,1.83949
170,20,1.88579
180,20,1.8998
190,20,1.87892
200,20,1.82386
210,20,1.73888
220,20,1.63193
230,20,1.51443
240,20,1.40065
250,20,1.30609
260,20,1.24509
270,20,1.22804
280,20,1.25899
290,20,1.33456
300,20,1.44476
310,20,1.57519
320,20,1.70983
330,20,1.83359
340,20,1.93404
350,20,2.00232
360,20,2.03332
0,30,1.97183
10,30,1.94502
20,30,1.84679
30,30,1.68416
40,30,1.46897
50,30,1.21988
60,30,0.963856
70,30,0.735022
80,30,0.569341
90,30,0.495435
100,30,0.525264
110,30,0.650119
120,30,0.844496
130,30,1.07492
140,30,1.30841
150,30,1.51743
160,30,1.68152
170,30,1.78684
180,30,1.82505
190,30,1.79226
200,30,1.68866
210,30,1.5191
220,30,1.2947
230,30,1.03493
240,30,0.768938
250,30,0.534399
260,30,0.371868
270,30,0.314327
280,30,0.375775
290,30,0.545709
300,30,0.793324
310,30,1.07817
320,30,1.36075
330,30,1.60907
340,30,1.80101
350,30,1.92374
360,30,1.97183
0,40,1.85545
10,40,1.80431
20,40,1.64666
30,40,1.38623
40,40,1.03068
50,40,0.599139
60,40,0.131059
70,40,-0.308491
80,40,-0.635438
90,40,-0.772457
100,40,-0.685807
110,40,-0.404026
120,40,0.000305273
130,40,0.446408
140,40,0.869543
150,40,1.22703
160,40,1.49461
170,40,1.66065
180,40,1.72076
190,40,1.67342
200,40,1.51782
210,40,1.25451
220,40,0.889675
230,40,0.44229
240,40,-0.0469678
250,40,-0.508975
260,40,-0.850697
270,40,-0.982627
280,40,-0.863475
290,40,-0.525444
300,40,-0.0531851
310,40,0.45934
320,40,0.937517
330,40,1.33347
340,40,1.62248
350,40,1.79619
360,40,1.85545
0,50,1.70423
10,50,1.62909
20,50,1.41774
30,50,1.06351
40,50,0.558298
50,50,-0.0935011
60,50,-0.854094
70,50,-1.62655
80,50,-2.24068
90,50,-2.49776
100,50,-2.29882
110,50,-1.73137
120,50,-0.988135
130,50,-0.238059
140,50,0.418629
150,50,0.936031
160,50,1.30021
170,50,1.5139
180,50,1.58578
190,50,1.52155
200,50,1.31863
210,50,0.966722
220,50,0.455047
230,50,-0.214322
240,50,-1.00584
250,50,-1.82134
260,50,-2.4767
270,50,-2.7435
280,50,-2.50252
290,50,-1.85607
300,50,-1.02676
310,50,-0.203166
320,50,0.506244
330,50,1.05406
340,50,1.42956
350,50,1.64136
360,50,1.70423
0,60,1.54306
10,60,1.44971
20,60,1.19853
30,60,0.76618
40,60,0.118726
50,60,-0.772606
60,60,-1.90423
70,60,-3.18448
80,60,-4.33277
90,60,-4.85175
100,60,-4.4204
110,60,-3.32232
120,60,-2.05616
130,60,-0.914525
140,60,-0.000133191
150,60,0.670271
160,60,1.11309
170,60,1.35776
180,60,1.43375
190,60,1.35699
200,60,1.12083
210,60,0.697334
220,60,0.047705
230,60,-0.861622
240,60,-2.033
250,60,-3.3799
260,60,-4.60704
270,60,-5.15005
280,60,-4.63556
290,60,-3.41061
300,60,-2.04039
310,60,-0.829895
320,60,0.12282
330,60,0.807432
340,60,1.24821
350,60,1.48206
360,60,1.54306
0,70,1.39621
10,70,1.29422
20,70,1.02087
30,70,0.532989
40,70,-0.232773
50,70,-1.35012
60,70,-2.89189
70,70,-4.88257
80,70,-7.06488
90,70,-8.2769
100,70,-7.26032
110,70,-5.11691
120,70,-3.09923
130,70,-1.51383
140,70,-0.351572
150,70,0.447989
160,70,0.948492
170,70,1.2125
180,70,1.29292
190,70,1.21527
200,70,0.965329
210,70,0.493158
220,70,-0.272297
230,70,-1.41081
240,70,-3.00143
250,70,-5.08075
260,70,-7.39507
