Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.18225
10,0,2.18225
20,0,2.18225
30,0,2.18225
40,0,2.18225
50,0,2.18225
60,0,2.18225
70,0,2.18225
80,0,2.18225
90,0,2.18225
100,0,2.18225
110,0,2.18225
120,0,2.18225
130,0,2.18225
140,0,2.18225
150,0,2.18225
160,0,2.18225
170,0,2.18225
180,0,2.18225
190,0,2.18225
200,0,2.18225
210,0,2.18225
220,0,2.18225
230,0,2.18225
240,0,2.18225
250,0,2.18225
260,0,2.18225
270,0,2.18225
280,0,2.18225
290,0,2.18225
300,0,2.18225
310,0,2.18225
320,0,2.18225
330,0,2.18225
340,0,2.18225
350,0,2.18225
360,0,2.18225
0,10,2.11342
10,10,2.11105
20,10,2.10201
30,10,2.0875
40,10,2.06948
50,10,2.05037
60,10,2.03284
70,10,2.01943
80,10,2.01222
90,10,2.01254
100,10,2.02077
110,10,2.03627
120,10,2.05745
130,10,2.08199
140,10,2.10717
150,10,2.13017
160,10,2.14844
170,10,2.15996
180,10,2.16346
190,10,2.15849
200,10,2.14551
210,10,2.12582
220,10,2.10147
230,10,2.07501
240,10,2.04929
250,10,2.02706
260,10,2.0107
270,10,2.00184
280,10,2.00122
290,10,2.00849
300,10,2.02237
310,10,2.0408
320,10,2.06121
330,10,2.08093
340,10,2.09744
350,10,2.10871
360,10,2.11342
0,20,1.98516
10,20,1.97439
20,20,1.93518
30,20,1.8718
40,20,1.79132
50,20,1.70324
60,20,1.61871
70,20,1.54923
80,20,1.50508
90,20,1.49339
100,20,1.51673
110,20,1.57238
120,20,1.65289
130,20,1.74754
140,20,1.84439
150,20,1.93204
160,20,2.001
170,20,2.04433
180,20,2.05792
190,20,2.04041
200,20,1.99317
210,20,1.92037
220,20,1.82888
230,20,1.72816
240,20,1.62954
250,20,1.54502
260,20,1.48554
270,20,1.45896
280,20,1.4685
290,20,1.51206
300,20,1.5827
310,20,1.67015
320,20,1.76271
330,20,1.84901
340,20,1.91931
350,20,1.96623
360,20,1.98516
0,30,1.84044
10,30,1.81668
20,30,1.72947
30,30,1.58556
40,30,1.39744
50,30,1.18386
60,30,0.969666
70,30,0.784278
80,30,0.65763
90,30,0.613362
100,30,0.661354
110,30,0.793807
120,30,0.987618
130,30,1.21156
140,30,1.43422
150,30,1.62955
160,30,1.779
170,30,1.87114
180,30,1.90008
190,30,1.86393
200,30,1.76439
210,30,1.6073
220,30,1.4041
230,30,1.17316
240,30,0.940104
250,30,0.73597
260,30,0.592408
270,30,0.534135
280,30,0.571316
290,30,0.696046
300,30,0.885252
310,30,1.10808
320,30,1.33353
330,30,1.53556
340,30,1.69493
350,30,1.79897
360,30,1.84044
0,40,1.71846
10,40,1.67828
20,40,1.53141
30,40,1.28345
40,40,0.947871
50,40,0.549264
60,40,0.127017
70,40,-0.261646
80,40,-0.545237
90,40,-0.656781
100,40,-0.564421
110,40,-0.290173
120,40,0.101822
130,40,0.535141
140,40,0.94506
150,40,1.28799
160,40,1.54024
170,40,1.69187
180,40,1.73965
190,40,1.68233
200,40,1.51954
210,40,1.25418
220,40,0.897208
230,40,0.473013
240,40,0.0241494
250,40,-0.386966
260,40,-0.684583
270,40,-0.800782
280,40,-0.706027
290,40,-0.425567
300,40,-0.025197
310,40,0.41908
320,40,0.843625
330,40,1.205
340,40,1.47822
350,40,1.65112
360,40,1.71846
0,50,1.63396
10,50,1.57499
20,50,1.36528
30,50,1.00326
40,50,0.494428
50,50,-0.142174
60,50,-0.863506
70,50,-1.58259
80,50,-2.15096
90,50,-2.39089
100,50,-2.20654
110,50,-1.66703
120,50,-0.944951
130,50,-0.203741
140,50,0.450895
150,50,0.967221
160,50,1.32986
170,50,1.54181
180,50,1.60948
190,50,1.53361
200,50,1.30805
210,50,0.925269
220,50,0.385884
230,50,-0.290653
240,50,-1.05346
250,50,-1.80311
260,50,-2.3812
270,50,-2.60949
280,50,-2.40128
290,50,-1.83565
300,50,-1.08843
310,50,-0.32099
320,50,0.363026
330,50,0.911173
340,50,1.30509
350,50,1.5445
360,50,1.63396
0,60,1.57267
10,60,1.49467
20,60,1.22875
30,60,0.759434
40,60,0.0733496
50,60,-0.834309
60,60,-1.94684
70,60,-3.17831
80,60,-4.27216
90,60,-4.77014
100,60,-4.37092
110,60,-3.31976
120,60,-2.07479
130,60,-0.925762
140,60,0.00911193
150,60,0.701191
160,60,1.16413
170,60,1.42662
180,60,1.51179
190,60,1.42433
200,60,1.14908
210,60,0.660368
220,60,-0.0637485
230,60,-1.02834
240,60,-2.20457
250,60,-3.48465
260,60,-4.59022
270,60,-5.05844
280,60,-4.61103
290,60,-3.51519
300,60,-2.22964
310,60,-1.0384
320,60,-0.0581524
330,60,0.678696
340,60,1.18002
350,60,1.47049
360,60,1.57267
0,70,1.51567
10,70,1.4217
20,70,1.11459
30,70,0.560664
40,70,-0.2804
50,70,-1.45507
60,70,-3.0187
70,70,-4.99099
80,70,-7.11009
90,70,-8.24751
100,70,-7.2583
110,70,-5.17565
120,70,-3.16778
130,70,-1.54974
140,70,-0.340198
150,70,0.504474
160,70,1.04446
170,70,1.34075
180,70,1.43715
190,70,1.34493
200,70,1.03986
210,70,0.474607
220,70,-0.403886
230,70,-1.64558
240,70,-3.29431
250,70,-5.3439
260,70,-7.49511
270,70,-8.58631
280,70,-7.52206
290,70,-5.38495
300,70,-3.32656
310,70,-1.65342
320,70,-0.386248
330,70,0.511116
340,70,1.09109
350,70,1.41095
360,70,1.51567
0,80,1.46629
10,80,1.3618
20,80,1.03162
30,80,0.426058
40,80,-0.521099
50,80,-1.90132
60,80,-3.86828
70,80,-6.69941
80,80,-10.7802
90,80,-14.3051
100,80,-11.0146
110,80,-6.9062
120,80,-4.01238
130,80,-1.98107
140,80,-0.562262
150,80,0.388821
160,80,0.977516
170,80,1.2909
180,80,1.39036
190,80,1.29514
200,80,0.97647
210,80,0.370238
220,80,-0.605026
230,80,-2.04824
240,80,-4.10672
