"Freq [GHz]","dB(S(1,1)) []"
2,-5.25708262817353
2.1,-6.60317770805683
2.2,-7.84670682557362
2.3,-8.82920154616294
2.4,-9.46727119520059
2.5,-9.78272398440043
2.6,-9.86475594625647
2.7,-9.80070224729292
2.8,-9.59534208717481
2.9,-8.81419535952401
3,-6.11622020944146
3.1,-7.84882242635087
3.2,-8.72555283828801
3.3,-9.09758067260928
3.4,-9.35654640941623
3.5,-9.5949276272943
3.6,-9.83679804045217
3.7,-10.0836310231037
3.8,-10.324593157287
3.9,-10.5365265679251
4,-10.6762161855491
4.1,-10.6575380990201
4.2,-10.2894635192563
4.3,-9.16185108765037
4.4,-7.42243402991012
4.5,-8.81692517186351
4.6,-10.9832731717154
4.7,-11.9407268449446
4.8,-12.25202058323
4.9,-12.2309532924429
5,-11.9927742841531
