"Freq [GHz]","dB(S(1,1)) []"
2,-3.22526487783659
2.1,-4.41029231555846
2.2,-5.87129019161365
2.3,-7.59653974752946
2.4,-9.55728558793191
2.5,-11.6999534492723
2.6,-13.8711792887044
2.7,-15.3259878614397
2.8,-12.7783864355668
2.9,-5.4520896612841
3,-8.51379836273875
3.1,-11.0651300228763
3.2,-12.2183871150922
3.3,-12.8042773317387
3.4,-13.1544021986296
3.5,-13.3976172736516
3.6,-13.5679245621811
3.7,-13.6409437422445
3.8,-13.5423255381761
3.9,-13.1449146519426
4,-12.2690719087991
4.1,-10.7034132171339
4.2,-8.27324642737847
4.3,-5.22744789088939
4.4,-4.02304977295226
4.5,-6.59576934067463
4.6,-9.75520298636523
4.7,-12.2796038715089
4.8,-14.1429840754298
4.9,-15.4311349495142
5,-16.2457845330296
