Phi[deg],Theta[deg],dB(GainTotal)
0,0,-2.11187
10,0,-2.11187
20,0,-2.11187
30,0,-2.11187
40,0,-2.11187
50,0,-2.11187
60,0,-2.11187
70,0,-2.11187
80,0,-2.11187
90,0,-2.11187
100,0,-2.11187
110,0,-2.11187
120,0,-2.11187
130,0,-2.11187
140,0,-2.11187
150,0,-2.11187
160,0,-2.11187
170,0,-2.11187
180,0,-2.11187
190,0,-2.11187
200,0,-2.11187
210,0,-2.11187
220,0,-2.11187
230,0,-2.11187
240,0,-2.11187
250,0,-2.11187
260,0,-2.11187
270,0,-2.11187
280,0,-2.11187
290,0,-2.11187
300,0,-2.11187
310,0,-2.11187
320,0,-2.11187
330,0,-2.11187
340,0,-2.11187
350,0,-2.11187
360,0,-2.11187
0,10,-0.811142
10,10,-0.37077
20,10,-0.00155725
30,10,0.30371
40,10,0.550473
50,10,0.742096
60,10,0.880041
70,10,0.964355
80,10,0.994316
90,10,0.96904
100,10,0.887918
110,10,0.7508
120,10,0.557875
130,10,0.309284
140,10,0.00453325
150,10,-0.358124
160,10,-0.782148
170,10,-1.27277
180,10,-1.83644
190,10,-2.47945
200,10,-3.20539
210,10,-4.01089
220,10,-4.87858
230,10,-5.76604
240,10,-6.59187
250,10,-7.22908
260,10,-7.5318
270,10,-7.40989
280,10,-6.89459
290,10,-6.11415
300,10,-5.21211
310,10,-4.29505
320,10,-3.42597
330,10,-2.63615
340,10,-1.93749
350,10,-1.33083
360,10,-0.811142
0,20,0.748925
10,20,1.19097
20,20,1.54374
30,20,1.83501
40,20,2.08145
50,20,2.28822
60,20,2.45117
70,20,2.56083
80,20,2.60678
90,20,2.58094
100,20,2.47983
110,20,2.30548
120,20,2.06508
130,20,1.76897
140,20,1.42662
150,20,1.04142
160,20,0.605892
170,20,0.0991981
180,20,-0.512385
190,20,-1.27272
200,20,-2.23238
210,20,-3.44543
220,20,-4.96604
230,20,-6.8393
240,20,-9.061
250,20,-11.402
260,20,-12.9334
270,20,-12.3825
280,20,-10.3238
290,20,-8.01601
300,20,-5.93037
310,20,-4.15422
320,20,-2.684
330,20,-1.49471
340,20,-0.552623
350,20,0.181359
360,20,0.748925
0,30,1.76336
10,30,2.04297
20,30,2.24437
30,30,2.41832
40,30,2.59429
50,30,2.77693
60,30,2.94972
70,30,3.08504
80,30,3.15491
90,30,3.13842
100,30,3.02642
110,30,2.82489
120,30,2.55659
130,30,2.25694
140,30,1.96151
150,30,1.68814
160,30,1.42415
170,30,1.12597
180,30,0.72842
190,30,0.155434
200,30,-0.670931
210,30,-1.81942
220,30,-3.32601
230,30,-5.13561
240,30,-6.9835
250,30,-8.33049
260,30,-8.75247
270,30,-8.39532
280,30,-7.53504
290,30,-6.23937
300,30,-4.61756
310,30,-2.93014
320,30,-1.41801
330,30,-0.199593
340,30,0.707563
350,30,1.34118
360,30,1.76336
0,40,2.2318
10,40,2.32686
20,40,2.35233
30,40,2.37154
40,40,2.4257
50,40,2.52963
60,40,2.66782
70,40,2.80146
80,40,2.88434
90,40,2.87716
100,40,2.75866
110,40,2.53727
120,40,2.25949
130,40,2.00111
140,40,1.82992
150,40,1.76128
160,40,1.74945
170,40,1.71495
180,40,1.56857
190,40,1.2161
200,40,0.55881
210,40,-0.49405
220,40,-1.98298
230,40,-3.78505
240,40,-5.41843
250,40,-6.19099
260,40,-6.10139
270,40,-5.76257
280,40,-5.43539
290,40,-4.86077
300,40,-3.70542
310,40,-2.12422
320,40,-0.575598
330,40,0.650072
340,40,1.48667
350,40,1.98371
360,40,2.2318
0,50,2.33372
10,50,2.2836
20,50,2.17515
30,50,2.04745
40,50,1.92559
50,50,1.84635
60,50,1.83594
70,50,1.87752
80,50,1.91685
90,50,1.89335
100,50,1.76872
110,50,1.55202
120,50,1.32184
130,50,1.20571
140,50,1.28174
150,50,1.50257
160,50,1.75431
170,50,1.94335
180,50,1.99817
190,50,1.83106
200,50,1.32464
210,50,0.350046
220,50,-1.18208
230,50,-3.17739
240,50,-5.04263
250,50,-5.81002
260,50,-5.55792
270,50,-5.17846
280,50,-4.9955
290,50,-4.65122
300,50,-3.56131
310,50,-1.83405
320,50,-0.141788
330,50,1.1141
340,50,1.87737
350,50,2.23996
360,50,2.33372
0,60,2.21247
10,60,2.05551
20,60,1.87289
30,60,1.64362
40,60,1.32394
50,60,0.953334
60,60,0.630641
70,60,0.404485
80,60,0.243354
90,60,0.103163
100,60,-0.0358765
110,60,-0.164195
120,60,-0.193584
130,60,0.0262889
140,60,0.509552
150,60,1.0717
160,60,1.54569
170,60,1.89089
180,60,2.09702
190,60,2.08588
200,60,1.71278
210,60,0.807369
220,60,-0.783006
230,60,-3.06519
240,60,-5.49667
250,60,-6.7363
260,60,-6.54615
270,60,-6.11229
280,60,-5.88479
290,60,-5.404
300,60,-3.95823
310,60,-1.85005
320,60,0.0401561
330,60,1.32414
340,60,2.01451
350,60,2.25357
360,60,2.21247
0,70,2.00271
10,70,1.73749
20,70,1.49739
30,70,1.20199
40,70,0.705729
50,70,0.00664833
60,70,-0.76143
70,70,-1.51842
80,70,-2.26696
90,70,-2.85797
100,70,-3.02656
110,70,-2.76852
120,70,-2.21004
130,70,-1.34867
140,70,-0.322059
150,70,0.576936
160,70,1.2209
170,70,1.6857
180,70,2.03016
190,70,2.16089
200,70,1.89609
210,70,1.03883
220,70,-0.610587
230,70,-3.19005
240,70,-6.43974
250,70,-8.87421
260,70,-9.14251
270,70,-8.59669
280,70,-8.03368
290,70,-6.87665
300,70,-4.59483
310,70,-1.97784
320,70,0.0924339
330,70,1.39498
340,70,2.03152
350,70,2.17122
360,70,2.00271
0,80,1.83831
10,80,1.45413
20,80,1.13253
30,80,0.768177
40,80,0.134385
50,80,-0.827541
60,80,-2.02449
70,80,-3.53465
80,80,-5.67041
90,80,-8.03554
100,80,-8.24227
110,80,-6.33405
120,80,-4.35605
130,80,-2.57671
140,80,-1.01888
150,80,0.145646
160,80,0.920603
170,80,1.49743
180,80,1.97376
190,80,2.22095
200,80,2.02673
210,80,1.18916
220,80,-0.510072
230,80,-3.31632
240,80,-7.40494
250,80,-12.2208
260,80,-14.5329
270,80,-13.4605
280,80,-11.4648
290,80,-8.58272
300,80,-5.13424
310,80,-2.08023
320,80,0.104607
330,80,1.42373
340,80,2.03868
350,80,2.11545
360,80,1.83831
0,90,1.79919
10,90,1.33424
20,90,0.929182
30,90,0.487156
40,90,-0.232511
50,90,-1.29908
60,90,-2.65452
70,90,-4.58116
80,90,-8.0787
90,90,-15.1911
100,90,-14.9977
110,90,-8.70845
120,90,-5.4036
130,90,-3.12687
140,90,-1.34837
150,90,-0.0671907
160,90,0.793212
170,90,1.45663
180,90,2.01601
190,90,2.32185
200,90,2.1542
210,90,1.31709
220,90,-0.405308
230,90,-3.29649
240,90,-7.76035
250,90,-14.6874
260,90,-27.6863
270,90,-20.2386
280,90,-13.9631
290,90,-9.3273
300,90,-5.28929
310,90,-2.09188
320,90,0.126578
330,90,1.46146
340,90,2.07954
350,90,2.13281
360,90,1.79919
0,100,1.89634
10,100,1.44268
20,100,1.01351
30,100,0.530295
40,100,-0.189877
50,100,-1.15508
60,100,-2.25622
70,100,-3.64988
80,100,-5.6777
90,100,-7.75203
100,100,-7.69988
110,100,-5.99171
120,100,-4.25905
130,100,-2.63909
140,100,-1.14402
150,100,0.0473924
160,100,0.91128
170,100,1.59236
180,100,2.14553
190,100,2.43109
200,100,2.24489
210,100,1.39884
220,100,-0.31011
230,100,-3.12491
240,100,-7.2405
250,100,-12.1623
260,100,-14.5803
270,100,-13.3042
280,100,-11.1391
290,100,-8.30015
300,100,-4.9787
310,100,-2.00298
320,100,0.166615
330,100,1.50571
340,100,2.13821
350,100,2.20812
360,100,1.89634
0,110,2.09894
10,110,1.74778
20,110,1.37496
30,110,0.927295
40,110,0.315794
50,110,-0.387408
60,110,-1.02422
70,110,-1.61037
80,110,-2.21925
90,110,-2.66211
100,110,-2.71366
110,110,-2.47863
120,110,-2.06945
130,110,-1.38604
