"Freq [GHz]","dB(S(1,1)) []"
2,-5.38858720537093
2.1,-6.60264450523762
2.2,-7.66124602722689
2.3,-8.45622791400736
2.4,-8.96364065829193
2.5,-9.23601541345582
2.6,-9.35654175920531
2.7,-9.39768235130036
2.8,-9.39703045640007
2.9,-9.30654253877765
3,-8.63863897954379
3.1,-5.88770301882945
3.2,-7.08740134413095
3.3,-8.39306049348741
3.4,-9.05643206651248
3.5,-9.51108900821488
3.6,-9.87054624939601
3.7,-10.1495138585795
3.8,-10.3190564736216
3.9,-10.3103593462067
4,-9.99673287054229
4.1,-9.16712389885216
4.2,-7.55224649998654
4.3,-5.30485884838369
4.4,-4.82489355799975
4.5,-7.35357098845519
4.6,-9.90493438456283
4.7,-11.5968385159984
4.8,-12.5544765314636
4.9,-12.9653588550806
5,-12.9787928574977
