"Freq [GHz]","dB(S(1,1)) []"
2,-2.290704818073
2.1,-3.05939220477124
2.2,-4.01415470479355
2.3,-5.15413144111368
2.4,-6.49794958103299
2.5,-8.11992566512079
2.6,-10.2469393687084
2.7,-13.6162323375825
2.8,-19.6733179205589
2.9,-9.40121505654745
3,-2.9446786747986
3.1,-4.58296129523778
3.2,-6.56796798702156
3.3,-8.1079996972283
3.4,-9.38777202005729
3.5,-10.5322026910577
3.6,-11.6113554406805
3.7,-12.6663804227564
3.8,-13.7225982897482
3.9,-14.7955260927823
4,-15.8931397154844
4.1,-17.015497806024
4.2,-18.1517542954863
4.3,-19.2741995375911
4.4,-20.3299162295267
4.5,-21.2347665911509
4.6,-21.882295901847
4.7,-22.1810821437348
4.8,-22.1064117388369
4.9,-21.7171336204418
5,-21.1179399304076
