"Freq [GHz]","dB(S(1,1)) []"
2,-3.86292507834305
2.1,-5.11333449837648
2.2,-6.52514288156452
2.3,-7.98545104442049
2.4,-9.34688052822483
2.5,-10.4509292122977
2.6,-11.1735355161645
2.7,-11.453273058252
2.8,-11.1962474890446
2.9,-9.78020224554896
3,-5.92882954395577
3.1,-8.37819989326617
3.2,-10.1491025294517
3.3,-10.7300166185967
3.4,-10.9756201858571
3.5,-11.1037676346991
3.6,-11.1692349205632
3.7,-11.1757554608425
3.8,-11.105255688667
3.9,-10.9268583521803
4,-10.5994598124922
4.1,-10.0710620130358
4.2,-9.27549525560894
4.3,-8.12981866449169
4.4,-6.55879530186678
4.5,-4.7037118334852
4.6,-3.76082628468684
4.7,-5.46155282038762
4.8,-8.35977945233063
4.9,-10.7838928986212
5,-12.3989328288216
