"Freq [GHz]","dB(S(1,1)) []"
2,-5.2583209633328
2.1,-6.80868250756121
2.2,-8.3915253043483
2.3,-9.76475767041443
2.4,-10.6878775116358
2.5,-11.0646731923093
2.6,-11.0000282893348
2.7,-10.6835800570188
2.8,-10.2649633852974
2.9,-9.82338716315532
3,-9.38639166673656
3.1,-8.9518031899889
3.2,-8.50405867312893
3.3,-8.04243857961694
3.4,-7.77610849701491
3.5,-14.7315153254985
3.6,-5.50387122700445
3.7,-3.32625770611759
3.8,-2.69239464491109
3.9,-4.08317851314716
4,-6.39001544547802
4.1,-8.44509781390871
4.2,-9.99668787825722
4.3,-11.1112576873565
4.4,-11.8911891492511
4.5,-12.4091113273516
4.6,-12.6983248813884
4.7,-12.7555835208947
4.8,-12.5545070390228
4.9,-12.0918453883565
5,-11.4822347424547
