Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.17631
10,0,2.17631
20,0,2.17631
30,0,2.17631
40,0,2.17631
50,0,2.17632
60,0,2.17632
70,0,2.17631
80,0,2.17631
90,0,2.17631
100,0,2.17631
110,0,2.17631
120,0,2.17631
130,0,2.17631
140,0,2.17631
150,0,2.17631
160,0,2.17631
170,0,2.17631
180,0,2.17631
190,0,2.17631
200,0,2.17631
210,0,2.17631
220,0,2.17631
230,0,2.17631
240,0,2.17631
250,0,2.17631
260,0,2.17631
270,0,2.17631
280,0,2.17631
290,0,2.17631
300,0,2.17631
310,0,2.17631
320,0,2.17631
330,0,2.17631
340,0,2.17631
350,0,2.17631
360,0,2.17631
0,10,2.13613
10,10,2.14401
20,10,2.14347
30,10,2.13555
40,10,2.12217
50,10,2.10586
60,10,2.08945
70,10,2.07575
80,10,2.06714
90,10,2.06526
100,10,2.07069
110,10,2.08291
120,10,2.10032
130,10,2.12048
140,10,2.14045
150,10,2.15717
160,10,2.16788
170,10,2.17045
180,10,2.16362
190,10,2.14718
200,10,2.12198
210,10,2.0899
220,10,2.05368
230,10,2.01666
240,10,1.98241
250,10,1.95437
260,10,1.93537
270,10,1.92729
280,10,1.93079
290,10,1.94526
300,10,1.96891
310,10,1.99904
320,10,2.03241
330,10,2.06564
340,10,2.0956
350,10,2.1197
360,10,2.13613
0,20,2.05921
10,20,2.06657
20,20,2.04132
30,20,1.98737
40,20,1.91178
50,20,1.82438
60,20,1.73699
70,20,1.66215
80,20,1.61129
90,20,1.59268
100,20,1.60977
110,20,1.66035
120,20,1.73694
130,20,1.82825
140,20,1.92122
150,20,2.00308
160,20,2.06295
170,20,2.09293
180,20,2.08843
190,20,2.04837
200,20,1.97498
210,20,1.87383
220,20,1.75367
230,20,1.6262
240,20,1.50527
250,20,1.40534
260,20,1.33926
270,20,1.31574
280,20,1.33752
290,20,1.40089
300,20,1.49664
310,20,1.61221
320,20,1.73395
330,20,1.84903
340,20,1.9466
350,20,2.01844
360,20,2.05921
0,30,1.96185
10,30,1.96095
20,30,1.89083
30,30,1.75773
40,30,1.57398
50,30,1.35887
60,30,1.13862
70,30,0.944406
80,30,0.807729
90,30,0.753275
100,30,0.791747
110,30,0.916285
120,30,1.1046
130,30,1.32542
140,30,1.54594
150,30,1.73742
160,30,1.87829
170,30,1.95476
180,30,1.96001
190,30,1.89275
200,30,1.75616
210,30,1.55799
220,30,1.31181
230,30,1.03887
240,30,0.769046
250,30,0.538806
260,30,0.384864
270,30,0.334364
280,30,0.395862
290,30,0.556516
300,30,0.787347
310,30,1.05289
320,30,1.31965
330,30,1.56059
340,30,1.75594
350,30,1.89237
360,30,1.96185
0,40,1.85966
10,40,1.84433
20,40,1.71554
30,40,1.47869
40,40,1.14728
50,40,0.747282
60,40,0.321395
70,40,-0.0698033
80,40,-0.354752
90,40,-0.470436
100,40,-0.388802
110,40,-0.130762
120,40,0.244938
130,40,0.666814
140,40,1.07091
150,40,1.40986
160,40,1.65398
170,40,1.78841
180,40,1.80837
190,40,1.7144
200,40,1.50934
210,40,1.1984
220,40,0.793251
230,40,0.319315
240,40,-0.176563
250,40,-0.623307
260,40,-0.935156
270,40,-1.03882
280,40,-0.908209
290,40,-0.57883
300,40,-0.127001
310,40,0.365554
320,40,0.834591
330,40,1.2381
340,40,1.55144
350,40,1.76101
360,40,1.85966
0,50,1.76447
10,50,1.73149
20,50,1.53882
30,50,1.18598
40,50,0.679169
50,50,0.0407511
60,50,-0.677598
70,50,-1.37947
80,50,-1.91898
90,50,-2.13998
100,50,-1.96806
110,50,-1.46792
120,50,-0.789583
130,50,-0.0786928
140,50,0.56314
150,50,1.07689
160,50,1.43494
170,50,1.63037
180,50,1.66675
190,50,1.54903
200,50,1.27776
210,50,0.849342
220,50,0.263567
230,50,-0.462134
240,50,-1.27398
250,50,-2.06233
260,50,-2.65606
270,50,-2.87047
280,50,-2.62385
290,50,-2.00852
300,50,-1.21248
310,50,-0.401488
320,50,0.323989
330,50,0.916004
340,50,1.35613
350,50,1.63919
360,50,1.76447
0,60,1.6813
10,60,1.63122
20,60,1.37851
30,60,0.911669
40,60,0.219471
50,60,-0.697464
60,60,-1.80541
70,60,-2.99253
80,60,-3.99815
90,60,-4.42746
100,60,-4.05613
110,60,-3.09819
120,60,-1.93937
130,60,-0.838847
140,60,0.083793
150,60,0.783402
160,60,1.25223
170,60,1.50271
180,60,1.55349
190,60,1.41599
200,60,1.08596
210,60,0.544669
220,60,-0.229605
230,60,-1.24321
240,60,-2.46244
250,60,-3.76868
260,60,-4.8784
270,60,-5.3359
280,60,-4.86674
290,60,-3.73716
300,60,-2.41412
310,60,-1.18672
320,60,-0.166046
330,60,0.622434
340,60,1.1845
350,60,1.5337
360,60,1.6813
0,70,1.61209
10,70,1.54857
20,70,1.24703
30,70,0.682351
40,70,-0.180764
50,70,-1.38275
60,70,-2.95729
70,70,-4.87435
80,70,-6.81551
90,70,-7.76918
100,70,-6.87447
110,70,-4.98527
120,70,-3.09667
130,70,-1.52422
140,70,-0.310666
150,70,0.560691
160,70,1.12202
170,70,1.41396
180,70,1.47443
190,70,1.32191
200,70,0.94463
210,70,0.304652
220,70,-0.646188
230,70,-1.95114
240,70,-3.63917
250,70,-5.68723
260,70,-7.8041
270,70,-8.89039
280,70,-7.84951
290,70,-5.69634
300,70,-3.60524
310,70,-1.89765
320,70,-0.584375
330,70,0.380914
340,70,1.04541
350,70,1.44729
360,70,1.61209
0,80,1.56211
10,80,1.49015
20,80,1.15572
30,80,0.522523
40,80,-0.466106
50,80,-1.89599
60,80,-3.90658
70,80,-6.72989
80,80,-10.596
90,80,-13.5339
100,80,-10.6367
110,80,-6.82521
120,80,-4.02586
130,80,-2.00931
140,80,-0.56245
150,80,0.432944
160,80,1.0553
170,80,1.37194
180,80,1.43723
190,80,1.27441
200,80,0.863594
210,80,0.150018
220,80,-0.93643
230,80,-2.47557
240,80,-4.58732
250,80,-7.50623
260,80,-11.5906
270,80,-15.0621
280,80,-11.7117
290,80,-7.51227
300,80,-4.53135
310,80,-2.4089
320,80,-0.877109
330,80,0.21249
340,80,0.947539
350,80,1.38535
360,80,1.56211
0,90,1.53891
10,90,1.46331
20,90,1.11432
30,90,0.452368
40,90,-0.586789
50,90,-2.10929
60,90,-4.31455
70,90,-7.65151
80,90,-13.5482
90,90,-30.9201
100,90,-13.5195
110,90,-7.69611
120,90,-4.37866
130,90,-2.16311
140,90,-0.623863
150,90,0.417165
160,90,1.06128
170,90,1.38679
180,90,1.45316
190,90,1.28353
200,90,0.853545
210,90,0.102452
220,90,-1.04612
230,90,-2.68518
240,90,-4.98023
250,90,-8.34685
260,90,-14.1844
270,90,-30.678
280,90,-14.1369
290,90,-8.23495
300,90,-4.86191
310,90,-2.59884
320,90,-0.997483
330,90,0.136114
340,90,0.9007
350,90,1.35578
360,90,1.53891
0,100,1.54506
10,100,1.47014
20,100,1.12606
30,100,0.47975
40,100,-0.522013
50,100,-1.96394
60,100,-3.99165
70,100,-6.86331
80,100,-10.9032
90,100,-14.1241
100,100,-10.8518
110,100,-6.84015
120,100,-3.97546
130,100,-1.93586
140,100,-0.481897
150,100,0.515961
160,100,1.14103
170,100,1.46033
180,100,1.52415
190,100,1.35067
200,100,0.917639
210,100,0.173311
220,100,-0.944385
230,100,-2.50531
240,100,-4.61865
250,100,-7.49249
260,100,-11.3444
270,100,-14.1293
280,100,-11.1055
290,100,-7.2673
300,100,-4.45259
310,100,-2.41483
320,100,-0.919013
330,100,0.1666
340,100,0.912849
350,100,1.36284
360,100,1.54506
0,110,1.57611
10,110,1.50616
20,110,1.187
30,110,0.598303
40,110,-0.289596
50,110,-1.51471
60,110,-3.11721
70,110,-5.08629
80,110,-7.11721
90,110,-8.10326
100,110,-7.06166
110,110,-5.00652
120,110,-3.0209
130,110,-1.40201
140,110,-0.16857
150,110,0.712266
160,110,1.28065
170,110,1.57712
180,110,1.63363
190,110,1.46135
200,110,1.04571
210,110,0.354816
220,110,-0.645112
230,110,-1.97947
240,110,-3.65907
250,110,-5.63392
260,110,-7.56534
270,110,-8.4151
280,110,-7.38513
290,110,-5.42106
300,110,-3.5027
310,110,-1.90757
320,110,-0.647619
330,110,0.308797
340,110,0.986894
350,110,1.40475
360,110,1.57611
0,120,1.62902
10,120,1.56818
20,120,1.29274
30,120,0.795449
40,120,0.0710952
50,120,-0.875588
60,120,-2.01205
70,120,-3.23016
80,120,-4.25869
90,120,-4.66134
100,120,-4.19117
110,120,-3.11133
120,120,-1.85778
130,120,-0.699182
140,120,0.25524
150,120,0.972901
160,120,1.45339
170,120,1.70914
180,120,1.75335
190,120,1.59124
200,120,1.21761
210,120,0.622116
220,120,-0.200038
230,120,-1.23546
240,120,-2.43419
250,120,-3.66836
260,120,-4.6633
270,120,-5.02351
280,120,-4.55953
290,120,-3.52982
300,120,-2.32811
310,120,-1.19391
320,120,-0.223114
330,120,0.552172
340,120,1.12086
350,120,1.47972
360,120,1.62902
0,130,1.71002
10,130,1.6615
20,130,1.44393
30,130,1.05967
40,130,0.52005
50,130,-0.147185
60,130,-0.886323
70,130,-1.5968
80,130,-2.12414
90,130,-2.30084
100,130,-2.05333
110,130,-1.46677
120,130,-0.714049
130,130,0.0496872
140,130,0.725286
150,130,1.26023
160,130,1.63127
170,130,1.83126
180,130,1.86022
190,130,1.71982
200,130,1.41212
210,130,0.942231
220,130,0.324403
230,130,-0.40925
240,130,-1.19696
250,130,-1.93341
260,130,-2.46786
270,130,-2.64902
280,130,-2.42006
290,130,-1.86571
300,130,-1.14373
310,130,-0.393387
320,130,0.295675
330,130,0.87267
340,130,1.30959
350,130,1.59133
360,130,1.71002
0,140,1.82652
10,140,1.79246
20,140,1.6394
30,140,1.37474
40,140,1.01585
50,140,0.593731
60,140,0.156158
70,140,-0.231861
80,140,-0.495575
90,140,-0.571823
100,140,-0.437861
110,140,-0.12461
120,140,0.299483
130,140,0.75807
140,140,1.18745
150,140,1.54283
160,140,1.79649
170,140,1.93348
180,140,1.94767
190,140,1.83908
200,140,1.61308
210,140,1.28128
220,140,0.863975
230,140,0.393561
240,140,-0.0820024
250,140,-0.498726
260,140,-0.784604
270,140,-0.880463
280,140,-0.766081
290,140,-0.470823
300,140,-0.0580953
310,140,0.401386
320,140,0.847783
330,140,1.23747
340,140,1.54133
350,140,1.74118
360,140,1.82652
0,150,1.96741
10,150,1.94865
20,150,1.85807
30,150,1.70351
40,150,1.4999
50,150,1.26972
60,150,1.04228
70,150,0.850951
80,150,0.727641
90,150,0.69529
100,150,0.760867
110,150,0.912903
120,150,1.12522
130,150,1.36453
140,150,1.59787
150,150,1.79743
160,150,1.9425
170,150,2.01975
180,150,2.02253
190,150,1.95029
200,150,1.80811
210,150,1.60672
220,150,1.36282
230,150,1.09928
240,150,0.844774
250,150,0.631526
260,150,0.490529
270,150,0.444409
280,150,0.500676
290,150,0.64913
300,150,0.865163
310,150,1.11685
320,150,1.37202
330,150,1.60292
340,150,1.78812
350,150,1.91265
360,150,1.96741
0,160,2.09707
10,160,2.09173
20,160,2.05262
30,160,1.98467
40,160,1.8962
50,160,1.79839
60,160,1.70421
70,160,1.6268
80,160,1.57751
90,160,1.56376
100,160,1.58765
110,160,1.64545
120,160,1.72846
130,160,1.8247
140,160,1.92096
150,160,2.00474
160,160,2.06562
170,160,2.09618
180,160,2.09239
190,160,2.05376
200,160,1.98327
210,160,1.88718
220,160,1.77467
230,160,1.65727
240,160,1.54792
250,160,1.4596
260,160,1.4035
270,160,1.38717
280,160,1.41295
290,160,1.47745
300,160,1.57223
310,160,1.68535
320,160,1.8034
330,160,1.9134
340,160,2.00417
350,160,2.0672
360,160,2.09707
0,170,2.17649
10,170,2.17861
20,170,2.17171
30,170,2.15718
40,170,2.1373
50,170,2.11491
60,170,2.09313
70,170,2.07493
80,170,2.06275
90,170,2.05814
100,170,2.06156
110,170,2.07232
120,170,2.08869
130,170,2.10813
140,170,2.12769
150,170,2.14439
160,170,2.15556
170,170,2.15924
180,170,2.15431
190,170,2.14069
200,170,2.11931
210,170,2.09203
220,170,2.06151
230,170,2.03086
240,170,2.00338
250,170,1.98214
260,170,1.96962
270,170,1.96735
280,170,1.97576
290,170,1.99405
300,170,2.02032
310,170,2.05181
320,170,2.08524
330,170,2.11722
340,170,2.14462
350,170,2.16494
360,170,2.17649
0,180,2.19081
10,180,2.19081
20,180,2.19081
30,180,2.19081
40,180,2.19081
50,180,2.19081
60,180,2.19081
70,180,2.19081
80,180,2.19081
90,180,2.19081
100,180,2.19081
110,180,2.19081
120,180,2.19081
130,180,2.19081
140,180,2.19081
150,180,2.19081
160,180,2.19081
170,180,2.19081
180,180,2.19081
190,180,2.19081
200,180,2.19081
210,180,2.19081
220,180,2.19081
230,180,2.19081
240,180,2.19081
250,180,2.19081
260,180,2.19081
270,180,2.19081
280,180,2.19081
290,180,2.19081
300,180,2.19081
310,180,2.19081
320,180,2.19081
330,180,2.19081
340,180,2.19081
350,180,2.19081
360,180,2.19081
