"Freq [GHz]","dB(S(1,1)) []"
2,-4.40886713116667
2.1,-5.73852320798832
2.2,-7.02611815257477
2.3,-8.07292171347558
2.4,-8.73544858254732
2.5,-8.99977351484641
2.6,-8.9640811548845
2.7,-8.75449691427425
2.8,-8.46555879291914
2.9,-8.14870990056051
3,-7.82241996480789
3.1,-7.48693865695827
3.2,-7.16525421883658
3.3,-7.4752883691363
3.4,-5.80401980627081
3.5,-3.89522520571852
3.6,-2.72453615145116
3.7,-2.95095839680483
3.8,-4.57144549438187
3.9,-6.26687284156058
4,-7.57924790889488
4.1,-8.56320851514934
4.2,-9.32857978830584
4.3,-9.94907020162819
4.4,-10.4650792561916
4.5,-10.8968047626625
4.6,-11.2541342833072
4.7,-11.5429078752288
4.8,-11.7685062807124
4.9,-11.9374872744492
5,-12.0578504848559
