"Freq [GHz]","dB(S(1,1)) []"
2,-4.57821862669688
2.1,-6.41315284255747
2.2,-8.73353206474711
2.3,-11.4291107219119
2.4,-13.7373859710138
2.5,-13.641895041961
2.6,-10.7038647543248
2.7,-6.17385651303418
2.8,-5.06273414849574
2.9,-9.96989731022638
3,-10.9166955343697
3.1,-9.96681796154436
3.2,-8.64248924439857
3.3,-7.20260861650081
3.4,-5.62978992806938
3.5,-3.93611969211354
3.6,-2.44839271117644
3.7,-2.10615067198526
3.8,-3.45734216734216
3.9,-5.60264574185564
4,-7.69733494856717
4.1,-9.49105531252582
4.2,-10.9715658280365
4.3,-12.1731585296728
4.4,-13.1207004790829
4.5,-13.8189837328779
4.6,-14.2645483810308
4.7,-14.4771657116853
4.8,-14.5328001189695
4.9,-14.5563366987373
5,-14.6624122695577
