Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.22107
10,0,2.22107
20,0,2.22107
30,0,2.22107
40,0,2.22107
50,0,2.22107
60,0,2.22107
70,0,2.22107
80,0,2.22107
90,0,2.22107
100,0,2.22107
110,0,2.22107
120,0,2.22107
130,0,2.22107
140,0,2.22107
150,0,2.22107
160,0,2.22107
170,0,2.22107
180,0,2.22107
190,0,2.22107
200,0,2.22107
210,0,2.22107
220,0,2.22107
230,0,2.22107
240,0,2.22107
250,0,2.22107
260,0,2.22107
270,0,2.22107
280,0,2.22107
290,0,2.22107
300,0,2.22107
310,0,2.22107
320,0,2.22107
330,0,2.22107
340,0,2.22107
350,0,2.22107
360,0,2.22107
0,10,2.18299
10,10,2.19377
20,10,2.19559
30,10,2.1895
40,10,2.17743
50,10,2.16196
60,10,2.14601
70,10,2.13245
80,10,2.12371
90,10,2.12141
100,10,2.12614
110,10,2.13731
120,10,2.15331
130,10,2.1717
140,10,2.18955
150,10,2.20391
160,10,2.21209
170,10,2.21207
180,10,2.2027
190,10,2.18381
200,10,2.1563
210,10,2.12207
220,10,2.08388
230,10,2.04508
240,10,2.00927
250,10,1.97995
260,10,1.96004
270,10,1.95155
280,10,1.95527
290,10,1.97069
300,10,1.99607
310,10,2.02867
320,10,2.06513
330,10,2.10188
340,10,2.13552
350,10,2.16323
360,10,2.18299
0,20,2.10202
10,20,2.11469
20,20,2.0929
30,20,2.04077
40,20,1.96571
50,20,1.87805
60,20,1.79019
70,20,1.71525
80,20,1.66505
90,20,1.64794
100,20,1.66701
110,20,1.71934
120,20,1.79667
130,20,1.88715
140,20,1.97761
150,20,2.05556
160,20,2.11065
170,20,2.13541
180,20,2.1256
190,20,2.08025
200,20,2.00168
210,20,1.89553
220,20,1.77063
230,20,1.6387
240,20,1.51349
250,20,1.40931
260,20,1.33901
270,20,1.31172
280,20,1.33097
290,20,1.39398
300,20,1.49222
310,20,1.61321
320,20,1.74272
330,20,1.86691
340,20,1.97379
350,20,2.05417
360,20,2.10202
0,30,1.99604
10,30,2.00272
20,30,1.93648
30,30,1.80387
40,30,1.61789
50,30,1.39886
60,30,1.17446
70,30,0.977793
80,30,0.842309
90,30,0.79384
100,30,0.842481
110,30,0.978781
120,30,1.17692
130,30,1.4029
140,30,1.62313
150,30,1.80994
160,30,1.94343
170,30,2.01108
180,30,2.0064
190,30,1.92797
200,30,1.77911
210,30,1.56836
220,30,1.31065
230,30,1.02833
240,30,0.751185
250,30,0.514333
260,30,0.352864
270,30,0.293701
280,30,0.347388
290,30,0.504306
300,30,0.737929
310,30,1.01309
320,30,1.29453
330,30,1.55242
340,30,1.76441
350,30,1.91531
360,30,1.99604
0,40,1.88348
10,40,1.8798
20,40,1.75681
30,40,1.5198
40,40,1.18293
