"Freq [GHz]","dB(S(1,1)) []"
2,-4.08533149513511
2.1,-5.43499619234676
2.2,-6.95396140905672
2.3,-8.48134074172111
2.4,-9.80312894139101
2.5,-10.7181225081497
2.6,-11.14502372058
2.7,-11.1602984461334
2.8,-10.9117721173695
2.9,-10.5172524873986
3,-10.0221314629725
3.1,-9.37504350479623
3.2,-8.32137985763838
3.3,-7.35128679562382
3.4,-10.4260084856383
3.5,-9.93431749040843
3.6,-9.13869902920909
3.7,-8.24356694773558
3.8,-7.15586325894297
3.9,-5.80119801526691
4,-4.19805867277968
4.1,-2.7316674158894
4.2,-2.55764207923899
4.3,-4.35250669372322
4.4,-7.01372620675801
4.5,-9.62651565678197
4.6,-11.9530102294489
4.7,-13.970076699039
4.8,-15.6769907233228
4.9,-17.0554402815057
5,-18.0775429091236
