Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.18638
10,0,2.18638
20,0,2.18638
30,0,2.18638
40,0,2.18638
50,0,2.18638
60,0,2.18638
70,0,2.18638
80,0,2.18638
90,0,2.18638
100,0,2.18638
110,0,2.18638
120,0,2.18638
130,0,2.18638
140,0,2.18638
150,0,2.18638
160,0,2.18638
170,0,2.18638
180,0,2.18638
190,0,2.18638
200,0,2.18638
210,0,2.18638
220,0,2.18638
230,0,2.18638
240,0,2.18638
250,0,2.18638
260,0,2.18638
270,0,2.18639
280,0,2.18639
290,0,2.18639
300,0,2.18639
310,0,2.18639
320,0,2.18638
330,0,2.18638
340,0,2.18638
350,0,2.18638
360,0,2.18638
0,10,2.14524
10,10,2.15309
20,10,2.15248
30,10,2.14465
40,10,2.13164
50,10,2.11607
60,10,2.10083
70,10,2.08868
80,10,2.0819
90,10,2.08192
100,10,2.08912
110,10,2.10275
120,10,2.121
130,10,2.14131
140,10,2.16068
150,10,2.17608
160,10,2.18485
170,10,2.18499
180,10,2.17539
190,10,2.15601
200,10,2.12789
210,10,2.09307
220,10,2.05446
230,10,2.01556
240,10,1.98007
250,10,1.95148
260,10,1.93264
270,10,1.92537
280,10,1.9302
290,10,1.94637
300,10,1.97188
310,10,2.00383
320,10,2.0388
330,10,2.0733
340,10,2.10412
350,10,2.12867
360,10,2.14524
0,20,2.06158
10,20,2.0652
20,20,2.03636
30,20,1.97965
40,20,1.90267
50,20,1.81572
60,20,1.731
70,20,1.66116
80,20,1.61737
90,20,1.60714
100,20,1.63279
110,20,1.69083
120,20,1.77271
130,20,1.86658
140,20,1.95933
150,20,2.03861
160,20,2.09416
170,20,2.11857
180,20,2.10768
190,20,2.0606
200,20,1.97981
210,20,1.87124
220,20,1.74424
230,20,1.61123
240,20,1.48667
250,20,1.38533
260,20,1.31998
270,20,1.29902
280,20,1.32477
290,20,1.39301
300,20,1.49394
310,20,1.61428
320,20,1.73964
330,20,1.85659
340,20,1.95405
350,20,2.02398
360,20,2.06158
0,30,1.94964
10,30,1.93954
20,30,1.86071
30,30,1.7204
40,30,1.5318
50,30,1.31522
60,30,1.09806
70,30,0.912557
80,30,0.790348
90,30,0.754693
100,30,0.813278
110,30,0.955567
120,30,1.1563
130,30,1.38292
140,30,1.60315
150,30,1.78995
160,30,1.92369
170,30,1.9919
180,30,1.98806
190,30,1.91036
200,30,1.76142
210,30,1.54928
220,30,1.28913
230,30,1.00474
240,30,0.728159
250,30,0.49656
260,30,0.345575
270,30,0.300516
280,30,0.36868
290,30,0.536918
300,30,0.776042
310,30,1.04955
320,30,1.32214
330,30,1.56513
340,30,1.75817
350,30,1.88855
360,30,1.94964
0,40,1.82642
10,40,1.7987
20,40,1.6574
30,40,1.40891
40,40,1.06805
50,40,0.662733
60,40,0.238125
70,40,-0.142654
80,40,-0.40678
90,40,-0.493037
100,40,-0.378848
110,40,-0.0923226
120,40,0.302214
130,40,0.731437
140,40,1.1332
150,40,1.46402
160,40,1.69814
170,40,1.82297
180,40,1.83347
190,40,1.72782
200,40,1.50621
210,40,1.17339
220,40,0.744361
230,40,0.250847
240,40,-0.254325
250,40,-0.69834
260,40,-0.999533
270,40,-1.09159
280,40,-0.952468
290,40,-0.616336
300,40,-0.156484
310,40,0.34544
320,40,0.822065
330,40,1.22808
340,40,1.53783
350,40,1.73898
360,40,1.82642
0,50,1.70419
10,50,1.66146
20,50,1.45561
30,50,1.0868
40,50,0.564362
50,50,-0.0847829
60,50,-0.804813
70,50,-1.49641
80,50,-2.01211
90,50,-2.19726
100,50,-1.98463
110,50,-1.44967
120,50,-0.75022
130,50,-0.0335233
140,50,0.602463
150,50,1.10489
160,50,1.45174
170,50,1.63879
180,50,1.6682
190,50,1.54016
200,50,1.24996
210,50,0.792444
220,50,0.172376
230,50,-0.58215
240,50,-1.4059
250,50,-2.18374
260,50,-2.75081
270,50,-2.93987
280,50,-2.68333
290,50,-2.06968
300,50,-1.27428
310,50,-0.457875
320,50,0.274868
330,50,0.870374
340,50,1.30864
350,50,1.5863
360,50,1.70419
0,60,1.5863
10,60,1.53523
20,60,1.27234
30,60,0.7851
40,60,0.0685535
50,60,-0.866488
60,60,-1.97917
70,60,-3.15684
80,60,-4.1401
90,60,-4.53365
100,60,-4.1194
110,60,-3.12615
120,60,-1.94854
130,60,-0.845318
140,60,0.069715
150,60,0.759035
160,60,1.22058
170,60,1.46809
180,60,1.51675
190,60,1.37132
200,60,1.02138
210,60,0.44697
220,60,-0.367633
230,60,-1.41712
240,60,-2.65411
250,60,-3.94729
260,60,-5.00903
270,60,-5.41146
280,60,-4.92913
290,60,-3.8243
300,60,-2.52419
310,60,-1.30175
320,60,-0.275264
330,60,0.519241
340,60,1.08435
350,60,1.436
360,60,1.5863
0,70,1.47456
10,70,1.42146
20,70,1.1165
30,70,0.529056
40,70,-0.368275
50,70,-1.59883
60,70,-3.18397
70,70,-5.09629
80,70,-7.02726
90,70,-7.95699
100,70,-7.01713
110,70,-5.09178
120,70,-3.18596
130,70,-1.60987
140,70,-0.398772
150,70,0.471594
160,70,1.03714
170,70,1.33639
180,70,1.40078
190,70,1.24156
200,70,0.843308
210,70,0.170725
220,70,-0.817318
230,70,-2.15727
240,70,-3.87259
250,70,-5.92617
260,70,-7.98602
270,70,-8.94948
280,70,-7.89223
290,70,-5.8179
300,70,-3.78153
310,70,-2.08619
320,70,-0.763469
330,70,0.213257
340,70,0.885748
350,70,1.2968
360,70,1.47456
0,80,1.38006
10,80,1.32746
20,80,0.999425
30,80,0.347377
40,80,-0.680602
50,80,-2.14974
60,80,-4.181
70,80,-7.01028
80,80,-10.9077
90,80,-13.9258
100,80,-10.9276
110,80,-7.04634
120,80,-4.21762
130,80,-2.18609
140,80,-0.727769
150,80,0.283006
160,80,0.925982
170,80,1.26246
180,80,1.33745
190,80,1.16777
200,80,0.735088
210,80,-0.00614561
220,80,-1.11689
230,80,-2.67757
240,80,-4.81941
250,80,-7.78462
260,80,-11.8802
270,80,-15.0497
280,80,-11.7353
290,80,-7.70517
300,80,-4.78513
310,80,-2.66208
320,80,-1.10849
330,80,-0.00178571
340,80,0.740959
350,80,1.18687
360,80,1.38006
0,90,1.32309
10,90,1.27046
20,90,0.938856
30,90,0.270594
40,90,-0.801014
50,90,-2.36385
60,90,-4.59151
70,90,-7.91599
80,90,-13.7398
90,90,-30.5515
100,90,-13.8874
110,90,-8.00288
120,90,-4.65178
130,90,-2.41139
140,90,-0.848059
150,90,0.22236
160,90,0.90016
170,90,1.25476
180,90,1.33487
190,90,1.15886
200,90,0.708702
210,90,-0.0615361
220,90,-1.21655
230,90,-2.85366
240,90,-5.15967
250,90,-8.57727
260,90,-14.5527
270,90,-31.8957
280,90,-14.3571
290,90,-8.5349
300,90,-5.16899
310,90,-2.8762
320,90,-1.24053
330,90,-0.0899484
340,90,0.674482
350,90,1.1283
360,90,1.32309
0,100,1.32208
10,100,1.26979
20,100,0.953062
30,100,0.318966
40,100,-0.695274
50,100,-2.16247
60,100,-4.19679
70,100,-7.00816
80,100,-10.8208
90,100,-13.7676
100,100,-10.9419
110,100,-7.09364
120,100,-4.25127
130,100,-2.203
140,100,-0.728749
150,100,0.299267
160,100,0.959815
