"Freq [GHz]","dB(S(1,1)) []"
1,-0.173319823301821
1.1,-0.437504528212733
1.2,-1.26465815830848
1.3,-4.95763879420209
1.4,-13.4507811155128
1.5,-3.70221863008026
1.6,-1.74628706876829
1.7,-1.08619492017393
1.8,-0.802988632765286
1.9,-0.68178647119818
2,-0.666631906906599
2.1,-0.767273519642764
2.2,-1.06413884156222
2.3,-1.79814798741317
2.4,-3.69360784611656
2.5,-9.15004837526835
2.6,-16.4025282079211
2.7,-7.18275346040805
2.8,-4.05703530925035
2.9,-2.63174199308973
3,-1.80517221923488
3.1,-1.3437284223111
3.2,-1.10917856547866
3.3,-0.994776285659255
3.4,-0.976149914450363
3.5,-1.07182727847894
3.6,-1.33474594737645
3.7,-1.85860508578882
3.8,-2.77135687903925
3.9,-4.14892730763407
4,-5.72171601427354
4.1,-6.5770505925206
4.2,-6.12777235367057
4.3,-5.04105816618368
4.4,-3.97574607784348
4.5,-3.12643943797331
4.6,-2.51745538051637
4.7,-2.16564832713181
4.8,-2.13072099339235
4.9,-2.52757756568276
5,-3.51398940505532
5.1,-5.25855466004456
5.2,-7.91728463837954
5.3,-11.5471584548276
5.4,-15.2476210239593
5.5,-16.4802839177466
5.6,-16.0795440232839
5.7,-15.560984458602
5.8,-14.9794924933549
5.9,-14.3628790295476
6,-13.6175486325016
6.1,-12.5926631813297
6.2,-11.33894781801
6.3,-10.0950058889375
6.4,-9.03825181859402
6.5,-8.21775030153739
6.6,-7.61511651223636
6.7,-7.19690815954962
6.8,-6.93875674792446
6.9,-6.83455075915577
7,-6.90004904700108
7.1,-7.17311859868308
7.2,-7.70360599166366
7.3,-8.50703652980252
7.4,-9.43009724396853
7.5,-9.97231646832997
7.6,-9.59320040099099
7.7,-8.49048961361271
7.8,-7.25439587246545
7.9,-6.20368071173773
8,-5.41272061039693
8.1,-4.87091241170709
8.2,-4.55037670048163
8.3,-4.42191048845337
8.4,-4.45484615667947
8.5,-4.61387928689037
8.6,-4.85617077792474
8.7,-5.12898590905051
8.8,-5.37059559292349
8.9,-5.53117217246888
9,-5.65341274950503
9.1,-5.96261422737457
9.2,-6.64594458459999
9.3,-7.54913751306746
9.4,-8.43115117587125
9.5,-9.18635856478311
9.6,-9.79440304405943
9.7,-10.2569442038267
9.8,-10.5769659678478
9.9,-10.7563486778343
10,-10.7977101203587
