Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.20594
10,0,2.20594
20,0,2.20594
30,0,2.20594
40,0,2.20594
50,0,2.20594
60,0,2.20594
70,0,2.20594
80,0,2.20594
90,0,2.20594
100,0,2.20594
110,0,2.20594
120,0,2.20594
130,0,2.20594
140,0,2.20594
150,0,2.20594
160,0,2.20594
170,0,2.20594
180,0,2.20594
190,0,2.20594
200,0,2.20594
210,0,2.20594
220,0,2.20594
230,0,2.20594
240,0,2.20594
250,0,2.20594
260,0,2.20594
270,0,2.20594
280,0,2.20594
290,0,2.20594
300,0,2.20594
310,0,2.20594
320,0,2.20594
330,0,2.20594
340,0,2.20594
350,0,2.20594
360,0,2.20594
0,10,2.17846
10,10,2.19257
20,10,2.19743
30,10,2.19403
40,10,2.18419
50,10,2.17036
60,10,2.15531
70,10,2.14174
80,10,2.13196
90,10,2.12755
100,10,2.12914
110,10,2.13635
120,10,2.14782
130,10,2.16143
140,10,2.17456
150,10,2.18452
160,10,2.18883
170,10,2.18555
180,10,2.17353
190,10,2.15259
200,10,2.12355
210,10,2.08821
220,10,2.04927
230,10,2.01002
240,10,1.97408
250,10,1.94499
260,10,1.92573
270,10,1.91839
280,10,1.92382
290,10,1.94153
300,10,1.96975
310,10,2.00564
320,10,2.04571
330,10,2.08623
340,10,2.12369
350,10,2.15514
360,10,2.17846
0,20,2.09945
10,20,2.1153
20,20,2.09684
30,20,2.04863
40,20,1.97823
50,20,1.89567
60,20,1.81261
70,20,1.74104
80,20,1.69165
90,20,1.67201
100,20,1.68509
110,20,1.72866
120,20,1.79576
130,20,1.87604
140,20,1.95765
150,20,2.02889
160,20,2.07957
170,20,2.10195
180,20,2.09122
190,20,2.0458
200,20,1.96751
210,20,1.86151
220,20,1.73631
230,20,1.60342
240,20,1.47664
250,20,1.3706
260,20,1.29874
270,20,1.27085
280,20,1.29102
290,20,1.35669
300,20,1.45921
310,20,1.58565
320,20,1.72116
330,20,1.85121
