"Freq [GHz]","dB(S(1,1)) []"
2,-2.93991208366453
2.1,-3.97088176185689
2.2,-5.2729153252672
2.3,-6.89115471185468
2.4,-8.93681408252302
2.5,-11.7091004993359
2.6,-16.1888813790398
2.7,-26.5124209103031
2.8,-14.6368424305945
2.9,-5.3059481556711
3,-3.20235189805469
3.1,-6.51058551632489
3.2,-9.63471174919037
3.3,-12.30358813085
3.4,-14.7406176066926
3.5,-17.0774509589621
3.6,-19.3688093424246
3.7,-21.5966094089526
3.8,-23.6464239441224
3.9,-25.2986871120763
4,-26.3373215164205
4.1,-26.7627852364137
4.2,-26.8140755054699
4.3,-26.7569543155495
4.4,-26.7312714131341
4.5,-26.6940590492551
4.6,-26.3541900862398
4.7,-25.2440279045091
4.8,-23.229576075587
4.9,-20.772110554221
5,-18.4120108060418
