Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.13672
10,0,2.13672
20,0,2.13672
30,0,2.13672
40,0,2.13672
50,0,2.13672
60,0,2.13672
70,0,2.13672
80,0,2.13672
90,0,2.13672
100,0,2.13672
110,0,2.13672
120,0,2.13672
130,0,2.13672
140,0,2.13672
150,0,2.13672
160,0,2.13672
170,0,2.13672
180,0,2.13672
190,0,2.13672
200,0,2.13672
210,0,2.13672
220,0,2.13672
230,0,2.13672
240,0,2.13672
250,0,2.13672
260,0,2.13672
270,0,2.13672
280,0,2.13672
290,0,2.13672
300,0,2.13672
310,0,2.13672
320,0,2.13672
330,0,2.13672
340,0,2.13672
350,0,2.13672
360,0,2.13672
0,10,2.13417
10,10,2.13832
20,10,2.133
30,10,2.1193
40,10,2.09923
50,10,2.07548
60,10,2.05109
70,10,2.02913
80,10,2.01226
90,10,2.0024
100,10,2.00049
110,10,2.00634
120,10,2.0187
130,10,2.03542
140,10,2.05383
150,10,2.07104
160,10,2.08435
170,10,2.09157
180,10,2.09128
190,10,2.08293
200,10,2.06696
210,10,2.04475
220,10,2.01846
230,10,1.99088
240,10,1.9651
250,10,1.94416
260,10,1.93073
270,10,1.92667
280,10,1.93283
290,10,1.94887
300,10,1.97331
310,10,2.00367
320,10,2.03685
330,10,2.06946
340,10,2.09826
350,10,2.12048
360,10,2.13417
0,20,2.08149
10,20,2.08487
20,20,2.0531
30,20,1.99035
40,20,1.90411
50,20,1.80466
60,20,1.7043
70,20,1.61597
80,20,1.55156
90,20,1.51983
100,20,1.52477
110,20,1.56478
120,20,1.63308
130,20,1.71911
140,20,1.81049
150,20,1.89492
160,20,1.9617
170,20,2.00272
180,20,2.013
190,20,1.99081
200,20,1.93762
210,20,1.85795
220,20,1.75914
230,20,1.65109
240,20,1.54571
250,20,1.45576
260,20,1.39326
270,20,1.36737
280,20,1.38259
290,20,1.43773
300,20,1.52611
310,20,1.63679
320,20,1.75652
330,20,1.87174
340,20,1.97023
350,20,2.0423
360,20,2.08149
0,30,1.99112
10,30,1.9869
20,30,1.90872
30,30,1.76422
40,30,1.56715
50,30,1.33782
60,30,1.10294
70,30,0.894011
80,30,0.743074
90,30,0.675695
100,30,0.703389
110,30,0.819779
120,30,1.00299
130,30,1.22253
140,30,1.44659
150,30,1.64707
160,30,1.80214
170,30,1.89697
180,30,1.92355
190,30,1.87989
200,30,1.76917
210,30,1.59923
220,30,1.38282
230,30,1.13858
240,30,0.891736
250,30,0.673174
260,30,0.515389
270,30,0.445311
280,30,0.476514
290,30,0.604849
300,30,0.80998
310,30,1.06149
320,30,1.32601
330,30,1.57271
340,30,1.77655
350,30,1.9196
360,30,1.99112
0,40,1.88532
10,40,1.86499
20,40,1.72393
30,40,1.47128
40,40,1.12377
50,40,0.708922
60,40,0.268932
70,40,-0.136608
80,40,-0.435273
90,40,-0.560972
100,40,-0.483163
110,40,-0.22323
120,40,0.158171
130,40,0.589156
140,40,1.00717
150,40,1.3659
160,40,1.63451
170,40,1.795
180,40,1.83941
190,40,1.76723
200,40,1.58321
210,40,1.29634
220,40,0.92131
230,40,0.482709
240,40,0.0206652
250,40,-0.405873
260,40,-0.724263
270,40,-0.86708
280,40,-0.799948
290,40,-0.538313
300,40,-0.137902
310,40,0.330519
320,40,0.801323
330,40,1.22244
340,40,1.55688
350,40,1.78164
360,40,1.88532
0,50,1.78455
10,50,1.73996
20,50,1.52643
30,50,1.15048
40,50,0.623946
50,50,-0.0290596
60,50,-0.760112
70,50,-1.47755
80,50,-2.03443
90,50,-2.26505
100,50,-2.08698
110,50,-1.56865
120,50,-0.868642
130,50,-0.135508
140,50,0.531857
150,50,1.0771
160,50,1.47097
170,50,1.70068
180,50,1.76335
190,50,1.66128
200,50,1.39854
210,50,0.980046
220,50,0.414887
230,50,-0.274846
240,50,-1.04014
250,50,-1.78817
260,50,-2.3743
270,50,-2.63573
280,50,-2.48427
290,50,-1.97527
300,50,-1.25821
310,50,-0.480647
320,50,0.253142
330,50,0.877003
340,50,1.35116
350,50,1.6556
360,50,1.78455
0,60,1.69725
10,60,1.62406
20,60,1.33886
30,60,0.840226
40,60,0.124524
50,60,-0.806237
60,60,-1.92551
70,60,-3.1327
80,60,-4.168
90,60,-4.61392
100,60,-4.22464
110,60,-3.22842
120,60,-2.03194
130,60,-0.898169
140,60,0.058887
150,60,0.799301
160,60,1.31431
170,60,1.60828
180,60,1.68953
190,60,1.56394
200,60,1.23096
210,60,0.683836
220,60,-0.0843276
230,60,-1.06906
240,60,-2.23496
250,60,-3.47529
260,60,-4.5399
270,60,-5.02678
280,60,-4.67569
290,60,-3.68818
300,60,-2.46777
310,60,-1.28171
320,60,-0.248467
330,60,0.581204
340,60,1.18383
350,60,1.55368
360,60,1.69725
0,70,1.62235
10,70,1.52267
20,70,1.17808
30,70,0.575211
40,70,-0.313191
50,70,-1.52738
60,70,-3.11184
70,70,-5.05586
80,70,-7.05308
90,70,-8.04779
100,70,-7.11521
110,70,-5.16501
120,70,-3.22801
130,70,-1.61489
140,70,-0.360249
150,70,0.5589
160,70,1.17489
170,70,1.5195
180,70,1.61737
190,70,1.47859
200,70,1.09463
210,70,0.441409
220,70,-0.512411
230,70,-1.79787
240,70,-3.43841
250,70,-5.40829
260,70,-7.42295
270,70,-8.47514
280,70,-7.58246
290,70,-5.61032
300,70,-3.63342
310,70,-1.96906
320,70,-0.643151
330,70,0.361999
340,70,1.0618
350,70,1.47445
360,70,1.62235
0,80,1.56088
10,80,1.44286
20,80,1.06022
30,80,0.387924
40,80,-0.623682
50,80,-2.06153
60,80,-4.07726
70,80,-6.92761
80,80,-10.8938
90,80,-14.0014
100,80,-10.9698
110,80,-7.06712
120,80,-4.21645
130,80,-2.15301
140,80,-0.657558
150,80,0.391812
160,80,1.07421
170,80,1.44927
180,80,1.55777
190,80,1.41375
200,80,1.00102
210,80,0.279857
220,80,-0.803793
230,80,-2.32228
240,80,-4.39706
250,80,-7.25941
260,80,-11.2104
270,80,-14.4339
280,80,-11.396
290,80,-7.40695
