"Freq [GHz]","dB(S(1,1)) []"
2,-3.38580488115529
2.1,-4.57559460025144
2.2,-5.98306929086719
2.3,-7.59905268373632
2.4,-9.45362892527477
2.5,-11.6279162415888
2.6,-14.2752190417016
2.7,-17.6449473197493
2.8,-21.8256268481043
2.9,-23.9052592685755
3,-20.7187522441798
3.1,-17.2338340852248
3.2,-14.4967076918842
3.3,-12.1153230129818
3.4,-9.55831901459017
3.5,-6.03537096172774
3.6,-5.17901471315133
3.7,-13.8028085471159
3.8,-18.0445264197958
3.9,-17.8241068141108
4,-17.017606135332
4.1,-16.4761227281958
4.2,-16.2388493710888
4.3,-16.2979408944991
4.4,-16.689221929741
4.5,-17.5135312404609
4.6,-18.9762909946997
4.7,-21.5086387871821
4.8,-26.2949999828051
4.9,-41.4742204055617
5,-28.9937848355647
