Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.06682
10,0,2.06682
20,0,2.06682
30,0,2.06682
40,0,2.06682
50,0,2.06682
60,0,2.06682
70,0,2.06682
80,0,2.06682
90,0,2.06682
100,0,2.06682
110,0,2.06682
120,0,2.06682
130,0,2.06682
140,0,2.06682
150,0,2.06682
160,0,2.06682
170,0,2.06682
180,0,2.06682
190,0,2.06682
200,0,2.06682
210,0,2.06682
220,0,2.06682
230,0,2.06682
240,0,2.06682
250,0,2.06682
260,0,2.06682
270,0,2.06682
280,0,2.06682
290,0,2.06682
300,0,2.06682
310,0,2.06682
320,0,2.06682
330,0,2.06682
340,0,2.06682
350,0,2.06682
360,0,2.06682
0,10,2.06353
10,10,2.06643
20,10,2.06012
30,10,2.04593
40,10,2.02601
50,10,2.00305
60,10,1.97997
70,10,1.95961
80,10,1.94435
90,10,1.93581
100,10,1.93467
110,10,1.94057
120,10,1.9522
130,10,1.96749
140,10,1.98392
150,10,1.99882
160,10,2.00971
170,10,2.01457
180,10,2.01209
190,10,2.0018
200,10,1.98415
210,10,1.96052
220,10,1.93316
230,10,1.90491
240,10,1.879
250,10,1.85862
260,10,1.8465
270,10,1.84449
280,10,1.85329
290,10,1.87228
300,10,1.89961
310,10,1.93244
320,10,1.96735
330,10,2.00079
340,10,2.02954
350,10,2.05101
360,10,2.06353
0,20,1.99488
10,20,1.9883
20,20,1.94889
30,20,1.88187
40,20,1.79514
50,20,1.69888
60,20,1.60478
70,20,1.52481
80,20,1.46953
90,20,1.44625
100,20,1.45755
110,20,1.50078
120,20,1.56879
130,20,1.65144
140,20,1.73746
150,20,1.81597
160,20,1.87756
170,20,1.91492
180,20,1.92319
190,20,1.90018
200,20,1.84655
210,20,1.76599
220,20,1.66537
230,20,1.55466
240,20,1.4465
250,20,1.35492
260,20,1.29334
270,20,1.2719
280,20,1.29501
290,20,1.36018
300,20,1.45844
310,20,1.57641
320,20,1.69905
330,20,1.81213
340,20,1.904
350,20,1.96643
360,20,1.99488
0,30,1.87836
10,30,1.85074
20,30,1.75608
30,30,1.60299
40,30,1.40507
50,30,1.18183
60,30,0.958982
70,30,0.766928
80,30,0.636189
90,30,0.589687
100,30,0.635091
110,30,0.762079
120,30,0.94655
130,30,1.15868
140,30,1.36999
150,30,1.55702
160,30,1.7022
170,30,1.79328
180,30,1.82252
190,30,1.78611
200,30,1.68412
210,30,1.52103
220,30,1.30692
230,30,1.0591
240,30,0.803573
250,30,0.574689
260,30,0.410676
270,30,0.344186
280,30,0.390901
290,30,0.542952
300,30,0.771851
310,30,1.03865
320,30,1.30477
330,30,1.53898
340,30,1.71977
350,30,1.83468
360,30,1.87836
0,40,1.74412
10,40,1.69179
20,40,1.53266
30,40,1.27395
40,40,0.929147
50,40,0.522497
60,40,0.0946013
70,40,-0.293664
80,40,-0.566717
90,40,-0.658017
100,40,-0.544046
110,40,-0.258602
120,40,0.128432
130,40,0.544916
140,40,0.935801
150,40,1.26547
160,40,1.51292
170,40,1.66643
