"Freq [GHz]","dB(S(1,1)) []"
2,-3.67627735953922
2.1,-4.7571263141725
2.2,-5.90813347530729
2.3,-7.0458403511194
2.4,-8.08587408431515
2.5,-8.95283441508336
2.6,-9.64761845617569
2.7,-10.1825406538435
2.8,-9.18122369075
2.9,-5.25260974520607
3,-6.677061525843
3.1,-7.39144004921275
3.2,-7.7066281276516
3.3,-7.87702259373464
3.4,-7.99507025878406
3.5,-8.09910647627821
3.6,-8.20339483982559
3.7,-8.29710685737776
3.8,-8.28345582844963
3.9,-7.63116951471809
4,-5.89880657049944
4.1,-6.50230626648235
4.2,-7.36201113653644
4.3,-7.87721625970532
4.4,-8.23044766967272
4.5,-8.5072630152642
4.6,-8.74238081544258
4.7,-8.95075272256649
4.8,-9.13906825156544
4.9,-9.31029126703728
5,-9.46564705316595
