"Freq [GHz]","dB(S(1,1)) []"
2,-1.83995816613054
2.1,-2.49330931602465
2.2,-3.29179935544254
2.3,-4.23960675496096
2.4,-5.34688745707908
2.5,-6.63707141596059
2.6,-8.15962332228733
2.7,-10.0183176670508
2.8,-12.4494882060276
2.9,-16.1109441473992
3,-24.0251542926603
3.1,-24.0034149848305
3.2,-12.0437215727714
3.3,-5.04121884643573
3.4,-2.51711550414065
3.5,-4.52927533770738
3.6,-6.97807957670873
3.7,-9.01665354041229
3.8,-10.7172741301884
3.9,-12.1749865462267
4,-13.4402613557929
4.1,-14.5289517297663
4.2,-15.4346318108631
4.3,-16.1418241064686
4.4,-16.6422155699225
4.5,-16.9501653522943
4.6,-17.1085710484946
4.7,-17.1787608933095
4.8,-17.2167619263947
4.9,-17.2440089403674
5,-17.22295682853
