"Freq [GHz]","dB(S(1,1)) []"
2,-4.38941991892424
2.1,-5.96515844720419
2.2,-7.81446173546264
2.3,-9.82548547348184
2.4,-11.7538015145913
2.5,-13.1568056591425
2.6,-13.5566586569898
2.7,-12.800721733896
2.8,-10.765758324997
2.9,-6.6028103259744
3,-6.25155497428161
3.1,-9.72439995103142
3.2,-10.8869050195959
3.3,-11.1235886342112
3.4,-10.9463758519408
3.5,-10.3822862480278
3.6,-9.24486338339431
3.7,-7.28123368770375
3.8,-4.62716363014466
3.9,-3.08329112260907
4,-4.39155607988644
4.1,-6.55094403716457
4.2,-8.37546923516706
4.3,-9.80174048900206
4.4,-10.9185799801308
4.5,-11.7739540247741
4.6,-12.364326241534
4.7,-12.6643891155098
4.8,-12.6876336577134
4.9,-12.536467727952
5,-12.3675923432611
