"Freq [GHz]","dB(S(1,1)) []"
2,-2.61361337958116
2.1,-3.4260313184315
2.2,-4.36862407537446
2.3,-5.44405373484999
2.4,-6.6706233642744
2.5,-8.10159913716601
2.6,-9.86923693489981
2.7,-12.3014716784915
2.8,-15.9884064774564
2.9,-14.3611508015117
3,-4.90829096879087
3.1,-3.61196910293507
3.2,-6.04147382344149
3.3,-8.04026128147055
3.4,-9.63417525486449
3.5,-10.9961808815021
3.6,-12.2159720158967
3.7,-13.3327188580897
3.8,-14.3552586371618
3.9,-15.271269796878
4,-16.0531175304421
4.1,-16.6653615668122
4.2,-17.0761541632014
4.3,-17.2701950264645
4.4,-17.256631931941
4.5,-17.0667464301236
4.6,-16.7435144489353
4.7,-16.3301480848954
4.8,-15.8628686853351
4.9,-15.3685847126017
5,-14.8656319231248
