"Freq [GHz]","dB(S(1,1)) []"
2,-4.67003872956703
2.1,-6.25296811503313
2.2,-8.09676513918566
2.3,-10.1019946187923
2.4,-12.0083881126641
2.5,-13.1773227280033
2.6,-12.4960951565967
2.7,-9.04844021272778
2.8,-4.03366166084218
2.9,-5.14783036119418
3,-7.7964972009874
3.1,-9.18727462152176
3.2,-9.89755628286617
3.3,-10.2988960307715
3.4,-10.5555341687862
3.5,-10.7293456612181
3.6,-10.8226677529728
3.7,-10.7712298141983
3.8,-10.3663542880296
3.9,-9.07226568445274
4,-6.27006424170032
4.1,-4.49492188594057
4.2,-6.15926026052039
4.3,-7.89221142656464
4.4,-9.02219581585278
4.5,-9.72806804032228
4.6,-10.1238982748051
4.7,-10.2644869159076
4.8,-10.1938261297668
4.9,-9.96287792388421
5,-9.62472057866789
