"Freq [GHz]","dB(S(1,1)) []"
2,-3.36499902040933
2.1,-4.51201991748387
2.2,-5.88254613233202
2.3,-7.4409433797937
2.4,-9.126581479516
2.5,-10.8466686854332
2.6,-12.4565543201477
2.7,-13.7168441713579
2.8,-14.0991759718889
2.9,-11.7276808799232
3,-5.86650933378598
3.1,-8.98397899674311
3.2,-10.8895310766715
3.3,-11.5928169142132
3.4,-11.8246923750464
3.5,-11.7913274182034
3.6,-11.4776481380405
3.7,-10.6892266544193
3.8,-9.00785315908212
3.9,-6.09559145664743
4,-4.61261062449031
4.1,-7.31338571181658
4.2,-9.92324292848757
4.3,-11.6361561542989
4.4,-12.7765587498047
4.5,-13.5583367037054
4.6,-14.0709649512033
4.7,-14.3277215369214
4.8,-14.3101056490255
4.9,-14.0830198495385
5,-14.0406549086799
