Phi[deg],Theta[deg],dB(GainTotal)
0,0,1.97169
10,0,1.97169
20,0,1.97169
30,0,1.97169
40,0,1.97169
50,0,1.97169
60,0,1.97169
70,0,1.97169
80,0,1.97169
90,0,1.97169
100,0,1.97169
110,0,1.97169
120,0,1.97169
130,0,1.97169
140,0,1.97169
150,0,1.97169
160,0,1.97169
170,0,1.97169
180,0,1.97169
190,0,1.97169
200,0,1.97169
210,0,1.97169
220,0,1.97169
230,0,1.97169
240,0,1.97169
250,0,1.97169
260,0,1.97169
270,0,1.97169
280,0,1.97169
290,0,1.97169
300,0,1.97169
310,0,1.97169
320,0,1.97169
330,0,1.97169
340,0,1.97169
350,0,1.97169
360,0,1.97169
0,10,2.00823
10,10,2.00351
20,10,1.98827
30,10,1.96423
40,10,1.93401
50,10,1.9009
60,10,1.86854
70,10,1.84046
80,10,1.81964
90,10,1.80815
100,10,1.80683
110,10,1.81516
120,10,1.8314
130,10,1.85283
140,10,1.87613
150,10,1.89789
160,10,1.91499
170,10,1.92499
180,10,1.92638
190,10,1.91875
200,10,1.90283
210,10,1.88042
220,10,1.85422
230,10,1.8276
240,10,1.80414
250,10,1.78725
260,10,1.77962
270,10,1.78286
280,10,1.7972
290,10,1.82146
300,10,1.85319
310,10,1.88908
320,10,1.92536
330,10,1.95831
340,10,1.98462
350,10,2.00178
360,10,2.00823
0,20,2.00396
10,20,1.98503
20,20,1.93008
30,20,1.84408
40,20,1.73526
50,20,1.61496
60,20,1.49698
70,20,1.39601
80,20,1.32545
90,20,1.29482
100,20,1.3078
110,20,1.36136
120,20,1.44655
130,20,1.55036
140,20,1.65822
150,20,1.75619
160,20,1.83262
170,20,1.87904
180,20,1.89047
190,20,1.86543
200,20,1.8058
210,20,1.71692
220,20,1.60764
230,20,1.4902
240,20,1.37948
250,20,1.29124
260,20,1.23948
270,20,1.23335
280,20,1.27483
290,20,1.35822
300,20,1.47168
310,20,1.60005
320,20,1.72777
330,20,1.84112
340,20,1.92935
350,20,1.98502
360,20,2.00396
0,30,1.93811
10,30,1.90021
20,30,1.79193
30,30,1.61909
40,30,1.39355
50,30,1.13541
60,30,0.873875
70,30,0.645082
80,30,0.486014
90,30,0.425009
100,30,0.472704
110,30,0.618536
120,30,0.834916
