"Freq [GHz]","dB(S(1,1)) []"
2,-4.66792762743081
2.1,-6.31913012562979
2.2,-8.28508996370615
2.3,-10.5020890924259
2.4,-12.8054231754565
2.5,-14.7953594809741
2.6,-15.8148968781495
2.7,-15.5252342267816
2.8,-14.2825345059901
2.9,-12.4247311737686
3,-9.78709484224405
3.1,-5.92470878268824
3.2,-4.46156834544485
3.3,-8.66217656599199
3.4,-11.8060005852131
3.5,-13.6670065396343
3.6,-14.8861226816765
3.7,-15.80537969941
3.8,-16.5711398328559
3.9,-17.2236257997667
4,-17.7331253199101
4.1,-18.0008606350538
4.2,-17.7629540499123
4.3,-16.5164187136357
4.4,-16.3078704799889
4.5,-14.6192986709668
4.6,-12.1917455472136
4.7,-9.09774519424358
4.8,-5.94120997292968
4.9,-5.36850022286592
5,-7.8121937265715
