Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.08851
10,0,2.08851
20,0,2.08851
30,0,2.08851
40,0,2.08851
50,0,2.08851
60,0,2.08851
70,0,2.08851
80,0,2.08851
90,0,2.08851
100,0,2.08851
110,0,2.08851
120,0,2.08851
130,0,2.08851
140,0,2.08851
150,0,2.08851
160,0,2.08851
170,0,2.08851
180,0,2.08851
190,0,2.08851
200,0,2.08851
210,0,2.08851
220,0,2.08851
230,0,2.08851
240,0,2.08851
250,0,2.08851
260,0,2.08851
270,0,2.08851
280,0,2.08851
290,0,2.08851
300,0,2.08851
310,0,2.08851
320,0,2.08851
330,0,2.08851
340,0,2.08851
350,0,2.08851
360,0,2.08851
0,10,2.06067
10,10,2.06937
20,10,2.06921
30,10,2.06155
40,10,2.04854
50,10,2.03287
60,10,2.01743
70,10,2.00492
80,10,1.99752
90,10,1.99656
100,10,2.00234
110,10,2.01409
120,10,2.0301
130,10,2.04791
140,10,2.06472
150,10,2.0777
160,10,2.08435
170,10,2.08279
180,10,2.07198
190,10,2.05184
200,10,2.02332
210,10,1.98833
220,10,1.94965
230,10,1.9107
240,10,1.87515
250,10,1.84659
260,10,1.828
270,10,1.8214
280,10,1.82746
290,10,1.84545
300,10,1.87333
310,10,1.90802
320,10,1.94586
330,10,1.98309
340,10,2.01629
350,10,2.04274
360,10,2.06067
0,20,1.99175
10,20,1.9945
20,20,1.96387
30,20,1.90532
40,20,1.82728
50,20,1.74054
60,20,1.6573
70,20,1.58973
80,20,1.54818
90,20,1.53932
100,20,1.56478
110,20,1.62082
120,20,1.69908
130,20,1.78831
140,20,1.87628
150,20,1.95151
160,20,2.00443
170,20,2.02807
180,20,2.01831
190,20,1.97396
200,20,1.89682
210,20,1.79176
220,20,1.66693
230,20,1.53362
240,20,1.40579
250,20,1.29865
260,20,1.22642
270,20,1.19952
280,20,1.22208
290,20,1.29078
300,20,1.39564
310,20,1.52224
320,20,1.6547
330,20,1.77817
340,20,1.88057
350,20,1.95338
360,20,1.99175
0,30,1.89491
10,30,1.88003
20,30,1.7949
30,30,1.64868
40,30,1.45656
50,30,1.24014
60,30,1.02702
70,30,0.848387
80,30,0.734093
90,30,0.705453
100,30,0.768485
110,30,0.911618
120,30,1.10959
130,30,1.33104
140,30,1.54568
150,30,1.72862
160,30,1.86178
170,30,1.93356
180,30,1.93755
190,30,1.87152
200,30,1.73691
210,30,1.53937
220,30,1.2903
230,30,1.00894
240,30,0.72389
250,30,0.472267
260,30,0.294365
270,30,0.223489
280,30,0.274426
290,30,0.43734
300,30,0.681448
310,30,0.965822
320,30,1.25057
330,30,1.50369
340,30,1.7031
350,30,1.83562
360,30,1.89491
0,40,1.78282
10,40,1.74606
20,40,1.59514
30,40,1.33818
40,40,0.991939
50,40,0.585719
60,40,0.164892
70,40,-0.208086
80,40,-0.460818
90,40,-0.532462
100,40,-0.402777
110,40,-0.104487
120,40,0.294474
130,40,0.72112
140,40,1.11707
150,40,1.4435
160,40,1.67823
170,40,1.81049
180,40,1.83589
190,40,1.75277
200,40,1.56065
210,40,1.26131
220,40,0.862755
230,40,0.385763
240,40,-0.128105
250,40,-0.610734
260,40,-0.971765
270,40,-1.12352
280,40,-1.0228
290,40,-0.697261
300,40,-0.228583
310,40,0.289042
320,40,0.779398
330,40,1.19331
340,40,1.5047
350,40,1.70237
360,40,1.78282
0,50,1.65866
10,50,1.60355
20,50,1.39107
30,50,1.02017
40,50,0.497815
50,50,-0.151742
60,50,-0.874691
70,50,-1.57043
80,50,-2.08285
90,50,-2.24461
100,50,-1.9893
110,50,-1.41277
120,50,-0.691363
130,50,0.0257617
140,50,0.649808
150,50,1.13884
160,50,1.47883
170,50,1.6699
180,50,1.71632
190,50,1.61967
200,50,1.37582
210,50,0.976684
220,50,0.417212
230,50,-0.292891
240,50,-1.11208
250,50,-1.94319
260,50,-2.61353
270,50,-2.90915
280,50,-2.70929
290,50,-2.09686
300,50,-1.2797
310,50,-0.445637
320,50,0.291274
330,50,0.878271
340,50,1.29989
350,50,1.55816
360,50,1.65866
0,60,1.52162
10,60,1.45607
20,60,1.19896
30,60,0.731418
40,60,0.0363098
50,60,-0.889379
60,60,-2.01492
70,60,-3.22731
80,60,-4.24036
90,60,-4.6003
100,60,-4.07937
110,60,-2.98615
120,60,-1.76749
130,60,-0.674335
140,60,0.205225
150,60,0.855245
160,60,1.28764
170,60,1.52428
180,60,1.58516
190,60,1.47814
200,60,1.19373
210,60,0.707953
220,60,-0.00731739
230,60,-0.969999
240,60,-2.16771
250,60,-3.51145
260,60,-4.73088
270,60,-5.31255
280,60,-4.88764
290,60,-3.73702
300,60,-2.39103
310,60,-1.16125
320,60,-0.16061
330,60,0.588575
340,60,1.10158
350,60,1.40548
360,60,1.52162
0,70,1.38286
10,70,1.31479
20,70,1.03458
30,70,0.501046
40,70,-0.336688
50,70,-1.53104
60,70,-3.12727
70,70,-5.1105
80,70,-7.14304
90,70,-8.02203
100,70,-6.82365
110,70,-4.73383
120,70,-2.80857
130,70,-1.28948
140,70,-0.162232
150,70,0.625825
160,70,1.12714
170,70,1.39126
180,70,1.45809
190,70,1.34443
200,70,1.03485
210,70,0.486
220,70,-0.359128
230,70,-1.55926
240,70,-3.17097
250,70,-5.21923
260,70,-7.4768
270,70,-8.77692
280,70,-7.74226
290,70,-5.52099
300,70,-3.42806
310,70,-1.76511
320,70,-0.522601
330,70,0.354931
340,70,0.929052
350,70,1.25809
360,70,1.38286
0,80,1.27238
10,80,1.20626
20,80,0.920024
30,80,0.353724
40,80,-0.574082
50,80,-1.96861
60,80,-3.98566
70,80,-6.89057
80,80,-10.9959
90,80,-13.8688
100,80,-10.2449
110,80,-6.3313
120,80,-3.6097
130,80,-1.71984
140,80,-0.405969
150,80,0.475922
160,80,1.01797
170,80,1.29342
180,80,1.35984
190,80,1.24298
200,80,0.923086
210,80,0.339993
220,80,-0.588606
230,80,-1.96044
240,80,-3.91803
250,80,-6.72753
260,80,-10.8301
270,80,-14.7084
280,80,-11.3577
290,80,-7.10449
300,80,-4.18376
310,80,-2.16058
320,80,-0.74872
330,80,0.206103
340,80,0.809221
350,80,1.14548
360,80,1.27238
0,90,1.2253
10,90,1.16129
20,90,0.878051
30,90,0.307993
40,90,-0.643617
50,90,-2.10694
60,90,-4.29686
70,90,-7.68652
80,90,-13.84
90,90,-27.9249
100,90,-12.5019
110,90,-7.03737
120,90,-3.91544
130,90,-1.87361
140,90,-0.491022
150,90,0.422507
160,90,0.975925
170,90,1.2519
180,90,1.31578
190,90,1.19807
200,90,0.877863
210,90,0.287765
220,90,-0.665776
230,90,-2.0974
240,90,-4.18994
250,90,-7.35986
260,90,-12.9287
270,90,-29.2245
280,90,-13.7609
290,90,-7.75484
300,90,-4.43659
310,90,-2.27667
320,90,-0.810891
330,90,0.162584
340,90,0.767641
350,90,1.10027
360,90,1.2253
0,100,1.25982
10,100,1.19631
20,100,0.920765
30,100,0.371711
40,100,-0.535796
50,100,-1.91244
60,100,-3.91955
70,100,-6.82671
80,100,-10.9566
90,100,-13.8943
100,100,-10.2536
110,100,-6.32421
120,100,-3.60042
130,100,-1.71366
140,100,-0.404716
150,100,0.471714
160,100,1.00782
170,100,1.27732
180,100,1.33967
190,100,1.2231
200,100,0.90883
210,100,0.334958
220,100,-0.584269
230,100,-1.94875
240,100,-3.89941
250,100,-6.69702
260,100,-10.7692
270,100,-14.5683
280,100,-11.2388
290,100,-7.01134
300,100,-4.10537
310,100,-2.09831
320,100,-0.704967
330,100,0.230501
340,100,0.815768
350,100,1.13878
360,100,1.25982
0,110,1.36668
10,110,1.30374
20,110,1.04245
30,110,0.537756
40,110,-0.268308
50,110,-1.43788
60,110,-3.02599
70,110,-5.02544
80,110,-7.10257
90,110,-8.03119
100,110,-6.83772
110,110,-4.73361
120,110,-2.8015
130,110,-1.28374
140,110,-0.162466
150,110,0.617317
160,110,1.10922
170,110,1.36439
180,110,1.42577
190,110,1.31341
200,110,1.01274
210,110,0.477129
220,110,-0.356145
230,110,-1.54971
240,110,-3.15933
250,110,-5.20662
260,110,-7.46139
270,110,-8.74263
280,110,-7.66523
290,110,-5.41582
300,110,-3.3185
310,110,-1.66805
320,110,-0.448917
330,110,0.3996
340,110,0.944775
350,110,1.25162
360,110,1.36668
0,120,1.51645
10,120,1.4574
20,120,1.22165
30,120,0.784375
40,120,0.119195
50,120,-0.787794
60,120,-1.91535
70,120,-3.15486
80,120,-4.21369
90,120,-4.61398
100,120,-4.10443
110,120,-3.00217
120,120,-1.77338
130,120,-0.676747
140,120,0.199738
150,120,0.842429
160,120,1.26584
170,120,1.49471
180,120,1.55221
190,120,1.44854
200,120,1.17373
210,120,0.699556
220,120,-0.00810342
230,120,-0.970912
240,120,-2.17539
250,120,-3.5278
260,120,-4.75013
270,120,-5.31535
280,120,-4.85074
290,120,-3.66002
300,120,-2.2923
310,120,-1.06145
320,120,-0.0763752
330,120,0.646486
340,120,1.13008
350,120,1.41044
360,120,1.51645
0,130,1.67656
10,130,1.62712
20,130,1.43131
30,130,1.08203
40,130,0.577827
50,130,-0.0655954
60,130,-0.800212
70,130,-1.52528
80,130,-2.07588
90,130,-2.26865
100,130,-2.02516
110,130,-1.44384
120,130,-0.712255
130,130,0.0119064
140,130,0.6372
150,130,1.12298
160,130,1.45821
170,130,1.64621
180,130,1.69373
190,130,1.60309
200,130,1.36832
210,130,0.977192
220,130,0.42016
230,130,-0.294931
240,130,-1.12412
250,130,-1.96437
260,130,-2.63557
270,130,-2.91751
280,130,-2.69016
290,130,-2.04655
300,130,-1.20593
310,130,-0.362131
320,130,0.370126
330,130,0.941321
340,130,1.34237
350,130,1.58332
360,130,1.67656
0,140,1.82363
10,140,1.79005
20,140,1.6472
30,140,1.39912
40,140,1.05729
50,140,0.646429
60,140,0.20987
70,140,-0.187854
80,140,-0.467873
90,140,-0.560788
100,140,-0.440604
110,140,-0.140662
120,140,0.265677
130,140,0.69975
140,140,1.1003
150,140,1.42872
160,140,1.66479
170,140,1.79995
180,140,1.83104
190,140,1.756
200,140,1.57224
210,140,1.27848
220,140,0.880287
230,140,0.398163
240,140,-0.123875
250,140,-0.613412
260,140,-0.975732
270,140,-1.12062
280,140,-1.00552
290,140,-0.66194
300,140,-0.176743
310,140,0.351517
320,140,0.844524
330,140,1.25382
340,140,1.55662
350,140,1.74638
360,140,1.82363
0,150,1.94473
10,150,1.93054
20,150,1.84639
30,150,1.69971
40,150,1.50365
50,150,1.27841
60,150,1.05158
70,150,0.856173
80,150,0.725356
90,150,0.684043
100,150,0.740547
110,150,0.883296
120,150,1.0851
130,150,1.31217
140,150,1.53255
150,150,1.72098
160,150,1.85993
170,150,1.93844
180,150,1.95024
190,150,1.89234
200,150,1.76473
210,150,1.57145
220,150,1.32289
230,150,1.03845
240,150,0.748192
250,150,0.491438
260,150,0.310657
270,150,0.240551
280,150,0.296109
290,150,0.466472
300,150,0.718986
310,150,1.01069
320,150,1.3002
330,150,1.55517
340,150,1.75428
350,150,1.8858
360,150,1.94473
0,160,2.03359
10,160,2.0357
20,160,2.0033
30,160,1.94149
40,160,1.8584
50,160,1.7648
60,160,1.67334
70,160,1.59709
80,160,1.54756
90,160,1.53254
100,160,1.55442
110,160,1.6096
120,160,1.68939
130,160,1.78192
140,160,1.87439
150,160,1.95492
160,160,2.01372
170,160,2.04361
180,160,2.04012
190,160,2.00152
200,160,1.92896
210,160,1.82673
220,160,1.70269
230,160,1.56827
240,160,1.43799
250,160,1.32792
260,160,1.25319
270,160,1.22495
280,160,1.24769
290,160,1.31807
300,160,1.42568
310,160,1.55551
320,160,1.69105
330,160,1.81704
340,160,1.9212
350,160,1.99499
360,160,2.03359
0,170,2.08829
10,170,2.09613
20,170,2.09459
30,170,2.08503
40,170,2.06968
50,170,2.05133
60,170,2.03307
70,170,2.01783
80,170,2.00804
90,170,2.00525
100,170,2.00992
110,170,2.02139
120,170,2.03792
130,170,2.057
140,170,2.07571
150,170,2.09107
160,170,2.10038
170,170,2.10159
180,170,2.09345
190,170,2.0757
200,170,2.0491
210,170,2.01548
220,170,1.97756
230,170,1.93879
240,170,1.90298
250,170,1.87387
260,170,1.85467
270,170,1.84754
280,170,1.8533
290,170,1.87129
300,170,1.89944
310,170,1.9346
320,170,1.973
330,170,2.01074
340,170,2.04427
350,170,2.07074
360,170,2.08829
0,180,2.10875
10,180,2.10875
20,180,2.10875
30,180,2.10875
40,180,2.10875
50,180,2.10875
60,180,2.10875
70,180,2.10875
80,180,2.10875
90,180,2.10875
100,180,2.10875
110,180,2.10875
120,180,2.10875
130,180,2.10875
140,180,2.10875
150,180,2.10875
160,180,2.10875
170,180,2.10875
180,180,2.10875
190,180,2.10875
200,180,2.10875
210,180,2.10875
220,180,2.10875
230,180,2.10875
240,180,2.10875
250,180,2.10875
260,180,2.10875
270,180,2.10875
280,180,2.10875
290,180,2.10875
300,180,2.10875
310,180,2.10875
320,180,2.10875
330,180,2.10875
340,180,2.10875
350,180,2.10875
360,180,2.10875
