"Freq [GHz]","dB(S(1,1)) []"
2,-3.19635147309978
2.1,-4.21294218037583
2.2,-5.4280690611997
2.3,-6.83913041548348
2.4,-8.48215069887978
2.5,-10.4839636729946
2.6,-13.197996125773
2.7,-17.3391901461711
2.8,-15.7507530105566
2.9,-5.8726678567041
3,-3.19311818386064
3.1,-5.67578362891186
3.2,-7.83994042157696
3.3,-9.53093271732816
3.4,-10.9566509615414
3.5,-12.2356134846255
3.6,-13.4299813224133
3.7,-14.5718411782734
3.8,-15.6754311260766
3.9,-16.7422276140782
4,-17.7622933946897
4.1,-18.7134373227196
4.2,-19.5592218811361
4.3,-20.2471480437348
4.4,-20.7090182740383
4.5,-20.865575945912
4.6,-20.6359158792324
4.7,-19.9505086090903
4.8,-18.7728804011309
4.9,-17.1597005036198
5,-15.4189887762903
