Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.27774
10,0,2.27774
20,0,2.27774
30,0,2.27774
40,0,2.27774
50,0,2.27774
60,0,2.27774
70,0,2.27774
80,0,2.27774
90,0,2.27774
100,0,2.27774
110,0,2.27774
120,0,2.27774
130,0,2.27774
140,0,2.27774
150,0,2.27774
160,0,2.27774
170,0,2.27774
180,0,2.27774
190,0,2.27774
200,0,2.27774
210,0,2.27774
220,0,2.27774
230,0,2.27774
240,0,2.27774
250,0,2.27774
260,0,2.27774
270,0,2.27774
280,0,2.27774
290,0,2.27774
300,0,2.27774
310,0,2.27774
320,0,2.27774
330,0,2.27774
340,0,2.27774
350,0,2.27774
360,0,2.27774
0,10,2.2697
10,10,2.2833
20,10,2.28684
30,10,2.28138
40,10,2.26887
50,10,2.25187
60,10,2.23326
70,10,2.21588
80,10,2.20217
90,10,2.19382
100,10,2.19157
110,10,2.19509
120,10,2.20307
130,10,2.21342
140,10,2.22359
150,10,2.23091
160,10,2.23292
170,10,2.22774
180,10,2.21426
190,10,2.19235
200,10,2.1629
210,10,2.12782
220,10,2.0899
230,10,2.05252
240,10,2.01936
250,10,1.99392
260,10,1.97912
270,10,1.97686
280,10,1.98775
290,10,2.01102
300,10,2.04459
310,10,2.08536
320,10,2.1296
330,10,2.17342
340,10,2.2132
350,10,2.24599
360,10,2.2697
0,20,2.18736
10,20,2.2024
20,20,2.18195
30,20,2.1305
40,20,2.05553
50,20,1.96719
60,20,1.87748
70,20,1.79892
80,20,1.74271
90,20,1.71679
100,20,1.72429
110,20,1.76293
120,20,1.82562
130,20,1.90197
140,20,1.98009
150,20,2.04835
160,20,2.0966
170,20,2.11699
180,20,2.10449
190,20,2.05732
200,20,1.97718
210,20,1.86949
220,20,1.74326
230,20,1.61066
240,20,1.48606
250,20,1.38442
260,20,1.31916
270,20,1.29975
280,20,1.32975
290,20,1.40592
300,20,1.5188
310,20,1.65459
320,20,1.79776
330,20,1.93341
340,20,2.04906
350,20,2.13556
360,20,2.18736
0,30,2.05264
10,30,2.05795
20,30,1.99046
30,30,1.85743
40,30,1.67209
50,30,1.45467
60,30,1.23223
70,30,1.03653
80,30,0.898968
90,30,0.843237
100,30,0.878363
110,30,0.996003
120,30,1.17365
130,30,1.38157
140,30,1.58957
150,30,1.77137
160,30,1.90626
170,30,1.97931
180,30,1.98097
190,30,1.90712
200,30,1.75947
210,30,1.54632
220,30,1.28347
230,30,0.994705
240,30,0.711307
250,30,0.469769
260,30,0.30657
270,30,0.250082
280,30,0.312017
290,30,0.482924
300,30,0.734822
310,30,1.02959
320,30,1.32854
330,30,1.59928
340,30,1.81859
350,30,1.97215
360,30,2.05264
0,40,1.90042
10,40,1.89029
20,40,1.76181
30,40,1.52084
40,40,1.18224
50,40,0.774427
60,40,0.343048
70,40,-0.0486869
80,40,-0.328039
90,40,-0.433646
100,40,-0.342055
110,40,-0.0790489
120,40,0.295093
130,40,0.711675
140,40,1.11162
150,40,1.45122
160,40,1.70095
170,40,1.84212
180,40,1.86374
190,40,1.76067
200,40,1.53364
210,40,1.19097
220,40,0.751416
230,40,0.247672
240,40,-0.270283
250,40,-0.733959
260,40,-1.06267
270,40,-1.18412
280,40,-1.06554
290,40,-0.732714
300,40,-0.257908
310,40,0.272183
320,40,0.783052
330,40,1.22331
340,40,1.56379
350,40,1.79113
360,40,1.90042
0,50,1.75999
10,50,1.73398
20,50,1.54001
30,50,1.17652
40,50,0.652048
50,50,-0.00542093
60,50,-0.737323
70,50,-1.44108
80,50,-1.96714
90,50,-2.16177
100,50,-1.96144
110,50,-1.44267
120,50,-0.757487
130,50,-0.0443778
140,50,0.603178
150,50,1.12948
160,50,1.50428
170,50,1.71368
180,50,1.75243
190,50,1.61806
200,50,1.30923
