"Freq [GHz]","dB(S(1,1)) []"
2,-1.51584198206037
2.1,-1.98682382332909
2.2,-2.52403374760035
2.3,-3.11903467590134
2.4,-3.7580223752966
2.5,-4.42357480029772
2.6,-5.09727597469535
2.7,-5.76246445200728
2.8,-6.40634883629382
2.9,-7.02102562687803
3,-7.60335515008276
3.1,-8.15399832255258
3.2,-8.67606618660842
3.3,-9.17378436607461
3.4,-9.65141441901683
3.5,-10.1125052495658
3.6,-10.5594294495074
3.7,-10.9931017905428
3.8,-11.412764719364
3.9,-11.8157421924422
4,-12.1971032569162
4.1,-12.5492471680887
4.2,-12.8615334128572
4.3,-13.1202290950407
4.4,-13.3091813893359
4.5,-13.4116129981566
4.6,-13.4131063985054
4.7,-13.3051511462436
4.8,-13.0879371910993
4.9,-12.7710533717443
5,-12.3716842102916
