"Freq [GHz]","dB(S(1,1)) []"
2,-4.64461339026905
2.1,-5.77434560266027
2.2,-6.82717235094585
2.3,-7.70647409309468
2.4,-8.35974763974069
2.5,-8.78824293856609
2.6,-9.03324016421778
2.7,-9.15094886150379
2.8,-9.19279050207386
2.9,-9.19700377487343
3,-9.18798211564986
3.1,-9.17753030775041
3.2,-9.15979065758164
3.3,-9.05500530150517
3.4,-8.18698027486047
3.5,-7.43996687375588
3.6,-8.23670801255312
3.7,-8.4701558827926
3.8,-8.48254271679407
3.9,-8.36012331606421
4,-8.0990208764322
4.1,-7.65366233768468
4.2,-6.94237107237573
4.3,-5.91074394567959
4.4,-5.19703215272308
4.5,-7.41328841146413
4.6,-11.0255291718276
4.7,-12.5665813633579
4.8,-12.704363448536
4.9,-12.4393157841616
5,-12.1055153782619
