"Freq [GHz]","dB(S(1,1)) []"
2,-5.65056960225409
2.1,-7.40280224892483
2.2,-9.28441833443182
2.3,-11.0701415466004
2.4,-12.413432635856
2.5,-12.9338237890044
2.6,-12.4202542847486
2.7,-10.8169267767552
2.8,-7.95656706121382
2.9,-4.08895364987443
3,-3.86800351112243
3.1,-7.27498019376743
3.2,-9.90847389747583
3.3,-11.6968185379386
3.4,-12.9990463162934
3.5,-14.0051804751535
3.6,-14.7731360503052
3.7,-15.2696010724672
3.8,-15.400775520158
3.9,-15.0582917137914
4,-14.1793651631857
4.1,-12.7750165801646
4.2,-10.8976992614593
4.3,-8.59903591665937
4.4,-5.987781297482
4.5,-3.63992524877267
4.6,-3.17150530293275
4.7,-4.9489848521868
4.8,-7.18102755827931
4.9,-8.95167329043251
5,-10.2482012197813
