Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.12547
10,0,2.12547
20,0,2.12547
30,0,2.12547
40,0,2.12547
50,0,2.12547
60,0,2.12547
70,0,2.12547
80,0,2.12547
90,0,2.12547
100,0,2.12547
110,0,2.12547
120,0,2.12547
130,0,2.12547
140,0,2.12547
150,0,2.12547
160,0,2.12547
170,0,2.12547
180,0,2.12547
190,0,2.12547
200,0,2.12547
210,0,2.12547
220,0,2.12547
230,0,2.12547
240,0,2.12547
250,0,2.12547
260,0,2.12547
270,0,2.12547
280,0,2.12547
290,0,2.12547
300,0,2.12547
310,0,2.12547
320,0,2.12547
330,0,2.12547
340,0,2.12547
350,0,2.12547
360,0,2.12547
0,10,2.12318
10,10,2.12221
20,10,2.11203
30,10,2.09412
40,10,2.07077
50,10,2.04487
60,10,2.01959
70,10,1.99799
80,10,1.98264
90,10,1.97528
100,10,1.97656
110,10,1.98598
120,10,2.00195
130,10,2.02206
140,10,2.04338
150,10,2.06291
160,10,2.07787
170,10,2.08608
180,10,2.08615
190,10,2.0777
200,10,2.06131
210,10,2.03858
220,10,2.01193
230,10,1.98438
240,10,1.95921
250,10,1.93956
260,10,1.92802
270,10,1.92626
280,10,1.93479
290,10,1.95286
300,10,1.97857
310,10,2.00914
320,10,2.04125
330,10,2.07148
340,10,2.09672
350,10,2.11449
360,10,2.12318
0,20,2.07249
10,20,2.0607
20,20,2.01536
30,20,1.94148
40,20,1.84704
50,20,1.74262
60,20,1.64068
70,20,1.55426
80,20,1.49504
90,20,1.47122
100,20,1.48583
110,20,1.53601
120,20,1.61377
130,20,1.70766
140,20,1.80492
150,20,1.89331
160,20,1.96246
170,20,2.00456
180,20,2.01474
190,20,1.99122
200,20,1.93547
210,20,1.85232
220,20,1.74992
230,20,1.63941
240,20,1.53404
250,20,1.44761
260,20,1.39239
270,20,1.37681
280,20,1.40371
290,20,1.46968
300,20,1.56581
310,20,1.67954
320,20,1.7969
330,20,1.90455
340,20,1.99128
350,20,2.04887
360,20,2.07249
0,30,1.97724
10,30,1.94683
20,30,1.84758
30,30,1.68748
40,30,1.47978
50,30,1.24418
60,30,1.00742
70,30,0.801634
80,30,0.659384
90,30,0.605648
100,30,0.649898
110,30,0.782786
120,30,0.979626
130,30,1.20832
140,30,1.4372
150,30,1.63979
160,30,1.79635
170,30,1.89348
180,30,1.9231
190,30,1.88175
200,30,1.77064
210,30,1.59647
220,30,1.37272
230,30,1.1208
240,30,0.870083
250,30,0.655513
260,30,0.511919
270,30,0.465434
280,30,0.525273
290,30,0.680541
300,30,0.904207
310,30,1.16155
320,30,1.41829
330,30,1.64571
340,30,1.8226
350,30,1.9354
360,30,1.97724
0,40,1.85637
10,40,1.80349
20,40,1.64045
30,40,1.37471
40,40,1.01971
50,40,0.600122
60,40,0.157871
70,40,-0.245115
80,40,-0.533861
90,40,-0.642368
100,40,-0.543582
110,40,-0.264159
120,40,0.130635
130,40,0.566917
140,40,0.983604
150,40,1.33863
160,40,1.60615
170,40,1.77146
180,40,1.82648
190,40,1.76711
200,40,1.59251
210,40,1.30688
220,40,0.923539
230,40,0.470377
240,40,-0.00513585
250,40,-0.434553
260,40,-0.736626
270,40,-0.841102
280,40,-0.721095
290,40,-0.408245
300,40,0.025313
310,40,0.499963
320,40,0.950656
330,40,1.33263
340,40,1.61876
350,40,1.79501
360,40,1.85637
0,50,1.73401
10,50,1.65997
20,50,1.4329
30,50,1.05413
40,50,0.528443
50,50,-0.125539
60,50,-0.859637
70,50,-1.5774
80,50,-2.12678
90,50,-2.34115
100,50,-2.14215
110,50,-1.60536
120,50,-0.895757
130,50,-0.163852
140,50,0.494732
150,50,1.03012
160,50,1.41987
170,50,1.65598
180,50,1.73647
190,50,1.65964
200,50,1.42133
210,50,1.01713
220,50,0.450047
230,50,-0.257774
240,50,-1.05055
250,50,-1.82159
260,50,-2.40523
270,50,-2.62037
280,50,-2.38604
290,50,-1.79334
300,50,-1.0265
310,50,-0.246498
320,50,0.448101
330,50,1.00758
340,50,1.41085
350,50,1.65233
360,50,1.73401
0,60,1.62578
10,60,1.53686
20,60,1.25465
30,60,0.768147
40,60,0.0635448
50,60,-0.863532
60,60,-1.98555
70,60,-3.19647
80,60,-4.23295
90,60,-4.67351
100,60,-4.26693
110,60,-3.25084
120,60,-2.04704
130,60,-0.920558
140,60,0.0220612
150,60,0.748878
160,60,1.25675
170,60,1.55466
180,60,1.65447
190,60,1.56137
200,60,1.26722
210,60,0.752839
220,60,-0.000556679
230,60,-0.995547
240,60,-2.19808
250,60,-3.49328
260,60,-4.5976
270,60,-5.04748
280,60,-4.57509
290,60,-3.46644
300,60,-2.18644
310,60,-1.00908
320,60,-0.036676
330,60,0.705642
340,60,1.22122
350,60,1.52326
360,60,1.62578
0,70,1.53924
10,70,1.44394
20,70,1.12187
30,70,0.545566
40,70,-0.323778
50,70,-1.52987
60,70,-3.1117
70,70,-5.05532
80,70,-7.06987
90,70,-8.09891
100,70,-7.14692
110,70,-5.15485
120,70,-3.20857
130,70,-1.61156
140,70,-0.378361
150,70,0.523734
160,70,1.12823
170,70,1.46943
180,70,1.5791
190,70,1.47246
200,70,1.13663
210,70,0.534113
220,70,-0.382035
230,70,-1.65586
240,70,-3.32304
250,70,-5.37128
260,70,-7.50167
270,70,-8.55772
280,70,-7.47284
290,70,-5.35347
300,70,-3.33514
310,70,-1.70068
320,70,-0.45168
330,70,0.455587
340,70,1.06548
350,70,1.41703
360,70,1.53924
0,80,1.48384
10,80,1.38859
20,80,1.04358
30,80,0.406457
40,80,-0.583659
50,80,-2.0114
60,80,-4.01383
70,80,-6.83852
80,80,-10.8111
90,80,-14.0999
100,80,-10.9806
110,80,-6.98425
120,80,-4.1351
130,80,-2.10695
140,80,-0.645166
150,80,0.381241
160,80,1.04623
170,80,1.40869
180,80,1.51935
190,80,1.40255
200,80,1.04059
210,80,0.380354
220,80,-0.648253
230,80,-2.13048
240,80,-4.20138
250,80,-7.11861
260,80,-11.2478
270,80,-14.6081
280,80,-11.1881
290,80,-7.11984
300,80,-4.24844
310,80,-2.20705
320,80,-0.741433
330,80,0.285844
340,80,0.960795
350,80,1.34606
360,80,1.48384
0,90,1.47164
10,90,1.37881
20,90,1.02649
30,90,0.366012
40,90,-0.671543
50,90,-2.18686
60,90,-4.36708
70,90,-7.65142
80,90,-13.4525
90,90,-32
100,90,-13.684
110,90,-7.79665
120,90,-4.48347
130,90,-2.27608
140,90,-0.727055
150,90,0.342984
160,90,1.02486
170,90,1.38841
180,90,1.49347
190,90,1.36834
