"Freq [GHz]","dB(S(1,1)) []"
2,-5.5051430469937
2.1,-7.05947880578683
2.2,-8.5004830663655
2.3,-9.55150734251134
2.4,-10.0419648682171
2.5,-9.99697419071967
2.6,-9.51728272935696
2.7,-8.53124741258946
2.8,-6.43550694425684
2.9,-4.84734457253784
3,-7.95710945676528
3.1,-9.07552023930878
3.2,-9.3245401194449
3.3,-9.3439182962437
3.4,-9.26559111800037
3.5,-9.09315106293085
3.6,-8.7834583374447
3.7,-8.26541651105208
3.8,-7.44841001879014
3.9,-6.24301174173276
4,-4.64799753248174
4.1,-3.08885309233529
4.2,-2.91437407817075
4.3,-4.76292538852277
4.4,-7.28418173029487
4.5,-9.57321637001772
4.6,-11.4364300271281
4.7,-12.8603153137278
4.8,-13.8474723162237
4.9,-14.4037971303021
5,-14.556600477805
