Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.24727
10,0,2.24727
20,0,2.24727
30,0,2.24727
40,0,2.24727
50,0,2.24727
60,0,2.24727
70,0,2.24727
80,0,2.24727
90,0,2.24727
100,0,2.24727
110,0,2.24727
120,0,2.24727
130,0,2.24727
140,0,2.24727
150,0,2.24727
160,0,2.24727
170,0,2.24727
180,0,2.24727
190,0,2.24727
200,0,2.24727
210,0,2.24727
220,0,2.24727
230,0,2.24727
240,0,2.24727
250,0,2.24727
260,0,2.24727
270,0,2.24727
280,0,2.24727
290,0,2.24727
300,0,2.24727
310,0,2.24727
320,0,2.24727
330,0,2.24727
340,0,2.24727
350,0,2.24727
360,0,2.24727
0,10,2.18641
10,10,2.19641
20,10,2.19867
30,10,2.19419
40,10,2.18472
50,10,2.17258
60,10,2.16032
70,10,2.15044
80,10,2.14498
90,10,2.14528
100,10,2.15172
110,10,2.16367
120,10,2.17959
130,10,2.19723
140,10,2.21394
150,10,2.22701
160,10,2.23404
170,10,2.2332
180,10,2.22349
190,10,2.20483
200,10,2.17814
210,10,2.14526
220,10,2.10881
230,10,2.07193
240,10,2.03796
250,10,2.01009
260,10,1.99096
270,10,1.98234
280,10,1.98488
290,10,1.99807
300,10,2.02029
310,10,2.04906
320,10,2.08135
330,10,2.11395
340,10,2.14388
350,10,2.16862
360,10,2.18641
0,20,2.06495
10,20,2.07549
20,20,2.05488
30,20,2.00723
40,20,1.93967
50,20,1.86187
60,20,1.7852
70,20,1.72141
80,20,1.68078
90,20,1.67035
100,20,1.69238
110,20,1.74391
120,20,1.81735
130,20,1.90207
140,20,1.9862
150,20,2.0584
160,20,2.10905
170,20,2.1311
180,20,2.12045
190,20,2.07622
200,20,2.0008
210,20,1.8998
220,20,1.78185
230,20,1.65808
240,20,1.54128
250,20,1.44452
260,20,1.37933
270,20,1.3537
280,20,1.37054
290,20,1.42707
300,20,1.51549
310,20,1.62454
320,20,1.7414
330,20,1.85355
340,20,1.95003
350,20,2.02234
360,20,2.06495
0,30,1.92741
10,30,1.93054
20,30,1.86419
30,30,1.73562
40,30,1.55836
50,30,1.35271
60,30,1.14534
70,30,0.967155
80,30,0.848392
90,30,0.811415
100,30,0.863827
110,30,0.995813
120,30,1.18353
130,30,1.39639
140,30,1.60415
150,30,1.78143
160,30,1.9092
170,30,1.97473
180,30,1.97097
190,30,1.89622
200,30,1.75414
210,30,1.55396
220,30,1.31088
230,30,1.04634
240,30,0.787922
250,30,0.567627
260,30,0.417235
270,30,0.360909
280,30,0.407834
290,30,0.54919
300,30,0.761402
310,30,1.01334
320,30,1.27331
330,30,1.51354
340,30,1.71209
350,30,1.85326
360,30,1.92741
0,40,1.81493
10,40,1.80608
20,40,1.67807
30,40,1.43815
40,40,1.1027
50,40,0.70099
60,40,0.278635
70,40,-0.101588
80,40,-0.367127
90,40,-0.456398
100,40,-0.34637
110,40,-0.0654904
120,40,0.321236
130,40,0.740933
140,40,1.13351
150,40,1.45781
160,40,1.6888
170,40,1.81237
180,40,1.82128
190,40,1.71367
200,40,1.49332
210,40,1.1706
220,40,0.763842
230,40,0.301858
240,40,-0.171801
250,40,-0.595928
260,40,-0.897236
270,40,-1.01107
280,40,-0.910523
290,40,-0.620611
300,40,-0.203736
310,40,0.268434
320,40,0.734283
330,40,1.14791
340,40,1.47778
350,40,1.70389
360,40,1.81493
0,50,1.73859
10,50,1.71633
20,50,1.52199
30,50,1.1562
40,50,0.629041
50,50,-0.0312158
60,50,-0.766755
70,50,-1.47543
80,50,-2.00552
90,50,-2.19672
100,50,-1.97861
110,50,-1.43071
120,50,-0.719286
130,50,0.003271
140,50,0.640176
150,50,1.14296
160,50,1.492
170,50,1.68066
180,50,1.70622
190,50,1.56743
200,50,1.26609
210,50,0.809329
220,50,0.211415
230,50,-0.501649
240,50,-1.27985
250,50,-2.02903
260,50,-2.59949
270,50,-2.82481
280,50,-2.62526
290,50,-2.07368
300,50,-1.33114
310,50,-0.545614
320,50,0.184995
330,50,0.803274
340,50,1.27727
350,50,1.5912
360,50,1.73859
0,60,1.67844
10,60,1.64276
20,60,1.38943
30,60,0.904137
40,60,0.177832
50,60,-0.780984
60,60,-1.92894
70,60,-3.14623
80,60,-4.16337
90,60,-4.57024
100,60,-4.13615
110,60,-3.10071
120,60,-1.88268
130,60,-0.754283
140,60,0.171995
150,60,0.867149
160,60,1.33522
170,60,1.58781
180,60,1.63222
190,60,1.46897
200,60,1.09525
210,60,0.50924
220,60,-0.28818
230,60,-1.29069
240,60,-2.47006
250,60,-3.72626
260,60,-4.79859
270,60,-5.25823
280,60,-4.84658
290,60,-3.80304
300,60,-2.54975
310,60,-1.35011
320,60,-0.314995
330,60,0.51282
340,60,1.11883
350,60,1.50471
