"Freq [GHz]","dB(S(1,1)) []"
2,-3.60160938696683
2.1,-4.62268137518231
2.2,-5.74943360938281
2.3,-6.93072143091431
2.4,-8.11354606528918
2.5,-9.25085504993424
2.6,-10.3058813123543
2.7,-11.2520789764384
2.8,-12.0661524081787
2.9,-12.7068870370219
3,-13.0550592634767
3.1,-12.721511783381
3.2,-10.4863698823714
3.3,-6.30642371462691
3.4,-9.90719053068132
3.5,-12.5514694394151
3.6,-13.4289297437104
3.7,-13.3620365750127
3.8,-12.6668978847654
3.9,-11.4873220201802
4,-9.88811988351335
4.1,-7.88239623452802
4.2,-5.51636244114415
4.3,-3.29027046415137
4.4,-2.93608601216313
4.5,-5.10600441682994
4.6,-7.96418436868339
4.7,-10.5921201961718
4.8,-12.8583218762376
4.9,-14.7042451347819
5,-15.8807364294365
