"Freq [GHz]","dB(S(1,1)) []"
2,-3.30621820561893
2.1,-4.57952162863064
2.2,-5.8694571112227
2.3,-7.22756384157627
2.4,-8.70923379601071
2.5,-10.384307140381
2.6,-12.3559525366815
2.7,-14.7205037707764
2.8,-16.423254320488
2.9,-11.7437786805644
3,-4.33845872988156
3.1,-5.80739181123384
3.2,-8.67892449583153
3.3,-10.5894322685969
3.4,-11.9132255264046
3.5,-12.8737065634299
3.6,-13.5837989465447
3.7,-14.1084594115938
3.8,-14.4915163967962
3.9,-14.7671378803177
4,-14.9641849413924
4.1,-15.1058245970622
4.2,-15.2041506239905
4.3,-15.249074899129
4.4,-15.1954670478288
4.5,-14.9665985291103
4.6,-14.4989943923206
4.7,-13.8068627096492
4.8,-12.9862230988073
4.9,-12.1496772591892
5,-11.3736292049961
