"Freq [GHz]","dB(S(1,1)) []"
2,-5.07172662715857
2.1,-6.3365772344762
2.2,-7.52996836166811
2.3,-8.51785623186413
2.4,-9.22262439686445
2.5,-9.6484547261031
2.6,-9.86155268509552
2.7,-9.94661382310329
2.8,-9.97548151053334
2.9,-9.99780694104208
3,-10.044129334876
3.1,-10.1318334631979
3.2,-10.2696465235357
3.3,-10.4581860184111
3.4,-10.6766480613823
3.5,-10.7842585728798
3.6,-9.81217500639656
3.7,-6.7584406929418
3.8,-8.15338787391519
3.9,-9.37223480401711
4,-9.98697230068188
4.1,-10.293490010331
4.2,-10.3737910513153
4.3,-10.2102250573473
4.4,-9.70164712349369
4.5,-8.64291187106912
4.6,-7.01534941502746
4.7,-6.90245410900682
4.8,-9.23738797954101
4.9,-10.9271426286595
5,-11.7253930931231
