Phi[deg],Theta[deg],dB(GainTotal)
30,80,0.40082
40,80,-0.48539
50,80,-1.82873
60,80,-3.78297
70,80,-6.60126
80,80,-10.6309
90,80,-14.088
100,80,-10.8635
110,80,-6.77705
120,80,-3.91274
130,80,-1.92617
140,80,-0.555963
150,80,0.349012
160,80,0.89581
170,80,1.17534
180,80,1.25635
190,80,1.16507
200,80,0.875531
210,80,0.321058
220,80,-0.586559
230,80,-1.95601
240,80,-3.94931
250,80,-6.85455
260,80,-11.1106
270,80,-14.8001
280,80,-11.1287
290,80,-6.91852
300,80,-4.00371
310,80,-1.96552
320,80,-0.548045
330,80,0.391796
340,80,0.959598
350,80,1.24728
360,80,1.32654
0,90,1.29344
10,90,1.18843
20,90,0.89083
30,90,0.333432
40,90,-0.587068
50,90,-2.00568
60,90,-4.12589
70,90,-7.37318
80,90,-13.091
90,90,-29.5447
100,90,-13.5198
110,90,-7.58325
120,90,-4.26169
130,90,-2.0986
140,90,-0.644388
150,90,0.302932
160,90,0.868939
170,90,1.15369
180,90,1.23248
190,90,1.13662
200,90,0.841587
210,90,0.276257
220,90,-0.658194
230,90,-2.08851
240,90,-4.21894
250,90,-7.49647
260,90,-13.3355
270,90,-29.9767
280,90,-13.3702
290,90,-7.55426
300,90,-4.25333
310,90,-2.07433
320,90,-0.596855
330,90,0.367044
340,90,0.939958
350,90,1.22285
360,90,1.29344
0,100,1.32822
10,100,1.22044
20,100,0.922206
30,100,0.373476
40,100,-0.518585
50,100,-1.87018
60,100,-3.83614
70,100,-6.66781
80,100,-10.7166
90,100,-14.2231
100,100,-10.9753
110,100,-6.85046
120,100,-3.95818
130,100,-1.94877
140,100,-0.558864
150,100,0.363911
160,100,0.925631
170,100,1.21377
180,100,1.29461
190,100,1.1968
200,100,0.90067
210,100,0.344429
220,100,-0.559004
230,100,-1.91625
240,100,-3.87943
250,100,-6.71151
260,100,-10.7746
270,100,-14.1718
280,100,-10.8294
290,100,-6.7524
300,100,-3.88777
310,100,-1.88534
320,100,-0.495191
330,100,0.426151
340,100,0.981894
350,100,1.25976
360,100,1.32822
0,110,1.41925
10,110,1.31754
20,110,1.03212
30,110,0.519172
40,110,-0.286102
50,110,-1.45264
60,110,-3.03699
70,110,-5.0378
80,110,-7.17183
90,110,-8.30351
100,110,-7.27844
110,110,-5.15344
120,110,-3.12564
130,110,-1.50887
140,110,-0.309309
150,110,0.524698
160,110,1.05384
170,110,1.33744
180,110,1.42194
190,110,1.3273
200,110,1.03955
