"Freq [GHz]","dB(S(1,1)) []"
2,-3.70116441352563
2.1,-4.90183088788855
2.2,-6.2584770382024
2.3,-7.67776279100128
2.4,-9.03440356073271
2.5,-10.1908567549002
2.6,-11.039151418652
2.7,-11.5576044464162
2.8,-11.9033295760297
2.9,-13.6152577790663
3,-10.7056725986921
3.1,-10.0331084338978
3.2,-9.22829360672769
3.3,-8.16270914112886
3.4,-6.80341170481669
3.5,-5.16160532080758
3.6,-3.39774503038975
3.7,-2.04999376160311
3.8,-1.9757550213927
3.9,-3.26541543660412
4,-5.12481861980014
4.1,-6.99884558963468
4.2,-8.7187551098534
4.3,-10.265979192788
4.4,-11.6581993665115
4.5,-12.9160393530976
4.6,-14.0557770761084
4.7,-15.0891021521838
4.8,-16.024445146583
4.9,-16.8683702558464
5,-17.6266433144761
