"Freq [GHz]","dB(S(1,1)) []"
2,-2.12467472904011
2.1,-2.90053882613483
2.2,-3.84388872697424
2.3,-4.95678213907285
2.4,-6.24015989069099
2.5,-7.70273541552617
2.6,-9.37723665029319
2.7,-11.3531720899961
2.8,-13.8508841185676
2.9,-17.3335478813998
3,-20.3068408129998
3.1,-13.7949506566539
3.2,-6.07386620375026
3.3,-2.79895617665496
3.4,-4.45189101243944
3.5,-6.45633409691868
3.6,-8.01210508352484
3.7,-9.24092896282757
3.8,-10.2649405299797
3.9,-11.1594972626728
4,-11.9692018865262
4.1,-12.7192656180058
4.2,-13.4206234303638
4.3,-14.0705505684245
4.4,-14.6497629193995
4.5,-15.1176469211742
4.6,-15.4113717428112
4.7,-15.4619637912251
4.8,-15.2384171970595
4.9,-14.7976595659335
5,-14.282226692118
