Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.24048
10,0,2.24048
20,0,2.24048
30,0,2.24048
40,0,2.24048
50,0,2.24048
60,0,2.24048
70,0,2.24048
80,0,2.24048
90,0,2.24048
100,0,2.24048
110,0,2.24048
120,0,2.24048
130,0,2.24048
140,0,2.24048
150,0,2.24048
160,0,2.24048
170,0,2.24048
180,0,2.24048
190,0,2.24048
200,0,2.24048
210,0,2.24048
220,0,2.24048
230,0,2.24048
240,0,2.24048
250,0,2.24048
260,0,2.24048
270,0,2.24048
280,0,2.24048
290,0,2.24048
300,0,2.24048
310,0,2.24048
320,0,2.24048
330,0,2.24048
340,0,2.24048
350,0,2.24048
360,0,2.24048
0,10,2.16941
10,10,2.17033
20,10,2.16447
30,10,2.15299
40,10,2.13777
50,10,2.12119
60,10,2.1059
70,10,2.09441
80,10,2.0888
90,10,2.09036
100,10,2.09938
110,10,2.1151
120,10,2.13577
130,10,2.15893
140,10,2.18174
150,10,2.20134
160,10,2.21524
170,10,2.22154
180,10,2.21921
190,10,2.20813
200,10,2.1891
210,10,2.1638
220,10,2.1346
230,10,2.10436
240,10,2.0761
250,10,2.05268
260,10,2.03644
270,10,2.02888
280,10,2.03047
290,10,2.04063
300,10,2.05781
310,10,2.0797
320,10,2.10363
330,10,2.12681
340,10,2.14673
350,10,2.16137
360,10,2.16941
0,20,2.02896
10,20,2.02336
20,20,1.98955
30,20,1.93132
40,20,1.85533
50,20,1.77101
60,20,1.68977
70,20,1.62367
80,20,1.58345
90,20,1.5764
100,20,1.60472
110,20,1.66496
120,20,1.74874
130,20,1.84446
140,20,1.93945
150,20,2.02195
160,20,2.08247
170,20,2.11447
180,20,2.11454
190,20,2.08229
200,20,2.02017
210,20,1.93337
220,20,1.82974
230,20,1.71959
240,20,1.61492
250,20,1.52817
260,20,1.47028
270,20,1.44865
280,20,1.46547
290,20,1.51735
300,20,1.5961
310,20,1.6906
320,20,1.78888
330,20,1.87982
340,20,1.95424
350,20,2.00536
360,20,2.02896
0,30,1.86603
10,30,1.849
20,30,1.76908
30,30,1.63144
40,30,1.44723
50,30,1.2352
60,30,1.02202
70,30,0.839903
80,30,0.72088
90,30,0.688615
100,30,0.75091
110,30,0.896937
120,30,1.10092
130,30,1.32994
140,30,1.55177
150,30,1.74013
160,30,1.87678
170,30,1.95126
180,30,1.95924
190,30,1.90066
200,30,1.77887
210,30,1.60093
220,30,1.37911
230,30,1.13254
240,30,0.887944
250,30,0.677877
260,30,0.535362
270,30,0.485249
280,30,0.535867
290,30,0.675959
300,30,0.879022
310,30,1.11209
320,30,1.34391
330,30,1.54963
340,30,1.71182
350,30,1.8194
360,30,1.86603
0,40,1.72329
10,40,1.69103
20,40,1.55258
30,40,1.31031
40,40,0.974471
50,40,0.569844
60,40,0.141402
70,40,-0.245114
80,40,-0.512853
90,40,-0.597134
100,40,-0.474601
110,40,-0.176029
120,40,0.230125
130,40,0.667624
140,40,1.07357
150,40,1.40556
160,40,1.64055
170,40,1.76974
180,40,1.79223
190,40,1.70955
200,40,1.52345
210,40,1.23748
220,40,0.861733
230,40,0.419203
240,40,-0.0475776
250,40,-0.473143
260,40,-0.776325
270,40,-0.885459
280,40,-0.773011
290,40,-0.471056
300,40,-0.052223
310,40,0.404081
320,40,0.834584
330,40,1.19849
340,40,1.47375
350,40,1.65015
360,40,1.72329
0,50,1.61111
10,50,1.56008
20,50,1.35896
30,50,1.00144
40,50,0.486419
50,50,-0.167817
60,50,-0.906645
70,50,-1.62375
80,50,-2.15946
90,50,-2.34614
100,50,-2.11235
110,50,-1.54443
120,50,-0.815692
130,50,-0.0811409
140,50,0.561394
150,50,1.06296
160,50,1.40731
170,50,1.59683
180,50,1.63961
190,50,1.53983
200,50,1.29456
210,50,0.897349
220,50,0.346304
230,50,-0.344332
240,50,-1.12762
250,50,-1.90126
260,50,-2.4954
270,50,-2.72086
280,50,-2.49385
290,50,-1.9063
300,50,-1.14254
310,50,-0.365619
320,50,0.322742
330,50,0.873505
340,50,1.27092
350,50,1.51533
360,50,1.61111
0,60,1.51255
10,60,1.44005
20,60,1.18117
30,60,0.715351
40,60,0.0181404
50,60,-0.919219
60,60,-2.06244
70,60,-3.28987
80,60,-4.32112
90,60,-4.72594
100,60,-4.26567
110,60,-3.20322
120,60,-1.97461
130,60,-0.849062
140,60,0.0665849
150,60,0.745539
160,60,1.1968
170,60,1.44399
180,60,1.50881
190,60,1.39882
200,60,1.10419
210,60,0.60347
220,60,-0.126283
230,60,-1.09722
240,60,-2.28894
250,60,-3.59404
260,60,-4.71823
270,60,-5.17927
280,60,-4.71218
290,60,-3.60739
300,60,-2.32064
310,60,-1.12832
320,60,-0.145107
330,60,0.597397
340,60,1.10664
350,60,1.40471
360,60,1.51255
0,70,1.41496
10,70,1.32117
20,70,1.01651
30,70,0.463523
40,70,-0.392391
50,70,-1.60661
60,70,-3.2162
70,70,-5.18926
80,70,-7.20256
90,70,-8.1671
100,70,-7.13313
110,70,-5.09662
120,70,-3.13501
130,70,-1.55046
140,70,-0.358864
150,70,0.481926
160,70,1.02381
170,70,1.31747
180,70,1.40041
190,70,1.2845
200,70,0.952525
210,70,0.36588
220,70,-0.524336
230,70,-1.77168
240,70,-3.42836
250,70,-5.49253
260,70,-7.6474
270,70,-8.69688
280,70,-7.6087
290,70,-5.49948
300,70,-3.46762
310,70,-1.80269
320,70,-0.529822
330,70,0.38107
340,70,0.976387
350,70,1.30692
360,70,1.41496
0,80,1.32996
10,80,1.21977
20,80,0.885332
30,80,0.275591
40,80,-0.68935
50,80,-2.1135
60,80,-4.14187
70,80,-7.01116
80,80,-10.9993
90,80,-14.076
100,80,-10.8686
110,80,-6.91065
120,80,-4.07466
130,80,-2.06996
140,80,-0.658544
150,80,0.300955
160,80,0.905131
170,80,1.22839
180,80,1.32187
190,80,1.20213
200,80,0.846254
210,80,0.201013
220,80,-0.805062
230,80,-2.2662
240,80,-4.33184
250,80,-7.26854
260,80,-11.4278
270,80,-14.7414
280,80,-11.3156
290,80,-7.25852
300,80,-4.36114
310,80,-2.28172
320,80,-0.790709
330,80,0.235436
340,80,0.883082
350,80,1.2277
360,80,1.32996
0,90,1.284
10,90,1.16722
20,90,0.821354
30,90,0.191519
40,90,-0.809841
50,90,-2.30708
60,90,-4.50476
70,90,-7.84728
80,90,-13.7585
90,90,-29.6074
100,90,-13.5449
110,90,-7.77447
120,90,-4.4755
130,90,-2.28646
140,90,-0.783487
150,90,0.224964
160,90,0.854472
170,90,1.18896
180,90,1.28547
190,90,1.16313
200,90,0.79704
210,90,0.128037
220,90,-0.923844
230,90,-2.46763
240,90,-4.69575
250,90,-8.0497
260,90,-13.9507
270,90,-30.1409
280,90,-13.8387
290,90,-8.02985
300,90,-4.69492
310,90,-2.45441
320,90,-0.890362
330,90,0.172283
340,90,0.836173
350,90,1.18456
360,90,1.284
0,100,1.2951
10,100,1.18482
20,100,0.848261
30,100,0.238706
40,100,-0.716969
50,100,-2.11912
60,100,-4.11734
70,100,-6.95732
80,100,-10.9113
90,100,-13.9751
100,100,-10.8893
110,100,-6.98169
120,100,-4.15332
130,100,-2.13843
140,100,-0.711872
150,100,0.260945
160,100,0.87423
170,100,1.20192
180,100,1.29561
190,100,1.17269
200,100,0.810624
210,100,0.156414
220,100,-0.858791
230,100,-2.32065
240,100,-4.36087
250,100,-7.21242
260,100,-11.1485
270,100,-14.2087
280,100,-11.104
290,100,-7.15861
300,100,-4.30604
310,100,-2.2673
320,100,-0.807924
330,100,0.201616
340,100,0.84476
350,100,1.19072
360,100,1.2951
0,110,1.3597
10,110,1.26852
20,110,0.963623
30,110,0.413948
40,110,-0.425074
50,110,-1.60361
60,110,-3.16592
70,110,-5.09677
80,110,-7.0909
90,110,-8.09404
100,110,-7.15969
110,110,-5.19682
120,110,-3.25799
130,110,-1.66583
140,110,-0.456372
150,110,0.402027
160,110,0.957722
170,110,1.26
