Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.22564
10,0,2.22564
20,0,2.22564
30,0,2.22564
40,0,2.22564
50,0,2.22564
60,0,2.22564
70,0,2.22564
80,0,2.22564
90,0,2.22564
100,0,2.22564
110,0,2.22564
120,0,2.22564
130,0,2.22564
140,0,2.22564
150,0,2.22564
160,0,2.22564
170,0,2.22564
180,0,2.22564
190,0,2.22564
200,0,2.22564
210,0,2.22564
220,0,2.22564
230,0,2.22564
240,0,2.22564
250,0,2.22564
260,0,2.22564
270,0,2.22564
280,0,2.22564
290,0,2.22564
300,0,2.22564
310,0,2.22564
320,0,2.22564
330,0,2.22564
340,0,2.22564
350,0,2.22564
360,0,2.22564
0,10,2.2258
10,10,2.23288
20,10,2.23054
30,10,2.22004
40,10,2.20345
50,10,2.18337
60,10,2.16272
70,10,2.14429
80,10,2.13041
90,10,2.12264
100,10,2.12153
110,10,2.12654
120,10,2.13613
130,10,2.14803
140,10,2.15955
150,10,2.16801
160,10,2.17106
170,10,2.167
180,10,2.15503
190,10,2.1353
200,10,2.10896
210,10,2.07809
220,10,2.04543
230,10,2.0142
240,10,1.98766
250,10,1.96882
260,10,1.96001
270,10,1.96254
280,10,1.97659
290,10,2.00107
300,10,2.03382
310,10,2.07184
320,10,2.11167
330,10,2.1498
340,10,2.18308
350,10,2.20897
360,10,2.2258
0,20,2.15256
10,20,2.15546
20,20,2.12498
30,20,2.0657
40,20,1.98512
50,20,1.89329
60,20,1.80214
70,20,1.72411
80,20,1.67028
90,20,1.64834
100,20,1.66094
110,20,1.70506
120,20,1.77263
130,20,1.85225
140,20,1.93127
150,20,1.99774
160,20,2.04186
170,20,2.05677
180,20,2.03897
190,20,1.98836
200,20,1.90827
210,20,1.80527
220,20,1.68887
230,20,1.5709
240,20,1.46449
250,20,1.38259
260,20,1.33609
270,20,1.33202
280,20,1.37203
290,20,1.4519
300,20,1.56224
310,20,1.69014
320,20,1.82145
330,20,1.94281
340,20,2.0432
350,20,2.11466
360,20,2.15256
0,30,2.0254
10,30,2.01673
20,30,1.93871
30,30,1.79832
40,30,1.60839
50,30,1.38873
60,30,1.1663
70,30,0.972978
80,30,0.840445
90,30,0.792569
100,30,0.838027
110,30,0.967202
120,30,1.15535
130,30,1.37003
140,30,1.57881
150,30,1.75443
160,30,1.8769
170,30,1.93356
180,30,1.91821
190,30,1.83036
200,30,1.67497
210,30,1.4629
220,30,1.21143
230,30,0.944363
240,30,0.691116
250,30,0.484229
260,30,0.354634
270,30,0.324941
280,30,0.402701
290,30,0.577178
300,30,0.821889
310,30,1.10174
320,30,1.38122
330,30,1.63055
340,30,1.82848
350,30,1.96217
360,30,2.0254
0,40,1.8817
10,40,1.85943
20,40,1.72285
30,40,1.47706
40,40,1.13584
50,40,0.726854
60,40,0.295481
70,40,-0.0947399
80,40,-0.369921
90,40,-0.466762
100,40,-0.36041
110,40,-0.0779771
120,40,0.315636
130,40,0.745874
140,40,1.1493
150,40,1.48088
160,40,1.71276
170,40,1.83007
180,40,1.82652
190,40,1.70152
200,40,1.45964
210,40,1.11226
220,40,0.680622
230,40,0.198803
240,40,-0.284213
250,40,-0.704756
260,40,-0.990896
270,40,-1.08061
280,40,-0.948061
290,40,-0.618841
300,40,-0.159166
310,40,0.35095
320,40,0.840785
330,40,1.26008
340,40,1.58011
350,40,1.78848
360,40,1.8817
0,50,1.75949
10,50,1.72496
20,50,1.52625
30,50,1.16048
40,50,0.634829
50,50,-0.0237993
60,50,-0.758036
70,50,-1.46639
80,50,-1.99782
90,50,-2.19167
100,50,-1.97599
110,50,-1.42755
120,50,-0.709228
130,50,0.0281007
140,50,0.684659
150,50,1.20526
160,50,1.5638
170,50,1.75106
180,50,1.76583
190,50,1.60917
200,50,1.2828
210,50,0.792103
220,50,0.152782
230,50,-0.601197
240,50,-1.40867
250,50,-2.16897
260,50,-2.73422
270,50,-2.94295
280,50,-2.71555
290,50,-2.12187
300,50,-1.32679
310,50,-0.492325
320,50,0.267526
330,50,0.888433
340,50,1.34453
350,50,1.63324
360,50,1.75949
0,60,1.67753
10,60,1.63155
20,60,1.37274
30,60,0.885329
40,60,0.16104
50,60,-0.790124
60,60,-1.92584
70,60,-3.13118
80,60,-4.14121
90,60,-4.54557
100,60,-4.1129
110,60,-3.08244
120,60,-1.86555
130,60,-0.726199
140,60,0.222542
150,60,0.941917
160,60,1.4246
170,60,1.67735
180,60,1.71078
190,60,1.53091
200,60,1.13518
210,60,0.515866
220,60,-0.33008
230,60,-1.38893
240,60,-2.61564
250,60,-3.89712
260,60,-4.97284
270,60,-5.42164
280,60,-4.98589
290,60,-3.90014
300,60,-2.59011
310,60,-1.33554
320,60,-0.266737
330,60,0.565836
340,60,1.15613
350,60,1.52069
360,60,1.67753
0,70,1.63379
10,70,1.57586
20,70,1.26524
30,70,0.671563
40,70,-0.235348
50,70,-1.4811
60,70,-3.08775
70,70,-5.02913
80,70,-6.99819
90,70,-7.95023
100,70,-6.97331
110,70,-4.99032
120,70,-3.03997
130,70,-1.43022
140,70,-0.189211
150,70,0.708183
160,70,1.29208
170,70,1.59352
180,70,1.64037
190,70,1.44691
200,70,1.00625
210,70,0.29299
220,70,-0.725185
230,70,-2.07701
240,70,-3.78382
250,70,-5.82455
260,70,-7.90969
270,70,-8.95331
280,70,-7.93702
290,70,-5.85484
300,70,-3.79851
310,70,-2.06832
320,70,-0.698028
330,70,0.324873
340,70,1.02944
350,70,1.45492
360,70,1.63379
0,80,1.61944
10,80,1.55051
20,80,1.20381
30,80,0.537414
40,80,-0.499839
50,80,-1.97549
60,80,-4.01307
70,80,-6.84945
80,80,-10.7555
90,80,-13.7744
100,80,-10.7409
110,80,-6.83716
120,80,-3.9966
130,80,-1.95683
140,80,-0.488341
150,80,0.533446
160,80,1.18088
170,80,1.50874
180,80,1.56217
190,80,1.36453
200,80,0.905621
210,80,0.143666
220,80,-0.982764
230,80,-2.55121
240,80,-4.68478
250,80,-7.62688
260,80,-11.7234
270,80,-15.0077
280,80,-11.6741
290,80,-7.62574
300,80,-4.70969
310,80,-2.57131
320,80,-0.97669
330,80,0.180631
340,80,0.964043
350,80,1.42913
360,80,1.61944
0,90,1.62694
10,90,1.55142
20,90,1.19017
30,90,0.497694
40,90,-0.586858
50,90,-2.15243
60,90,-4.38002
70,90,-7.71228
80,90,-13.5692
90,90,-29.9766
100,90,-13.5589
110,90,-7.72422
120,90,-4.39658
130,90,-2.17185
140,90,-0.616224
150,90,0.449718
160,90,1.11721
170,90,1.45158
180,90,1.50712
190,90,1.31299
200,90,0.85804
210,90,0.0923365
220,90,-1.06057
230,90,-2.7035
240,90,-5.01501
250,90,-8.42938
260,90,-14.4005
270,90,-30.1312
280,90,-14.0722
290,90,-8.34934
300,90,-5.03124
310,90,-2.74297
320,90,-1.071
330,90,0.13638
340,90,0.952325
350,90,1.43377
360,90,1.62694
0,100,1.64758
10,100,1.57274
20,100,1.22087
30,100,0.552896
40,100,-0.484361
50,100,-1.96345
60,100,-4.01374
70,100,-6.88176
80,100,-10.8732
90,100,-14.0264
100,100,-10.8608
110,100,-6.89448
120,100,-4.04513
130,100,-2.00882
140,100,-0.543799
150,100,0.476047
160,100,1.1212
170,100,1.44707
180,100,1.50334
190,100,1.31846
200,100,0.88344
210,100,0.152543
220,100,-0.943769
230,100,-2.49234
240,100,-4.62018
250,100,-7.55416
260,100,-11.5438
270,100,-14.4401
280,100,-11.2949
290,100,-7.45254
300,100,-4.63328
310,100,-2.54623
320,100,-0.971969
330,100,0.188312
340,100,0.984241
350,100,1.45781
360,100,1.64758
0,110,1.67252
10,110,1.6066
20,110,1.28759
30,110,0.689956
40,110,-0.218353
50,110,-1.46879
60,110,-3.08903
70,110,-5.05611
80,110,-7.06089
90,110,-8.03409
100,110,-7.04367
110,110,-5.05214
120,110,-3.11104
130,110,-1.51555
140,110,-0.283628
150,110,0.611096
160,110,1.19511
170,110,1.49872
180,110,1.55488
190,110,1.38464
200,110,0.983202
210,110,0.319575
220,110,-0.650823
230,110,-1.97089
240,110,-3.66771
250,110,-5.70177
260,110,-7.73018
270,110,-8.65859
280,110,-7.6344
290,110,-5.64948
300,110,-3.69334
310,110,-2.03434
320,110,-0.696476
330,110,0.328937
340,110,1.05238
350,110,1.49242
360,110,1.67252
0,120,1.70368
10,120,1.65347
20,120,1.38742
30,120,0.894786
40,120,0.167357
50,120,-0.787762
60,120,-1.93037
70,120,-3.14438
80,120,-4.16078
90,120,-4.56697
100,120,-4.13837
110,120,-3.12341
120,120,-1.9316
130,120,-0.816369
140,120,0.118604
150,120,0.836499
160,120,1.32603
170,120,1.59084
180,120,1.64333
190,120,1.49396
200,120,1.14185
210,120,0.574359
220,120,-0.222898
230,120,-1.24932
240,120,-2.46526
250,120,-3.74595
260,120,-4.8069
270,120,-5.22577
280,120,-4.78747
290,120,-3.74832
300,120,-2.50904
310,120,-1.31685
320,120,-0.280909
330,120,0.551266
340,120,1.15942
350,120,1.54107
360,120,1.70368
0,130,1.76042
10,130,1.72874
20,130,1.52816
30,130,1.15914
40,130,0.630449
50,130,-0.0305695
60,130,-0.765787
70,130,-1.47228
80,130,-1.99883
90,130,-2.18893
100,130,-1.97811
110,130,-1.44714
120,130,-0.754559
130,130,-0.0411338
140,130,0.6026
150,130,1.12482
160,130,1.49693
170,130,1.7056
180,130,1.7478
190,130,1.62504
200,130,1.33892
210,130,0.891206
220,130,0.289913
230,130,-0.43967
240,130,-1.2404
250,130,-2.00696
260,130,-2.58194
270,130,-2.80098
280,130,-2.59337
290,130,-2.03691
300,130,-1.29076
310,130,-0.501128
320,130,0.232598
330,130,0.850433
340,130,1.31916
350,130,1.62383
360,130,1.76042
0,140,1.86388
10,140,1.849
20,140,1.71584
30,140,1.47057
40,140,1.12857
50,140,0.719149
60,140,0.289331
70,140,-0.0964829
80,140,-0.365563
90,140,-0.458336
100,140,-0.354493
110,140,-0.0829496
120,140,0.294533
130,140,0.7102
140,140,1.10739
150,140,1.44448
160,140,1.69292
170,140,1.83474
180,140,1.86052
190,140,1.76752
200,140,1.55843
210,140,1.24176
220,140,0.834463
230,140,0.366175
240,140,-0.116535
250,140,-0.548909
260,140,-0.855486
270,140,-0.971235
280,140,-0.869518
290,140,-0.575419
300,140,-0.151841
310,140,0.327636
320,140,0.798624
330,140,1.2132
340,140,1.53971
350,140,1.75966
360,140,1.86388
0,150,2.00774
10,150,2.00546
20,150,1.93202
30,150,1.7943
40,150,1.60573
50,150,1.3872
60,150,1.16666
70,150,0.976363
80,150,0.847306
90,150,0.801716
100,150,0.846614
110,150,0.971997
120,150,1.15474
130,150,1.36561
140,150,1.57551
150,150,1.75919
160,150,1.89675
170,150,1.97395
180,150,1.98231
190,150,1.91892
200,150,1.78652
210,150,1.59371
220,150,1.35549
230,150,1.0937
240,150,0.836711
250,150,0.617347
260,150,0.468073
270,150,0.413699
280,150,0.464097
290,150,0.610875
300,150,0.83012
310,150,1.08945
320,150,1.3555
330,150,1.59924
340,150,1.79832
350,150,1.93748
360,150,2.00774
0,160,2.15109
10,160,2.15636
20,160,2.12818
30,160,2.07081
40,160,1.99171
50,160,1.90115
60,160,1.81128
70,160,1.73466
80,160,1.68224
90,160,1.66146
100,160,1.6748
110,160,1.71942
120,160,1.7879
130,160,1.86978
140,160,1.9534
150,160,2.02742
160,160,2.08203
170,160,2.10978
180,160,2.10607
190,160,2.06949
200,160,2.00197
210,160,1.9088
220,160,1.79841
230,160,1.68187
240,160,1.57199
250,160,1.48193
260,160,1.42334
270,160,1.4044
280,160,1.42814
290,160,1.49182
300,160,1.58739
310,160,1.70308
320,160,1.82548
330,160,1.94145
340,160,2.03966
350,160,2.1114
360,160,2.15109
0,170,2.24524
10,170,2.2518
20,170,2.24932
30,170,2.23894
40,170,2.22265
50,170,2.20304
60,170,2.18297
70,170,2.16528
80,170,2.15231
90,170,2.14568
100,170,2.14598
110,170,2.15277
120,170,2.16465
130,170,2.17945
140,170,2.19456
150,170,2.20728
160,170,2.21517
170,170,2.21632
180,170,2.20961
190,170,2.19483
200,170,2.17274
210,170,2.14504
220,170,2.11419
230,170,2.08321
240,170,2.05533
250,170,2.03362
260,170,2.02063
270,170,2.018
280,170,2.02628
290,170,2.04483
300,170,2.07185
310,170,2.10467
320,170,2.14008
330,170,2.1747
340,170,2.20537
350,170,2.22948
360,170,2.24524
0,180,2.26368
10,180,2.26368
20,180,2.26368
30,180,2.26368
40,180,2.26368
50,180,2.26368
60,180,2.26368
70,180,2.26368
80,180,2.26368
90,180,2.26368
100,180,2.26368
110,180,2.26368
120,180,2.26368
130,180,2.26368
140,180,2.26368
150,180,2.26368
160,180,2.26368
170,180,2.26368
180,180,2.26368
190,180,2.26368
200,180,2.26368
210,180,2.26368
220,180,2.26368
230,180,2.26368
240,180,2.26368
250,180,2.26368
260,180,2.26368
270,180,2.26368
280,180,2.26368
290,180,2.26368
300,180,2.26368
310,180,2.26368
320,180,2.26368
330,180,2.26368
340,180,2.26368
350,180,2.26368
360,180,2.26368
