"Freq [GHz]","dB(S(1,1)) []"
2,-4.48355518441045
2.1,-5.50583222530296
2.2,-6.43251853174796
2.3,-7.16665752955601
2.4,-7.66862482874776
2.5,-7.95918745517001
2.6,-8.09533824246669
2.7,-8.14370102092597
2.8,-8.17392488109139
2.9,-8.30846286949552
3,-9.22507617550262
3.1,-8.10729345994242
3.2,-7.56177832721584
3.3,-7.48953828515476
3.4,-7.43273093711529
3.5,-7.35103568652989
3.6,-7.21620491585793
3.7,-6.9872080231771
3.8,-6.60003375923282
3.9,-5.96018126402897
4,-5.02190999641288
4.1,-4.56241164984906
4.2,-6.82175993291454
4.3,-9.70926898590976
4.4,-11.026862892975
4.5,-11.4328197837756
4.6,-11.5287998080682
4.7,-11.5294940474041
4.8,-11.4999473711977
4.9,-11.4594234638445
5,-11.4135889608151
