"Freq [GHz]","dB(S(1,1)) []"
2,-4.5238716260866
2.1,-5.66221761553809
2.2,-6.71132942499854
2.3,-7.56408249207391
2.4,-8.17091096162263
2.5,-8.55097495275471
2.6,-8.76923773746481
2.7,-8.90336219859215
2.8,-9.02537899492175
2.9,-9.20479026351349
3,-9.53619319338656
3.1,-10.1844613342545
3.2,-9.26985117623673
3.3,-6.74401478049376
3.4,-7.68155604947704
3.5,-8.3088028085924
3.6,-8.8023612711799
3.7,-9.25978110879372
3.8,-9.71670941671396
3.9,-10.1816828925913
4,-10.6368523983375
4.1,-11.0025560324696
4.2,-11.0100152793388
4.3,-9.94074649620772
4.4,-7.2787441150329
4.5,-5.86161030345038
4.6,-7.00965522891203
4.7,-8.36619469290373
4.8,-9.37800064441739
4.9,-10.1170233575034
5,-10.6703625504174
