Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.10691
10,0,2.10691
20,0,2.10691
30,0,2.10691
40,0,2.10691
50,0,2.10691
60,0,2.10691
70,0,2.10691
80,0,2.10691
90,0,2.10691
100,0,2.10691
110,0,2.10691
120,0,2.10691
130,0,2.10691
140,0,2.10691
150,0,2.10691
160,0,2.10691
170,0,2.10691
180,0,2.10691
190,0,2.10691
200,0,2.10691
210,0,2.10691
220,0,2.10691
230,0,2.10691
240,0,2.10691
250,0,2.10691
260,0,2.10691
270,0,2.10691
280,0,2.10691
290,0,2.10691
300,0,2.10691
310,0,2.10691
320,0,2.10691
330,0,2.10691
340,0,2.10691
350,0,2.10691
360,0,2.10691
0,10,2.08626
10,10,2.08799
20,10,2.08085
30,10,2.06609
40,10,2.04579
50,10,2.02264
60,10,1.99965
70,10,1.97981
80,10,1.96569
90,10,1.95912
100,10,1.96091
110,10,1.97077
120,10,1.98731
130,10,2.00824
140,10,2.03068
150,10,2.05155
160,10,2.06796
170,10,2.0775
180,10,2.07858
190,10,2.07058
200,10,2.05393
210,10,2.03012
220,10,2.00151
230,10,1.97118
240,10,1.94254
250,10,1.91893
260,10,1.90321
270,10,1.89733
280,10,1.90205
290,10,1.91686
300,10,1.94
310,10,1.96879
320,10,1.99996
330,10,2.03011
340,10,2.0561
350,10,2.07539
360,10,2.08626
0,20,2.02719
10,20,2.02176
20,20,1.98325
30,20,1.91613
40,20,1.82775
50,20,1.72806
60,20,1.62894
70,20,1.54304
80,20,1.48201
90,20,1.45454
100,20,1.46456
110,20,1.51041
120,20,1.58521
130,20,1.67825
140,20,1.7769
150,20,1.86849
160,20,1.94184
170,20,1.98829
180,20,2.00224
190,20,1.98134
200,20,1.92667
210,20,1.8427
220,20,1.73731
230,20,1.62158
240,20,1.50899
250,20,1.41406
260,20,1.35009
270,20,1.32669
280,20,1.3476
290,20,1.40979
300,20,1.5042
310,20,1.61784
320,20,1.73633
330,20,1.84616
340,20,1.93613
350,20,1.9981
360,20,2.02719
0,30,1.94281
10,30,1.92064
20,30,1.83019
30,30,1.67859
40,30,1.47812
50,30,1.24739
60,30,1.01195
70,30,0.803068
80,30,0.653302
90,30,0.588755
100,30,0.621002
110,30,0.743238
120,30,0.933009
130,30,1.15937
140,30,1.39026
150,30,1.59762
160,30,1.75979
170,30,1.862
180,30,1.89567
190,30,1.85737
200,30,1.74828
210,30,1.57455
220,30,1.34857
230,30,1.09056
240,30,0.829447
250,30,0.601302
260,30,0.443922
270,30,0.387271
280,30,0.443294
290,30,0.601199
300,30,0.831639
310,30,1.09684
320,30,1.36046
330,30,1.59341
340,30,1.77537
350,30,1.89392
360,30,1.94281
0,40,1.84065
10,40,1.79594
20,40,1.64289
30,40,1.38709
40,40,1.03996
50,40,0.623937
60,40,0.178805
70,40,-0.234277
80,40,-0.538315
90,40,-0.662962
