"Freq [GHz]","dB(S(1,1)) []"
2,-4.26201478481197
2.1,-5.55089831916213
2.2,-6.89829790560859
2.3,-8.20584414000272
2.4,-9.36815901640245
2.5,-10.2950275428387
2.6,-10.9454307460823
2.7,-11.3467742349874
2.8,-11.5786058563956
2.9,-11.7370613719563
3,-11.8971000299023
3.1,-11.8588367990512
3.2,-8.34412644280851
3.3,-8.56215245096995
3.4,-9.84956505027775
3.5,-10.4761474503152
3.6,-10.8918993298654
3.7,-11.1620216193282
3.8,-11.062703528908
3.9,-9.73516790810169
4,-6.32437123634372
4.1,-4.94456520163719
4.2,-6.52491881204754
4.3,-7.92655780149563
4.4,-8.87179111058626
4.5,-9.4888509051498
4.6,-9.83794814629395
4.7,-9.95089004782967
4.8,-9.86937138531262
4.9,-9.6413720989843
5,-9.30290774961935
